,minpadj_maxPdPSI_LMI070_01x,dPSI_LMI070_01x,Algorithem.x,minpadj_maxPdPSI_LMI070_03x,dPSI_LMI070_03x,Algorithem.y,minpadj_maxPdPSI_LMI070_10x,dPSI_LMI070_10x,Algorithem.x,minpadj_maxPdPSI_RG7916_01x,dPSI_RG7916_01x,Algorithem.y,minpadj_maxPdPSI_RG7916_03x,dPSI_RG7916_03x,Algorithem.x,minpadj_maxPdPSI_RG7916_10x,dPSI_RG7916_10x,Algorithem.y
ABCA5,0.308098324172,0.163,rmats,0.0944614439958,-0.141,rmats,0.0144956288493,0.512,rmats,0.0668558337991,0.282,rmats,0.206095720698,-0.211,rmats,0.565932943924,-0.099,rmats
ABCA6,0.95312902267997,0.0139562856970351,leafcutter,0.632332383794596,0.060487529136464,leafcutter,0.893989645976042,0.0184222814700624,majiq,0.999529341781186,0.0186921595894931,majiq,0.998630772326853,-0.014281518039673,majiq,0.417247345362103,0.0809794227981945,leafcutter
ABCA8,NA,NA,NA,0.115825299308,-0.197,rmats,0.861028375999,-0.157,rmats,0.154569051653,-0.186,rmats,NA,NA,NA,NA,NA,NA
ABCA9,NA,NA,NA,0.909823595083,0.04,rmats,0.314674174743,0.053,rmats,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABCB10,NA,NA,NA,NA,NA,NA,0.999894262028352,-0.0154172108529588,majiq,0.8744373392279,0.0414635658870523,leafcutter,NA,NA,NA,NA,NA,NA
ABCB6,0.478470108491106,0.043123176027005,leafcutter,0.500509494785,-0.054,rmats,0.787906560650456,0.0870821750033814,leafcutter,0.911729190054187,0.0536408167306718,leafcutter,0.963191995812411,0.0965161487958301,leafcutter,0.584764893499756,0.0693161880969325,leafcutter
ABCB7,0.852148150430249,0.0827187450693191,leafcutter,NA,NA,NA,0.901072586687915,0.0724473126871684,leafcutter,0.781070897326,-0.148,rmats,NA,NA,NA,NA,NA,NA
ABCB8,0,0.576,rmats,0,0.836,rmats,0,0.836,rmats,0.506046848063,0.035,rmats,0.0229631853946,0.082,rmats,1.07170412895e-12,0.211,rmats
ABCB9,0.318517012973,0.261,rmats,0.366963579017,0.132,rmats,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.478251393677,-0.234,rmats
ABCC1,0.763252478186361,0.0345146424925642,leafcutter,0.591482153820692,0.0337590892935766,leafcutter,0.108687561984852,0.0612407508596528,leafcutter,0.8744373392279,0.0239641590863924,leafcutter,0.310675537636,-0.039,rmats,0.359844163927,-0.033,rmats
ABCC10,0.251729022833594,0.0823284998500938,leafcutter,0.581299004736,-0.054,rmats,0.632894016844191,0.0539316489311034,leafcutter,0.8744373392279,0.0398993312787745,leafcutter,0.995116713762768,0.0194266943250144,leafcutter,0.67249485248952,0.0643572215138327,leafcutter
ABCC3,0.763252478186361,0.102284749583636,leafcutter,0.704984541261036,0.101964744978954,leafcutter,0.822315622194,-0.068,rmats,0.755705649264,-0.076,rmats,0.845767777737781,0.0647895556297134,leafcutter,0.201506954938094,0.145662094120582,leafcutter
ABCC4,0.495002988147,-0.11,rmats,0.7129326106394,0.067572395528766,leafcutter,0.763494362733,-0.081,rmats,0.13426455489,0.121,rmats,0.908189676854647,0.0336158361189279,leafcutter,0.799549680434,-0.042,rmats
ABCC5,0.990491114575131,0.0164152275108786,leafcutter,0.99983027928475,-0.0357757729772359,majiq,0.567026400261,-0.177,rmats,0.146605098422,0.086,rmats,0.966728866557006,0.0124859837142234,leafcutter,0.07200764677,0.143,rmats
ABCD1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.966728866557006,0.0165569475751698,leafcutter,NA,NA,NA
ABCD3,0.815172562642366,0.0252009187844451,leafcutter,0.864632933886119,0.0579161543872665,leafcutter,0.750565265288771,0.0993423389284807,leafcutter,0.996721848995824,0.0640775272288948,leafcutter,0.993086683513733,0.0712869074420726,leafcutter,0.637897062279428,0.0993325523171785,leafcutter
ABCD4,0.532811375953,0.11,rmats,0.288968459265,-0.035,rmats,0.127869564701,-0.027,rmats,0.669164246338,0.028,rmats,0.565153731951,0.067,rmats,0.288215890376,0.055,rmats
ABCE1,0.882347083661112,0.0108361995250261,leafcutter,0.671153310937589,0.0358627096528371,leafcutter,0.934099868531608,0.0148961300523556,leafcutter,0.91708839351838,0.0137288331195776,leafcutter,0.999945839325383,-0.0149392545508645,majiq,0.919821060444893,0.0279672915261191,leafcutter
ABCF1,0.767696115705646,0.0731103690937387,leafcutter,0.948721714083729,0.0245348789309434,leafcutter,0.80528662081412,0.0512053021223361,leafcutter,0.8744373392279,0.0816563594886252,leafcutter,0.965352227334908,0.0443570568409276,leafcutter,0.936346333717322,0.0485877647167894,leafcutter
ABCF2,0.939628494850056,0.0163950820958693,leafcutter,NA,NA,NA,0.915022870656729,0.0130993644239548,leafcutter,0.950898165181418,0.024117254285839,leafcutter,0.999993307209325,-0.0193061159021561,majiq,0.938071984053604,0.0184762871219264,leafcutter
ABCF3,0.83735719463,-0.01,rmats,0.55939125191807,0.0175835332307874,leafcutter,0.681399216483,-0.016,rmats,0.652121101687,0.021,rmats,0.42189245499,0.025,rmats,0.30773576959,-0.044,rmats
ABHD10,0.756246409083908,0.0414294516105745,leafcutter,0.000849497496045,0.076,rmats,4.01705823212e-08,0.122,rmats,0.996593108025262,0.0632118542372006,leafcutter,0.00247900101131,0.072,rmats,9.25562656824e-14,0.223,rmats
ABHD11,0.93604285834617,0.0458799505090042,leafcutter,0.885726117565,0.065,rmats,0.574830355341028,0.0605141236717009,leafcutter,0.999131201717961,-0.0208542151107964,majiq,0.998458415591116,-0.0265812184459276,majiq,0.718891709861,-0.107,rmats
ABHD12,0.780458768745175,0.0251061797981055,leafcutter,0.833631064355068,0.0209206142286356,leafcutter,0.493624131608734,0.0379036793954322,leafcutter,0.8744373392279,0.0376316641215415,leafcutter,0.937691493610437,0.0287048137694246,leafcutter,0.144976142971862,0.0418845421650738,leafcutter
ABHD14A,0.998865917452691,-0.0199952377347851,majiq,0.999463497364935,-0.0336908344977292,majiq,0.995254652350704,-0.0109898336577557,majiq,0.994093983906237,-0.0367393956114856,majiq,0.997255003166856,-0.0147077735652085,majiq,0.998828230475975,-0.021655719097499,majiq
ABHD14A-ACY1,0.237875038451,-0.034,rmats,0.849550727672008,0.0544568566871358,leafcutter,0.21711385089,-0.032,rmats,0.775051870535,0.019,rmats,0.750268639884,0.011,rmats,0.2405157144,0.016,rmats
ABHD14B,0.999232453895622,-0.0257721253132786,majiq,0.389240368875,0.081,rmats,0.895514142934633,0.0167062282546653,leafcutter,0.741299996121,0.071,rmats,0.56706778721,0.109,rmats,0.801171076047565,0.0327175842755497,leafcutter
ABHD16A,0.823708087545937,0.0707625322122856,leafcutter,0.765824467306,0.012,rmats,0.389596343614,-0.018,rmats,0.999017026090699,-0.0319805062563959,majiq,0.954632945447,0.033,rmats,0.525267721213,0.037,rmats
ABHD17A,0.999900411193771,-0.0410999395688648,majiq,0.664864540928,-0.047,rmats,0.999888852837729,-0.0423155823396327,majiq,0.999919077525462,-0.0321630352226034,majiq,0.999893103500218,-0.0416311055333321,majiq,0.99987964387793,-0.0462635831557515,majiq
ABHD18,0.42206542052,-0.187,rmats,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
