,minpadj_maxPdPSI_LMI070_01x,dPSI_LMI070_01x,minpadj_maxPdPSI_LMI070_03x,dPSI_LMI070_03x,minpadj_maxPdPSI_LMI070_10x,dPSI_LMI070_10x,minpadj_maxPdPSI_RG7916_01x,dPSI_RG7916_01x,minpadj_maxPdPSI_RG7916_03x,dPSI_RG7916_03x,minpadj_maxPdPSI_RG7916_10x,dPSI_RG7916_10x
PEX16,NA,NA,NA,NA,0.025597321575666,0.26743576739908,NA,NA,NA,NA,NA,NA
PI4K2B,NA,NA,NA,NA,0.00128090049580566,0.339727484406024,NA,NA,NA,NA,NA,NA
PIKFYVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.01435851554e-05,0.378
PNISR,3.22207117879286e-07,0.483296971277943,3.21221112434976e-09,0.790985692037922,2.78999742567559e-08,0.732405758267932,NA,NA,NA,NA,NA,NA
POMT2,0,0.851,0,0.956,0,0.971,0.000262538454429627,0.283799381553608,2.32579947864225e-05,0.460619954602498,0,0.962
PPIP5K2,NA,NA,NA,NA,0.0193045167643136,0.265999886421607,NA,NA,NA,NA,NA,NA
PPP2R2D,NA,NA,1.51100065638e-05,-0.323945839050518,1.09553737503167e-08,-0.37641113444819,NA,NA,NA,NA,NA,NA
PRKCE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.986506552422281,0.471490082145029
PRKDC,NA,NA,0,-0.389,0,-0.445,NA,NA,NA,NA,NA,NA
PRPF31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75944763808234e-07,0.340486361173506
PSG4,NA,NA,2.45848198294007e-09,0.410795249411223,2.91833929659561e-09,0.400182636619253,NA,NA,NA,NA,NA,NA
PTPRS,0.00502469224561,0.319,0.000174903231087,0.337,NA,NA,NA,NA,NA,NA,NA,NA
RAB23,NA,NA,2.26539776796368e-06,-0.33092993810789,NA,NA,NA,NA,NA,NA,NA,NA
RAB2B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.14579588976063e-07,0.542996019286955
RAF1,NA,NA,1.17853305315498e-07,-0.339842996288443,2.68885819412351e-08,0.274773974447623,NA,NA,NA,NA,4.00977526443789e-07,-0.275093569752029
RAP1A,NA,NA,2.38108652795e-10,0.368,0.0041278118849117,-0.273682736854994,NA,NA,NA,NA,0,0.44
RAPGEF1,4.05639083910762e-06,-0.299402336517096,0,0.349,0,0.387,NA,NA,0,0.352,0,0.71
RARS,NA,NA,0.000144632421639126,0.487752284330605,7.25149146016172e-05,0.384922715688125,NA,NA,NA,NA,NA,NA
RCC1,NA,NA,6.76207057272626e-11,-0.297518072790558,2.13174530911271e-12,-0.29670349268984,NA,NA,NA,NA,NA,NA
RNF213,NA,NA,0.0103878747897473,0.250405094119932,NA,NA,0.00261218563993845,-0.25886909240563,NA,NA,NA,NA
RP11-244H3.4,0.91135142771225,0.414181125828979,0.99999918070116,0.671513717005134,0.999999667375627,0.706696424384113,NA,NA,NA,NA,NA,NA
RP11-419C5.1,0.999999999999631,0.90399294192707,0.999999999999973,0.972765320664029,0.999999999999973,0.972441415428718,0.982018478886368,-0.465291953250459,0.999999999998396,0.823670887476304,0.999999999999971,0.973147084094473
RP11-542K23.9,0.000104439692211521,0.281422703854011,9.21180471968378e-12,0.351989895677806,5.94785750300599e-11,0.273293187676883,NA,NA,NA,NA,NA,NA
RPRD1A,NA,NA,NA,NA,0.000425380689646,-0.439,NA,NA,NA,NA,0.03746363443,-0.342
RTN3,NA,NA,0.0184226185726,-0.317,NA,NA,NA,NA,NA,NA,NA,NA
SCO1,NA,NA,1.94122047909513e-05,-0.317378597171484,1.07252785732648e-05,-0.313519564283737,NA,NA,NA,NA,NA,NA
SENP6,0.958949017732325,0.4236530991937,0,0.547,0,0.555,NA,NA,0.999999999641897,0.67490944295062,7.10918635072e-09,-0.363
SETD5,0.988097613094408,-0.45155819165572,1.85776410462e-08,0.405,6.09543072824e-05,0.34,NA,NA,NA,NA,NA,NA
SF3B3,3.78806121213274e-06,-0.295165519849317,1.75776177005662e-08,0.307179360322363,6.55976585737004e-10,-0.28285862843318,NA,NA,NA,NA,NA,NA
SGCE,8.93969293481e-07,0.335,NA,NA,1.33317964001e-08,0.36,NA,NA,NA,NA,NA,NA
SGIP1,NA,NA,1.34245708463478e-08,-0.460302075471832,NA,NA,NA,NA,NA,NA,NA,NA
SH3YL1,3.903661251e-07,0.42,0,0.598,0,0.544,NA,NA,NA,NA,NA,NA
SIDT2,NA,NA,0.000198383991716345,-0.333258538322664,5.18497719251881e-05,-0.385716448843954,NA,NA,NA,NA,NA,NA
SKP1,NA,NA,3.39031384175235e-13,-0.383556133653677,3.65078107775065e-14,-0.376880828971722,NA,NA,NA,NA,NA,NA
SLC16A7,NA,NA,0.999980490629061,-0.617846649599216,0.999999293237624,-0.657516990234436,NA,NA,NA,NA,NA,NA
SLC25A17,0.990294011136882,-0.456480723440984,NA,NA,NA,NA,NA,NA,NA,NA,0.999999996929448,-0.775147644605003
SLC25A36,NA,NA,1.86326947821098e-05,-0.304902960372196,0.0187423159225079,-0.253730965023254,NA,NA,NA,NA,NA,NA
SLC44A1,NA,NA,0,-0.396,0,-0.371,NA,NA,NA,NA,NA,NA
SMN2,0,0.518,0,0.513,0,0.517,0,0.497,0,0.523,0,0.523
SMTN,NA,NA,0,0.347,0,0.347,NA,NA,NA,NA,NA,NA
SNAP23,NA,NA,0,0.379,0,0.355,NA,NA,NA,NA,0,0.794
SNHG16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.304
SPATA18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.67618965575e-12,0.464
SPIDR,NA,NA,0.000704770329208603,0.258908075997849,4.67846685662871e-07,-0.340614697922259,NA,NA,NA,NA,NA,NA
SPRYD7,NA,NA,0.00172981559459782,0.390608213872393,NA,NA,NA,NA,NA,NA,NA,NA
SREK1,0,0.578,0,0.79,0,0.844,NA,NA,NA,NA,0,0.388
SRGAP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03563330523823e-05,-0.284897764815318
STRADB,NA,NA,3.96829563386515e-09,-0.358501525607681,4.66550615215091e-06,-0.366422879842976,NA,NA,NA,NA,NA,NA
STRN3,0,0.643,0,0.844,0,0.87,NA,NA,0,0.499,0,0.842
STRN4,9.81743302735974e-07,-0.271434230529901,0,0.468,0,0.416,NA,NA,NA,NA,NA,NA
STXBP6,NA,NA,NA,NA,6.27779322804387e-05,-0.314104387735154,NA,NA,NA,NA,NA,NA
SUPT20H,NA,NA,5.76093480039e-13,0.427,1.42240664876038e-07,-0.307740286745524,NA,NA,NA,NA,NA,NA
SYNJ2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00172111771392333,0.297118305728533
TAF2,0,0.52,0,0.733,0,0.791,NA,NA,NA,NA,NA,NA
TAF5L,NA,NA,NA,NA,0.000333592521777691,-0.280480143610485,NA,NA,NA,NA,NA,NA
TARBP1,NA,NA,NA,NA,2.01002437364888e-07,-0.261702509243343,NA,NA,NA,NA,NA,NA
TBCA,NA,NA,3.20894607632239e-08,-0.309170806323447,NA,NA,NA,NA,NA,NA,NA,NA
TCF4,NA,NA,4.03692400371012e-05,-0.358879927327719,4.10071749592876e-05,-0.365485175586454,NA,NA,NA,NA,0.000155762323148905,-0.338161288636622
TMEM214,NA,NA,2.16138143642424e-08,-0.403624864554692,1.09553737503167e-08,0.256467170626905,NA,NA,NA,NA,5.90738769323215e-08,-0.258712044464111
TMEM50B,NA,NA,0,0.678,0,0.751,NA,NA,NA,NA,NA,NA
TNKS2,NA,NA,0.00039874310179723,0.362143281151067,0.00109523662368501,0.322244498981386,NA,NA,NA,NA,NA,NA
TNRC6A,NA,NA,1.11725890823477e-06,0.427099201735997,0.0321770882528713,-0.257313475836416,NA,NA,NA,NA,5.61080217961802e-05,0.267348653060072
TNS3,NA,NA,NA,NA,3.99840890132084e-06,-0.386585244673691,NA,NA,NA,NA,5.32005736845043e-06,0.353431963644433
TRAPPC12,NA,NA,NA,NA,8.25202028122589e-06,-0.268228293693872,NA,NA,NA,NA,NA,NA
TRIM65,0,0.525,0,0.525,0,0.525,NA,NA,0.000287646269437,0.313,0,0.525
UBAP2L,NA,NA,1.57705225998584e-08,0.443633539175553,2.19843906860128e-09,0.467136866411075,NA,NA,1.38733647367651e-07,0.316381630501245,5.34246706216089e-11,0.786145233798274
ULK1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.32005736845043e-06,-0.351153719073634
URGCP,NA,NA,0.978879736418484,-0.403499426930038,0.955084179580721,-0.386339771280722,NA,NA,NA,NA,NA,NA
USP9Y,NA,NA,1.82561222240233e-07,0.310618100259209,0.999999345948742,0.705608496856031,NA,NA,NA,NA,NA,NA
VAMP4,NA,NA,1.1425110095406e-05,-0.29103805823299,4.364865439781e-08,-0.312914892153609,NA,NA,NA,NA,NA,NA
VAV2,NA,NA,NA,NA,NA,NA,NA,NA,0.000935473592063296,-0.255259606663215,8.21089850674943e-06,0.38489762866664
VDAC2,NA,NA,2.38524433485552e-06,-0.316694416886927,8.75762529775431e-08,-0.285620123728814,NA,NA,NA,NA,NA,NA
VPS29,0,0.569,0,0.791,0,0.838,NA,NA,0,0.318,0,0.55
WDR27,0.999999999995543,0.835742084564098,0.999999999999994,-0.903490272618058,0.999999999999996,-0.88614312085623,NA,NA,NA,NA,NA,NA
WDR53,NA,NA,NA,NA,NA,NA,0.00288218274877,-0.308,NA,NA,NA,NA
WNK1,4.05778445295215e-07,-0.311959864255405,8.37301939507916e-08,0.432658237024286,1.09553737503167e-08,0.382775360338289,NA,NA,NA,NA,NA,NA
WSB1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.403
XRN2,3.43094944770358e-07,0.312138958925883,5.08583432525778e-08,0.595453630302827,6.13890150145234e-10,0.516923447479527,NA,NA,NA,NA,0.00748946866444342,0.269754923631216
YPEL5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.88858830505848e-11,-0.29762460251125
ZMYM6,0.902442756681606,0.41092661631483,0.0136903956248242,0.308909885598184,0.999999685904124,0.705430982028234,NA,NA,NA,NA,NA,NA
ZMYND8,NA,NA,0.988648478770463,0.46170440342306,0.998926878015013,0.514808258308379,NA,NA,NA,NA,NA,NA
ZNF618,NA,NA,0.000528380668090247,0.272642119753052,0.0219433280061861,0.335551954074111,NA,NA,NA,NA,NA,NA
