Sample,Sample_Group,Sample Name,Cell_Line,Treatment,Group,Details,Sample_Summary,Organism
1,1,TST11872_iPSC-BIO-1755497-1-40nM.genome.sorted.bam,iPSC,Branaplam,iPSC-1755497-10x,iPSC_1755497_1_40nM  ,iPSC_1755497_10x_1,Homo sapiens
2,1,TST11872_iPSC-BIO-1755497-2-40nM.genome.sorted.bam,iPSC,Branaplam,iPSC-1755497-10x,iPSC_1755497_2_40nM  ,iPSC_1755497_10x_2,Homo sapiens
3,1,TST11872_iPSC-BIO-1755497-3-40nM.genome.sorted.bam,iPSC,Branaplam,iPSC-1755497-10x,iPSC_1755497_3_40nM  ,iPSC_1755497_10x_3,Homo sapiens
4,2,TST11872_iPSC-BIO-1755497-1-12nM.genome.sorted.bam,iPSC,Branaplam,iPSC-1755497-3x,iPSC_1755497_1_12nM  ,iPSC_1755497_3x_1,Homo sapiens
5,2,TST11872_iPSC-BIO-1755497-2-12nM.genome.sorted.bam,iPSC,Branaplam,iPSC-1755497-3x,iPSC_1755497_2_12nM  ,iPSC_1755497_3x_2,Homo sapiens
6,2,TST11872_iPSC-BIO-1755497-3-12nM.genome.sorted.bam,iPSC,Branaplam,iPSC-1755497-3x,iPSC_1755497_3_12nM  ,iPSC_1755497_3x_3,Homo sapiens
7,3,TST11872_iPSC-BIO-1949634-1-10uM.genome.sorted.bam,iPSC,1949634,iPSC-1949634-10x,iPSC_1949634_1_10uM  ,iPSC-1949634-10x_1,Homo sapiens
8,3,TST11872_iPSC-BIO-1949634-2-10uM.genome.sorted.bam,iPSC,1949634,iPSC-1949634-10x,iPSC_1949634_2_10uM  ,iPSC-1949634-10x_2,Homo sapiens
9,3,TST11872_iPSC-BIO-1949634-3-10uM.genome.sorted.bam,iPSC,1949634,iPSC-1949634-10x,iPSC_1949634_3_10uM  ,iPSC-1949634-10x_3,Homo sapiens
10,4,TST11872_iPSC-BIO-1949634-1-3uM.genome.sorted.bam,iPSC,1949634,iPSC-1949634-3x,iPSC_1949634_1_3uM   ,iPSC-1949634-3x_1,Homo sapiens
11,4,TST11872_iPSC-BIO-1949634-2-3uM.genome.sorted.bam,iPSC,1949634,iPSC-1949634-3x,iPSC_1949634_2_3uM   ,iPSC-1949634-3x_2,Homo sapiens
12,4,TST11872_iPSC-BIO-1949634-3-3uM.genome.sorted.bam,iPSC,1949634,iPSC-1949634-3x,iPSC_1949634_3_3uM   ,iPSC-1949634-3x_3,Homo sapiens
13,5,TST11872_iPSC-BIO-2006152-1-150nM.genome.sorted.bam,iPSC,2006152,iPSC-2006152-10x,iPSC_2006152_1_150nM ,iPSC-2006152-10x_1,Homo sapiens
14,5,TST11872_iPSC-BIO-2006152-2-150nM.genome.sorted.bam,iPSC,2006152,iPSC-2006152-10x,iPSC_2006152_2_150nM ,iPSC-2006152-10x_2,Homo sapiens
15,5,TST11872_iPSC-BIO-2006152-3-150nM.genome.sorted.bam,iPSC,2006152,iPSC-2006152-10x,iPSC_2006152_3_150nM ,iPSC-2006152-10x_3,Homo sapiens
16,6,TST11872_iPSC-BIO-2006152-1-45nM.genome.sorted.bam,iPSC,2006152,iPSC-2006152-3x,iPSC_2006152_1_45nM  ,iPSC-2006152-3x_1,Homo sapiens
17,6,TST11872_iPSC-BIO-2006152-2-45nM.genome.sorted.bam,iPSC,2006152,iPSC-2006152-3x,iPSC_2006152_2_45nM  ,iPSC-2006152-3x_2,Homo sapiens
18,6,TST11872_iPSC-BIO-2006152-3-45nM.genome.sorted.bam,iPSC,2006152,iPSC-2006152-3x,iPSC_2006152_3_45nM  ,iPSC-2006152-3x_3,Homo sapiens
19,7,TST11872_iPSC-BIO-2059811-1-870nM.genome.sorted.bam,iPSC,2059811,iPSC-2059811-10x,iPSC_2059811_1_870nM ,iPSC-2059811-10x_1,Homo sapiens
20,7,TST11872_iPSC-BIO-2059811-2-870nM.genome.sorted.bam,iPSC,2059811,iPSC-2059811-10x,iPSC_2059811_2_870nM ,iPSC-2059811-10x_2,Homo sapiens
21,7,TST11872_iPSC-BIO-2059811-3-870nM.genome.sorted.bam,iPSC,2059811,iPSC-2059811-10x,iPSC_2059811_3_870nM ,iPSC-2059811-10x_3,Homo sapiens
22,8,TST11872_iPSC-BIO-2059811-1-261nM.genome.sorted.bam,iPSC,2059811,iPSC-2059811-3x,iPSC_2059811_1_261nM ,iPSC-2059811-3x_1,Homo sapiens
23,8,TST11872_iPSC-BIO-2059811-2-261nM.genome.sorted.bam,iPSC,2059811,iPSC-2059811-3x,iPSC_2059811_2_261nM ,iPSC-2059811-3x_2,Homo sapiens
24,8,TST11872_iPSC-BIO-2059811-3-261nM.genome.sorted.bam,iPSC,2059811,iPSC-2059811-3x,iPSC_2059811_3_261nM ,iPSC-2059811-3x_3,Homo sapiens
25,9,TST11872_iPSC-BIO-2060573-1-10uM.genome.sorted.bam,iPSC,2060573,iPSC-2060573-10x,iPSC_2060573_1_10uM  ,iPSC-2060573-10x_1,Homo sapiens
26,9,TST11872_iPSC-BIO-2060573-2-10uM.genome.sorted.bam,iPSC,2060573,iPSC-2060573-10x,iPSC_2060573_2_10uM  ,iPSC-2060573-10x_2,Homo sapiens
27,9,TST11872_iPSC-BIO-2060573-3-10uM.genome.sorted.bam,iPSC,2060573,iPSC-2060573-10x,iPSC_2060573_3_10uM  ,iPSC-2060573-10x_3,Homo sapiens
28,10,TST11872_iPSC-BIO-2060573-1-3uM.genome.sorted.bam,iPSC,2060573,iPSC-2060573-3x,iPSC_2060573_1_3uM   ,iPSC-2060573-3x_1,Homo sapiens
29,10,TST11872_iPSC-BIO-2060573-2-3uM.genome.sorted.bam,iPSC,2060573,iPSC-2060573-3x,iPSC_2060573_2_3uM   ,iPSC-2060573-3x_2,Homo sapiens
