,Branaplam_01x,Branaplam_03x,Branaplam_10x,Risdiplam_01x,Risdiplam_03x,Risdiplam_10x
1,1,1,1,0,0,0
2,0,0,0,0,0,1
3,0,1,1,0,0,0
4,0,1,0,0,0,0
5,0,1,0,0,0,0
6,0,0,0,0,0,1
7,0,1,0,0,0,0
8,0,1,0,0,0,0
9,1,1,1,0,0,0
10,1,1,1,0,0,0
11,0,1,1,0,0,0
12,0,0,0,0,0,1
13,1,1,1,0,1,1
14,1,1,1,0,0,1
15,0,1,1,0,0,0
16,0,1,1,0,0,0
17,0,0,1,0,0,0
18,0,1,1,0,0,0
19,1,1,1,0,0,1
20,0,1,1,0,0,1
21,0,1,1,0,0,0
22,0,0,1,0,0,0
23,1,1,1,0,0,1
24,0,1,0,0,0,0
25,1,1,1,0,0,0
26,0,1,0,0,0,0
27,1,0,0,1,0,0
28,0,1,1,0,0,0
29,0,0,1,0,0,0
30,0,0,0,0,0,1
31,0,1,1,0,0,0
32,1,1,1,0,0,0
33,0,1,1,0,0,0
34,0,0,0,0,0,1
35,0,0,1,0,0,0
36,0,1,0,0,1,1
37,0,1,0,0,0,0
38,0,0,0,0,0,1
39,1,0,1,0,0,0
40,0,1,1,0,0,0
41,0,0,1,0,0,0
42,1,1,1,0,0,1
43,0,1,0,0,0,0
44,0,1,0,0,0,0
45,1,1,1,0,0,1
46,0,1,1,0,0,0
47,0,0,1,0,0,0
48,0,1,0,0,0,0
49,0,0,0,0,0,1
50,1,1,1,0,0,1
51,0,0,0,0,0,1
52,0,1,1,0,0,1
53,0,1,1,0,0,0
54,1,1,1,0,0,0
55,0,1,1,0,0,0
56,0,1,1,0,0,1
57,0,1,1,0,0,0
58,0,1,0,0,0,0
59,1,1,1,0,0,1
60,0,0,1,0,0,0
61,1,1,1,0,0,1
62,0,1,0,0,0,0
63,0,0,0,0,0,1
64,1,1,1,0,0,0
65,1,1,1,0,0,1
66,0,1,1,0,0,0
67,1,1,1,0,0,1
68,0,0,0,0,0,1
69,1,1,1,0,0,0
70,0,0,0,0,0,1
71,0,1,1,0,1,1
72,0,1,1,0,0,1
73,0,1,1,0,0,0
74,0,1,1,0,0,1
75,0,1,1,0,0,1
76,1,1,1,0,0,1
77,0,1,1,0,1,1
78,0,0,1,0,0,1
79,0,1,0,0,0,0
