"","dPSI_iPSC_2060884.3700nM"
"LINC02210",1
"AC009022.1",0.999999997705372
"STOX2",0.99999997220245
"TRIM37",0.999970529209105
"ZMYM6",0.995687196203988
"RICTOR",0.989150313633109
"EVC",0.986323496421656
"HTT",0.98337788570483
"GXYLT1",0.982783519096632
"C12orf4",0.98185881993161
"POMT2",0.981
"USP43",0.978712740901561
"ASAP1",0.977
"DIAPH3",0.970989515140532
"TRAF3",0.969816273624642
"CDC37L1",0.968217725519128
"RBBP8",0.966
"C14orf132",0.965518729045067
"RAF1",0.964
"CACNA2D1",0.96252378112884
"TMC3-AS1",0.962314905060323
"ODR4",0.960247926808823
"NIPA1",0.958
"LNPK",0.955138738010444
"MTMR3",0.953632702351459
"STRN4",0.952
"CRYM",0.951286802000001
"BTBD10",0.950270814318574
"EMSY",0.948274300581674
"IFT57",0.947115590720795
"ABCB8",0.947
"TASP1",0.946789949405333
"L3MBTL2",0.945
"VWDE",0.944509107686563
"STXBP6",0.944123436843522
"ARHGAP5",0.941361079369008
"OCLN",0.937302219561601
"DLG5",0.936795495818567
"ARAP3",0.933806756802337
"PDXDC2P",0.933598743321016
"ZFP82",0.927971351521535
"PIGN",0.91721550777062
"ANXA11",0.917
"OCLNP1",0.915980618168039
"RARS1",0.914214533510153
"AC104109.3",0.912464558804198
"PITPNB",0.910523266223723
"SOS2",0.908322958664051
"TMEM214",0.908256694800365
"MMS22L",0.905541358787398
"HSD17B12",0.903566227811669
"MAN1A2",0.903404142595558
"ZNF680",0.902920640930301
"SNAI3",0.900475541792128
"ARL15",0.898902084985001
"CHD9",0.895
"CHURC1",0.891529432374528
"DHFR",0.89135223481024
"LRRC1",0.89048944704428
"ARHGEF35",0.889903783130723
"NUP58",0.889
"BRWD3",0.887771164078048
"KRBA1",0.885550241223788
"NAV2",0.885
"UBE2D3",0.878943954596822
"PHIP",0.8772792913929
"DDX42",0.875531612233692
"DPH1",0.870770371173118
"ANKHD1-EIF4EBP3",0.868207380637443
"ZDHHC17",0.867371963916678
"FAM162A",0.866
"FBN2",0.865985192871446
"MAN1B1",0.86
"CIP2A",0.85721521766637
"CYB5B",0.856760665737534
"ERGIC3",0.856
"EXOC6B",0.855
"SETDB2",0.851002498133599
"TIAM1",0.847903465874688
"ZNF208",0.842934706142867
"MANEA",0.835656825633677
"ARMCX6",0.833
"GLCE",0.832441935995812
"ZNF730",0.829424759272205
"ANKHD1",0.828363487395475
"ZNF138",0.827542761862741
"ZNF212",0.825720335097112
"MAN2A1",0.823433207347971
"ADGRL1",0.82039839947046
"JAKMIP2-AS1",0.820127881305817
"AC015813.2",0.817786469494196
"FYCO1",0.813619891201402
"ENAH",0.811386266438347
"SPATS2",0.810150664782556
"SNAP23",0.807
"HDX",0.804
"ELP4",0.802
"MDN1",0.800893031637787
"PDE7A",0.8
"RAB3IP",0.799
"C1orf112",0.79792107986018
"PELI1",0.79712212180686
"MFN2",0.796
"VCAN",0.795
"RERE",0.793839677312506
"THADA",0.793
"VDAC2",0.791269389971724
"FGD4",0.791
"RAB2B",0.789474569521254
"ARSJ",0.789089618626418
"RASGRP2",0.78710388603692
"PPP1R9A",0.786758928584335
"SNX4",0.785870300548761
"NLN",0.785136377690152
"SMIM7",0.784
"RNF144A",0.780403650032762
"RPS4X",0.778958122073788
"MRPS31",0.777528203840924
"AVL9",0.77657828568235
"LRIG2",0.775610626656801
"ADAM23",0.775
"CEP170",0.774
"DIPK1A",0.772054373713516
"AGPS",0.771167660626907
"CMTM8",0.766767202261056
"LHFPL2",0.763345580309313
"DPY30",0.762420713952499
"ATG2B",0.760016907548805
"LYRM1",0.76
"ERBIN",0.755663196119183
"FAM91A1",0.746998576436469
"ABCC1",0.746602928533345
"CCT7",0.746
"FOXM1",0.746
"VAMP4",0.744613957392558
"MYLK",0.744305356684489
"LRRC42",0.741
"GNAQ",0.739291624208645
"TBCA",0.73783996497388
"OR2A20P",0.736
"URI1",0.735979912775226
"SERINC2",0.733551579447727
"PGM2",0.732842008433893
"ZNF618",0.732
"ZNF350",0.730996765581072
"NAA25",0.730449499016201
"DMXL1",0.727331370950911
"FES",0.726112160407373
"ANKRD13C",0.725553197668059
"SAR1A",0.725457938211868
"ZNF417",0.724
"NR2F1-AS1",0.722129553675734
"CEP162",0.718556592738306
"ARHGEF5",0.71829434099793
"MEMO1",0.716791619567908
"HDAC5",0.715750261392694
"TAF2",0.714
"SFXN2",0.711
"KIDINS220",0.706489758683108
"ETNK1",0.703676323445507
"FAM174A",0.703
"BIN3",0.700754762395631
"RAP1A",0.699
"UBP1",0.692
"ARHGAP1",0.689882700652031
"ASH1L",0.688858833325334
"GPHN",0.688021801042316
"ERRFI1",0.684514588390481
"GCFC2",0.683492337200546
"ENPP1",0.680408647078035
"EXTL2",0.678897511433712
"PPP3CA",0.677506961389668
"APIP",0.676889878598276
"PLCH1",0.676125381084379
"ZNF777",0.673488009848721
"ANAPC1",0.671835063389604
"DECR2",0.669867682135311
"KIF1A",0.668671085367163
"ATAD2B",0.667721505968227
"NELFA",0.667013871238743
"RCOR3",0.667
"AC009533.1",0.665927494204979
"RAB23",0.664081633321666
"LMAN2L",0.664
"ZNF836",0.660456236185606
"FGF12",0.658993283323511
"SOCS6",0.652400089823024
"CLASP2",0.652
"CLK4",0.648
"AC005062.1",0.647726247773438
"APLP2",0.644
"SLC12A2",0.642014226479326
"TPTEP2",0.641735921142184
"MZT1",0.638364698616889
"GALC",0.638
"LINC00678",0.636489584774476
"BICDL1",0.635
"RRM2",0.632345086846511
"ANK3",0.629433504413707
"RDX",0.628
"AGK",0.627651385679531
"CD47",0.623
"TMX3",0.622408892951432
"ANKRD13D",0.62
"DSG2",0.619118916736559
"HACL1",0.617530720360745
"RPGR",0.617
"ACTR1B",0.609533302048615
"SNX24",0.609469865312459
"HMGA2",0.609125948957514
"ARID1A",0.607225650453732
"ZNF10",0.606757055082043
"RAPGEF1",0.606
"TXLNGY",0.604
"TJP2",0.603789707576767
"CACNB1",0.601585090392094
"FAM172A",0.601577195601164
"PRPF31",0.598112177544483
"ABHD10",0.598
"ZNF253",0.59484226142571
"HIKESHI",0.593
"CFL1",0.592983743833888
"NSUN4",0.592889536836602
"SENP6",0.589
"TMEM165",0.588644409635637
"XRN2",0.588569742764007
"ANKRD18CP",0.583653839501132
"ZNF66",0.582
"TCF4",0.581007430684122
"VPS41",0.580750480040527
"ANOS2P",0.579314750831574
"RPF2",0.577003858377763
