"","dPSI_NGN2_2006152.150nM"
"POMT2",0.971
"PDXDC2P",0.968242775526243
"KCNT2",0.947676341475344
"AC009022.1",0.938839353956395
"XRN2",0.928090521538434
"GCFC2",0.91628651843036
"DENND1A",0.911558765410158
"ARL15",0.906
"EVC",0.904354189431049
"PDXDC1",0.90023422488187
"LIMCH1",0.883
"RAF1",0.865
"C12orf4",0.825331864128536
"LINC02210",0.820366385559607
"PDE7A",0.818
"CNGA3",0.813802591315326
"STX18-AS1",0.803360743922791
"NUP58",0.8
"GARNL3",0.789310111648904
"GALC",0.78
"KDM6A",0.772
"ZNF730",0.770797087979485
"ZMYM6",0.769271219838947
"GXYLT1",0.765044505376789
"AC068547.1",0.760438359339015
"SETX",0.757635744478529
"WDR27",0.753444390425295
"ASCC3",0.742025573786927
"EXOC6B",0.731
"LRRC42",0.729
"SENP6",0.726
"ABCB8",0.723
"DHFR",0.716480679772927
"HDX",0.715
"AXIN1",0.714
"PCDH10",0.706391685579159
"MLLT10",0.6992123020346
"NKAIN2",0.689648686291858
"TIAM1",0.685305687077562
"USP9Y",0.682104632068303
"HAUS3",0.673962167300294
"CRYL1",0.67
"CLASP2",0.66704572316046
"MELTF",0.663487098610555
"LARP7",0.657
"DLGAP4",0.654
"PMS1",0.649530726275412
"STRN",0.649497159733255
"STXBP5L",0.643
"RBBP8",0.637032757093315
"LRIG2",0.636833547634265
"TAF2",0.636
"ZFP82",0.635560062439291
"CACNA1C",0.635
"AC114490.2",0.632363273953032
"APLP2",0.632
"AL031315.1",0.611054396099911
"GRIA1",0.606442432049086
"AC008581.2",0.585490041892476
"LYRM1",0.584
"CHRM2",0.576348904346093
"MATK",0.575025458510517
"GLRA3",0.574904531602376
"AC026786.1",0.569906131830068
"FHOD3",0.569287594551163
"PIGN",0.564538716846285
"WNK1",0.5527672256077
"DPY30",0.549833460058757
"VPS29",0.545842189465368
"THSD7B",0.542755659383647
"PNISR",0.540614713983636
"RAPGEF1",0.536
"APIP",0.530292944664261
"SREK1",0.529
"MEMO1",0.521928085311499
"WDR17",0.518
"ARMH3",0.514773195559418
"SOS2",0.514353641051627
"MFN2",0.514
"SULF1",0.506272188778555
"PDIA5",0.501506158094809
"APPL2",0.501012884330066
"TPTEP2",0.501
"SORCS1",0.500904995421023
"CHROMR",0.494
"AL157871.6",0.491555548539665
"ENAH",0.481056138117116
"CSTF3",0.479817809714593
"SKP1",0.476
"C14orf132",0.469
"TARBP1",0.464
"FUT10",0.463723057849263
"ERCC8",0.462
"RCC1",0.461574248126798
"IL11RA",0.46152605334595
"SCO1",0.456976039983228
"COPS7B",0.456
"BECN1",0.453837684423337
"PRICKLE1",0.452366352024156
"RAP1A",0.452
"TNFRSF25",0.451
"DMAC2L",0.449
"SNX7",0.446839830399118
"KLHL1",0.446036378408508
"DCAF17",0.445198259749836
"WDR91",0.44331211092003
"AGGF1",0.44244922937733
"GNAQ",0.442173423667008
"PRKG1",0.439896539358401
"TASP1",0.43945585623267
"STRN4",0.438678507209751
"MACROD2",0.438475946663258
"ENOX1",0.435484594566863
"LINGO2",0.435475556874805
"SEC22A",0.435442577906452
"CLK4",0.435
"LINC01011",0.433622094953503
"SERGEF",0.43
"PITPNB",0.427791034394784
"CCDC3",0.424428079319687
"FGD4",0.422789302632812
"ARHGAP5",0.422133825334136
"ELMO2",0.421
"IVD",0.420135315537056
"ATP7B",0.418
"STOX2",0.417978378381219
"CDC37L1",0.417015636593032
"MAN1B1",0.416016973756522
"TMEM214",0.413784691817589
"ATG2B",0.412357304138507
"TEN1-CDK3",0.41220967645586
"ZNF585B",0.412158340379837
"CCDC18-AS1",0.41
"DENND5A",0.407
"ADAM17",0.405
"EIF2D",0.404182635460725
"GPHN",0.403586729927646
"PRRT1",0.40094050295937
"RCOR3",0.40027248552107
"TMEM50B",0.399
"SLC24A3",0.398276341419975
"ATP8A2",0.397764221829081
"ADAMTS10",0.397324889234977
"AC138894.1",0.397
"ZNF618",0.397
"MYT1",0.396
"CLN3",0.394
"FNIP2",0.391382623713637
"TP53INP1",0.38788401010266
"ZMIZ2",0.386
"CHORDC1",0.385
"TET1",0.380959464263413
"SLC7A6",0.38
"LRRCC1",0.378248928948469
"CDH18",0.376535512521622
"SNAP23",0.376
"WSB1",0.374727988184491
"YPEL5",0.374
"TENT2",0.372570602202433
"ANXA6",0.372
"PRUNE2",0.369
"SNHG15",0.367
"SPRYD7",0.365518968138453
"NELFA",0.360211332993959
"NECAP1",0.359
"MSL3",0.358
"AGPS",0.352274252490933
"NLGN1",0.350007623627799
"SF3B3",0.348959505739448
"SLC25A17",0.348
"ADGRL1",0.346461477978302
"SSBP1",0.345589321368897
"CHD9",0.345188650738688
"RUNDC3B",0.345
"MYT1L",0.341844491083716
"SUPT20H",0.341074835236412
"INO80E",0.339
"NUDT22",0.338
"FAAP20",0.336
"FBL",0.334671389125953
"FGF12",0.333844754373293
"FAM114A2",0.333
"FAM162A",0.33
"NQO2",0.33
"RPGR",0.33
"TSPAN7",0.326
"PTPRT",0.324532716440051
"ARMCX6",0.32
"CDK5RAP2",0.319
"FAM174A",0.317
"CACNA1H",0.314
"HTT",0.314
"ATR",0.313
"CACNB4",0.313
"STRN3",0.313
"MYCBP2",0.312
"HIKESHI",0.31
"DDX42",0.30385527436948
"GGCT",0.301
"MAP6",0.293622485000297
