"","dPSI_iPSC_2060573.3uM"
"ASAP1",0.985
"AC009022.1",0.967176879399474
"MAOA",0.961051484499081
"ARL15",0.957
"POMT2",0.947
"C12orf4",0.940270012309315
"PDXDC2P",0.92493974213909
"KDM6A",0.907
"MADD",0.879
"RAB2B",0.868815126843264
"LINC02210",0.857706593980787
"HTT",0.839305572018065
"CLASP2",0.821
"WDR27",0.804569622593817
"HDX",0.804
"TMC3-AS1",0.794764342277235
"ZFP82",0.787584243437071
"ERGIC3",0.787
"MLLT10",0.783416260579206
"PDE7A",0.777
"NAV2",0.776
"SPIDR",0.773527766666742
"ASCC3",0.752300662301003
"SKP1",0.746602341987395
"AC015813.2",0.744795623094128
"PDXDC1",0.737148118811183
"AC104109.3",0.734608257406244
"LYRM1",0.733
"EVC",0.724287071527237
"STXBP6",0.724281148385497
"FBN2",0.71970876701578
"ABCB8",0.718
"LRRC42",0.718
"DHFR",0.714217971435039
"CRYM",0.711702564443901
"STX18-AS1",0.698194018244886
"AXIN1",0.691
"C14orf132",0.686318801955043
"CDC37L1",0.676593212120483
"EMSY",0.663103000333833
"ANXA11",0.658
"PITPNB",0.655606089001309
"MAN1A2",0.643743802503902
"CIP2A",0.637407565065884
"SF3B3",0.635612689660245
"VPS29",0.625
"WDR90",0.615143543086343
"TNRC6A",0.611595533852506
"CCT7",0.605
"MMS22L",0.602248032632703
"ZMYM6",0.601641273364443
"CHD9",0.599
"WNK1",0.596783644114558
"TNS3",0.595402877764796
"TAF2",0.595
"MATK",0.593528751435197
"ENAH",0.593376125694
"ZNF680",0.578263404252263
"ZNF730",0.578039975020252
"PRKACB",0.574282745156739
"FIRRE",0.569612072004752
"DIAPH3",0.568107324360291
"ADAL",0.563564703345209
"DCAF17",0.559583266720859
"EXOC6B",0.547
"C1orf94",0.542953312050988
"SENP6",0.537
"TIAM1",0.531661478423737
"RAF1",0.528
"TPTEP2",0.524
"RAP1A",0.523
"BECN1",0.521808944518446
"ADAMTS10",0.521715628047588
"GALC",0.514
"MAN1B1",0.513173228193119
"LINC00678",0.512438130430744
"XRN2",0.504341053425005
"AC092718.3",0.504006304674796
"CLK4",0.5
"HIKESHI",0.5
"RNF144A",0.493203737371449
"TMEM50B",0.49
"OR2A20P",0.486680825552953
"LNPK",0.485721907254191
"PIGO",0.482519587009154
"APLP2",0.482
"ADGRL1",0.479799584541278
"USP43",0.477719889699644
"TENT2",0.476201627019476
"ARAP3",0.475032281841124
"GRAMD2B",0.473
"MYCBP2",0.473
"FAAP20",0.464
"PRKG1",0.46
"DENND5A",0.459263768822216
"DDX58",0.458571037287659
"ODR4",0.457819635470532
"DPH1",0.454983036107266
"SCO1",0.454030347330982
"AC114490.2",0.453026889435011
"GALNT16",0.446310990839913
"FAM149B1",0.443453799209963
"IFT57",0.440277716671239
"FOXM1",0.435
"SREK1",0.433
"ZNF618",0.433
"ADAMTS19",0.425
"LRP8",0.424
"AC008581.2",0.423336061827202
"KCNT2",0.421797515371936
"CLN3",0.419
"CHURC1",0.418172743958673
"AC138894.1",0.414
"PNISR",0.413735078364031
"CYB5R2",0.413
"ANKHD1",0.412914996944792
"NUP58",0.41
"PLCH1",0.408165691084464
"STOX2",0.405768394295299
"LARP7",0.404
"VWDE",0.400826243397442
"EPM2A",0.397806485883326
"KIF3A",0.394
"UNC13A",0.393657428613839
"SH3YL1",0.39
"RCC1",0.389277202203009
"SETDB2",0.388518723528821
"CACNA2D1",0.388306132863321
"ANKRD18CP",0.388125608218898
"GPSM2",0.387477068495488
"TCF4",0.385182838329271
"RSRC2",0.385
"SLC25A17",0.385
"ZMIZ2",0.381
"TARBP1",0.379528421354931
"FGF12",0.378488932407283
"TMEM214",0.3731477723627
"JAKMIP2-AS1",0.371526527221742
"HSD17B4",0.370718820572422
"DDX18",0.369
"ARHGAP5",0.367266744534361
"NOD1",0.366
"STRN4",0.363014398692851
"TASOR2",0.362
"ASAP2",0.359
"AC020915.3",0.355339274361487
"ARHGAP1",0.352105437276667
"CEP170",0.35
"NIPA1",0.347
"ADCY5",0.346
"SLC7A6",0.344
"AMT",0.343
"AVL9",0.342975036587571
"FAM162A",0.333
"TET1",0.332618791021325
"WNK3",0.332186766022895
"DLGAP4",0.33
"FGD4",0.33
"ZNF66",0.321052331267409
"ELF2",0.321
"ARMCX6",0.318
"TJP2",0.315012987076003
"MIB2",0.309
"OCLNP1",0.308510896185176
"OSBPL9",0.308
"FAM174A",0.307212109126683
"RBBP8",0.305
"AKAP9",0.304
"GGCT",0.304
"STRN3",0.303
"PPHLN1",0.302
"ZKSCAN3",0.3
"KIF21A",0.298030881896989
"APIP",0.293164096766781
"OCLN",0.288492620019243
"EIF2AK2",0.282126566776051
"SAR1A",0.280014624332153
"EML1",0.278603512306197
"MRPL39",0.278422388225292
"GXYLT1",0.278078144304258
"RERE",0.277681980984194
"CENPI",0.277555277809844
"NR1H3",0.276077493755668
"ABHD10",0.27359750632772
"SSBP1",0.271831117258574
"PELI1",0.26930266727414
"FAM13B",0.266019595603791
"OSBPL1A",0.261062532696356
"CACNA1H",0.256250224272048
