"","dPSI_iPSC_2136770.300nM"
"COL4A5",0.922115581792976
"GALC",0.92045329756216
"ANKRD18CP",0.900820400140923
"POMT2",0.884
"CENPI",0.872684505014309
"C12orf4",0.865741813355085
"ASAP1",0.821
"ARL15",0.796009207040217
"RPS4X",0.765604671652989
"HDX",0.742
"AC009022.1",0.721165266080667
"LARP7",0.7
"PDE7A",0.674
"AC104109.3",0.672943072629836
"PDXDC2P",0.646636188507048
"FOXM1",0.642
"FBN2",0.635715505331456
"KDM6A",0.626
"STX18-AS1",0.62389673473325
"FES",0.617727468583448
"MAOA",0.616821199833151
"NAV2",0.607
"HTT",0.600904353350679
"DCAF17",0.581055688917216
"TPTEP2",0.575
"LYRM1",0.552
"SENP6",0.541
"MATK",0.536862775124059
"CLASP2",0.520323738151824
"LRRC42",0.516
"LINC02210",0.511264642922326
"ZFP82",0.510629151658368
"APLP2",0.497
"PDXDC1",0.476578703752898
"GCFC2",0.466664449078539
"HSD17B4",0.466229097606362
"RAP1A",0.465
"UCHL1",0.461944397181145
"FAM162A",0.46
"ABCB8",0.458145786523324
"RAB2B",0.454394251585829
"FRYL",0.451330720401712
"PPIP5K2",0.446768684839064
"TIAM1",0.445596659280561
"ZNF783",0.442407108258832
"VWDE",0.438002712023281
"MFN2",0.435
"APIP",0.429903621867544
"KCNT2",0.429043854016497
"GRAMD2B",0.428
"THRAP3",0.428
"RAF1",0.425172720881562
"PRPF31",0.425162446236429
"ERGIC3",0.409782264413932
"SKP1",0.408457841811792
"DENND5A",0.407
"TENT2",0.403109482914473
"VPS29",0.4
"SPIDR",0.398507212879917
"SAR1A",0.398213078043352
"RPS10",0.390665887234704
"FGF12",0.388431887905874
"PPP1R26",0.382773645900145
"AXIN1",0.379
"ZNF618",0.373661094967414
"STRN3",0.372
"KIF3A",0.367
"EXOC6B",0.364
"SLC7A6",0.363162315286773
"SLC12A2",0.362059802665796
"MADD",0.362
"MYCBP2",0.356
"TAF2",0.356
"GGCT",0.353773904715046
"TCF4",0.350429081424179
"SLC25A17",0.343
"NIPA1",0.34038510933945
"ABHD10",0.339157694435101
"FAM174A",0.335
"FAAP20",0.334054997652048
"ANKHD1",0.332508523355998
"CLN3",0.331
"ELMO2",0.327
"SNHG16",0.323
"ADAMTS19",0.32272543845994
"RSRP1",0.322168604667751
"TARBP1",0.322
"AC138894.1",0.318
"MMS22L",0.315395923523733
"SGCE",0.314
"RAPGEF1",0.311761978682372
"CHD9",0.31
"WNK3",0.307836137839494
"C1orf94",0.299735154001114
"NUP58",0.299729064985952
"STRN",0.298643209574335
"ASCC3",0.294876329930069
"DHFR",0.282846234630565
"ZMIZ2",0.279008464221739
"ENAH",0.27412492854212
"DLGAP4",0.273965158802336
"RCC1",0.270241004341082
"VAV2",0.260733177197193
