"","dPSI_iPSC_2135644.300nM"
"ASAP1",0.893
"POMT2",0.884
"COL4A5",0.872706331233676
"ANKRD18CP",0.851341805994506
"ARL15",0.842
"C12orf4",0.786528238759966
"AC009022.1",0.775375810005323
"PDXDC2P",0.773977848220383
"HDX",0.766
"CENPI",0.763848695393971
"FBN2",0.73718931404064
"LYRM1",0.691
"KDM6A",0.69
"PDE7A",0.687
"RAB2B",0.660851383116841
"ZFP82",0.658639831311815
"NAV2",0.651
"HTT",0.624755087514339
"MATK",0.611646759370211
"LINC02210",0.596247595613327
"FOXM1",0.592
"STXBP6",0.584226421862116
"RAP1A",0.582
"LRRC42",0.569
"SENP6",0.552
"TPTEP2",0.517390965525771
"ZNF66",0.516082815108427
"PDXDC1",0.514827461331123
"CLASP2",0.5088444614627
"STX18-AS1",0.505985467467785
"SPIDR",0.501321157601923
"APLP2",0.488
"ADAMTS19",0.485380727958489
"C14orf132",0.471063104042459
"GALC",0.464
"NOD1",0.455
"GGCT",0.445
"FES",0.444042066234604
"TTTY14",0.443716073506911
"CHD9",0.437
"TMEM198B",0.435393379554201
"FAM174A",0.434
"NAA40",0.432
"TAF2",0.432
"FGF12",0.431436426165806
"AXIN1",0.429
"KCNT2",0.427819438416376
"ZFYVE26",0.426034983947578
"HSD17B4",0.425064881497528
"FAM162A",0.423
"RAF1",0.420216212548235
"ERGIC3",0.413
"ASCC3",0.412946187601646
"EML1",0.411621048355408
"VPS29",0.411
"WDR27",0.410443335559537
"MADD",0.406
"CRYM",0.403321380813831
"RPS10",0.401729942927903
"EXOC6B",0.4
"TIAM1",0.397873991254613
"CTNS",0.396852461531103
"BECN1",0.396479540024073
"PLPP5",0.391
"DENND5A",0.386
"MFN2",0.386
"SLC25A17",0.385
"ANKHD1",0.383527828780705
"MMS22L",0.379679635816622
"SKP1",0.378348978937379
"KIF3A",0.37807485702037
"GRAMD2B",0.378
"APIP",0.377331435832455
"TSPAN7",0.376
"DHFR",0.372856510807262
"ZMYM6",0.372069072320261
"C1orf94",0.360492663007651
"TARBP1",0.357890061230125
"ZNF618",0.356
"STRN3",0.355
"MYCBP2",0.346
"TENT2",0.343554206634844
"GCFC2",0.342432117975827
"ANXA11",0.342
"DLGAP4",0.341509110289518
"WNK3",0.338144552815459
"FGFR1",0.337
"LARP7",0.336
"ENAH",0.335686914538101
"HARS1",0.329
"MLLT10",0.325884172161411
"ABCB8",0.32
"SLC7A6",0.314655143171488
"CLN3",0.313
"NUP58",0.31
"FAAP20",0.304
"TTC23",0.304
"ZMYM2",0.304
"LINC01484",0.302
"TCF4",0.301939118704399
"PPP1R26",0.298040859939827
"ARMCX6",0.293557361451013
"ABHD10",0.288216561712252
"RCC1",0.287977202923398
"CDC37L1",0.286132161378786
"PNISR",0.281772040436009
"PRPF31",0.280766045428179
"EMSY",0.276494540861466
"ZNF264",0.275839509887424
"SAR1A",0.275558155163439
"CACNA1H",0.269382693953186
"ZNF730",0.26857593665098
"XRN2",0.264023217895178
"NIPA1",0.260610550979279
"EXTL2",0.259165002495436
"ZMIZ2",0.253270817485528
