"","dPSI_NGN2_2059811.261nM"
"POMT2",1
"GCFC2",0.986903499431332
"GALC",0.972
"EVC",0.956857054278863
"PCDH10",0.955246244398424
"HSD17B12",0.950074131743363
"ASCC3",0.943256172738071
"PDE7A",0.939
"HSD17B4",0.936954731617665
"DENND1B",0.935076885215786
"WDR91",0.928
"SNAP23",0.925
"C12orf4",0.923070801462847
"AC009022.1",0.920619840965114
"PDXDC2P",0.918981895042285
"PIGN",0.918678379690209
"MFN2",0.911
"NKAIN2",0.904729264986544
"WDR27",0.89587035231113
"TASP1",0.89307388587261
"CNGA3",0.8870912333892
"HTT",0.87163646681032
"LIMCH1",0.871
"RAF1",0.859
"LARP7",0.858
"STX18-AS1",0.846158040273482
"MTERF3",0.843818804886564
"CDC37L1",0.842216280979964
"IVD",0.833257967476597
"XRN2",0.828313222111844
"APLP2",0.811
"FAM162A",0.802
"CPLX2",0.801158162932571
"SEC22A",0.792627313904693
"PDIA5",0.792076438191585
"SENP6",0.78
"FAM124A",0.779635362578061
"LRIG2",0.779501851323519
"CTTNBP2",0.777682139137408
"USP9Y",0.772394186356811
"THSD7B",0.771492415528677
"ARL15",0.764
"PRICKLE1",0.760783328079526
"HDX",0.756
"AC068205.2",0.7546058384995
"AC026786.1",0.750144310040715
"AXIN1",0.748
"APIP",0.746403459413863
"SLC24A3",0.74123023946735
"LMBRD2",0.735141720173417
"GLRA3",0.733988710928726
"CHRM2",0.722096184073254
"TPTEP2",0.722
"NIPA1",0.719
"MATK",0.709656353917511
"CYB5B",0.709237480015839
"MEMO1",0.704704167013704
"DPY30",0.703889821802781
"ERCC8",0.697
"DHFR",0.691835568320132
"ZNF804A",0.681752554399362
"DPH1",0.680684449400028
"ZFP82",0.679611362191826
"AL031315.1",0.671794419127711
"NSMF",0.670337423197795
"ZBTB7C",0.66849798681663
"AL390879.1",0.668400944907818
"RBBP8",0.667952960367946
"GABRB2",0.666882127242693
"BEND6",0.666
"AL157871.6",0.665936692978612
"PMS1",0.665
"CHN2",0.661962187694958
"CCDC3",0.657234512479885
"SORCS1",0.653509055303182
"LRRC42",0.651
"CLK4",0.646
"ZMYM6",0.640317262937276
"PRPF31",0.6391797715018
"LINGO2",0.638174307783988
"KIF3A",0.638
"DDX42",0.635706935960534
"CHD2",0.633336446409456
"FAM174A",0.632
"ADAMTS10",0.629444811322519
"L3MBTL1",0.629
"EMSY",0.615813086406935
"TIAM1",0.615695776615659
"DENND1A",0.610557973383801
"MELTF",0.608320453642268
"MED13L",0.607641679695221
"RAPGEF1",0.606
"ZNF433",0.606
"TOE1",0.604146224457324
"SAR1A",0.602475201928419
"SNX7",0.601233400764302
"SLC12A2",0.595101684123306
"RARS2",0.590832625895998
"CLASP2",0.588400341755492
"TRAF3",0.576807672114318
"FGF12",0.573454288447025
"VAV2",0.568926078649663
"AL049650.2",0.5668487162112
"MTMR1",0.560816103392764
"FOCAD",0.559843743725711
"GALNT11",0.553294532847826
"ENAH",0.547993382128794
"AKAP7",0.540806872519418
"GXYLT1",0.53978730769174
"NRL",0.538364763519526
"KDM6A",0.535
"CACNA1C",0.532171334367443
"SLC25A17",0.528
"HIKESHI",0.523
"IFT57",0.518983376666761
"ZFYVE26",0.518472251055688
"ABCB8",0.518
"SNAI3-AS1",0.517495826460646
"SPATS2",0.517152824260743
"RAB8B",0.517132281050088
"WDR17",0.512
"RNF144A",0.510698552203921
