"","dPSI_iPSC_1755497.40nM"
"C12orf4",0.842031423276098
"POMT2",0.822
"ARL15",0.804041236481389
"HDX",0.696
"HTT",0.691090213578282
"ASAP1",0.666
"SKP1",0.604253527583458
"KDM6A",0.595
"LARP7",0.592
"AC009022.1",0.533236710134229
"MADD",0.533
"ZFP82",0.531644363488357
"PDE7A",0.53
"LYRM1",0.523
"CLASP2",0.515283366394571
"LRRC42",0.513
"ADAMTS19",0.504649726683036
"GRAMD2B",0.496417210705854
"NAV2",0.49
"HSD17B4",0.48385479071194
"LINC02210",0.482567129051608
"PHB2",0.474870310013608
"PDXDC2P",0.462983604059885
"CACNA2D1",0.45508812439383
"TRIM27",0.446
"TPTEP2",0.438213143384741
"NUP58",0.423378938693517
"CYB5R2",0.417
"FAAP20",0.416
"HARS1",0.409
"DLGAP4",0.408937618622176
"TIMM23B-AGAP6",0.40423091674763
"STRN",0.400494091938569
"EXOC6B",0.398861387021879
"FOXM1",0.39606181900605
"SENP6",0.3894672567767
"CAPNS1",0.383074046280535
"ABCB8",0.376
"BECN1",0.359271605840708
"FGFR1",0.358
"RAB3IP",0.354
"TAF2",0.349
"MMS22L",0.339016602735182
"CHROMR",0.336
"AXIN1",0.331
"ERGIC3",0.330803404108896
"MYCBP2",0.329
"STRN3",0.328
"GXYLT1",0.320902968327185
"SPIDR",0.31985806005695
"RAF1",0.316711691757421
"QRICH2",0.316
"VPS29",0.306
"ZNF618",0.303960496138007
"PNISR",0.303576588003421
"INPP5K",0.30348913986978
"EGLN1",0.302
"NOD1",0.301
"TIAM1",0.298375242506303
"RCC1",0.2868199156235
"ZFP90",0.27947718421878
"TENT2",0.272998328627191
"CHD9",0.271249137484203
"AC068587.4",0.264741925972837
"ARMCX6",0.258392588301775
"CACNA1H",0.254738805819313
