"","dPSI_iPSC_1949634.3uM"
"IGDCC4",0.524489032845455
"FGFR2",0.524216433899741
"LRIG2",0.523750674556012
"STRN",0.523318388675875
"VPS13C",0.523020658552762
"DHRS1",0.522258302097996
"RARS2",0.517
"HERC2P2",0.515462516507309
"ATXN2",0.515
"DLGAP4",0.514
"ARMC4",0.51381716948608
"CA5B",0.512274388816953
"ATPAF1",0.510611548461443
"FNDC3A",0.510272864451
"LINC00678",0.509674925255923
"WDR19",0.509026391116118
"MADD",0.509
"EP300",0.508027449757846
"SMC6",0.504
"PPP4R4",0.502373479188451
"TAB3",0.502
"TMEM18",0.502
"AC138932.1",0.501359447062682
"ZNF417",0.500860193116329
"PIGU",0.500226616639837
"GRAMD2B",0.5
"ENAH",0.499413989974917
"DLG5",0.498842638680606
"CAP2",0.498
"MDN1",0.497140536091183
"SLC7A6",0.497
"TPT1-AS1",0.496339570576474
"USP9Y",0.496143342550435
"COP1",0.495
"GALC",0.495
"AC106886.6",0.494
"L3MBTL3",0.493
"MTMR1",0.491416409844513
"OXCT1",0.489283220710505
"RBBP8",0.489
"ADGRL1",0.488542581540487
"GIGYF1",0.488070925923851
"LMTK2",0.488
"AC068205.2",0.486
"MAP4K5",0.485405646760399
"CENPK",0.485
"EPB41L2",0.485
"CCDC93",0.48364808647004
"STX2",0.482849720368149
"MMP17",0.482770048209044
"TTC7B",0.482602337177203
"ZNF815P",0.48160794991157
"FBXO38",0.48
"PTPRZ1",0.479
"ZNF680",0.478560202242016
"USP43",0.47847010917726
"PIK3R1",0.47743368846294
"IGSF3",0.476293869857164
"LARP7",0.476
"SLC44A2",0.476
"TBL1Y",0.475608230416445
"SREK1",0.475
"SUPT7L",0.475
"TASOR2",0.475
"ZNF518A",0.474
"NELFA",0.473031415255051
"PHB2",0.472985702396175
"MYCBP2",0.472
"TSC1",0.472
"PCBD2",0.471506902972244
"TMTC4",0.471404295121632
"TEPSIN",0.471
"ZNF783",0.470122592620188
"TAF5L",0.46915048312729
"NPHP3",0.468
"SAMD12",0.467642423405065
"MED13",0.467
"ZKSCAN3",0.466
"ZMIZ2",0.465
"GRB10",0.464043208869057
"SH3YL1",0.464
"LSM14B",0.463
"USP42",0.462724690893253
"KRBA1",0.462313147958214
"ZNF232",0.461953575700275
"CUL7",0.458750559489123
"MGRN1",0.458
"FBXO31",0.457784377168927
"FSD1",0.457665865911762
"PMS1",0.455
"PPRC1",0.455
"DIP2A",0.454
"PALLD",0.454
"INF2",0.453603759051442
"BAZ1A",0.453
"CPSF7",0.453
"KANSL3",0.453
"MTRF1",0.452863792262248
"TAMM41",0.452503713591853
"ZFR",0.452099159476114
"TPP2",0.452
"ZNF346",0.452
"BIRC6",0.45118363013909
"SUPT5H",0.451
"TBL1XR1",0.450018403184872
"MARK3",0.45
"FAM172A",0.449984800804317
"CSNK2A1",0.448746931129095
"BRD8",0.448
"ARID1A",0.447329768863069
"PIKFYVE",0.447097301729693
"DOCK1",0.446900881407096
"FAM126A",0.443947183045119
"GAS2L3",0.443636541712136
"AL157778.1",0.443
"TMEM198B",0.442001730433311
"NUP35",0.442
"AGGF1",0.441553160894912
"RAB38",0.44128044905437
"FBXO10",0.440583673732295
"CAMKMT",0.440242569376586
"ZNF43",0.440053693547627
"FAM149B1",0.44
"DGKZ",0.439
"TMED9",0.4383972894441
"VSIG10",0.437938560443598
"OSBPL6",0.437159403737221
