"","dPSI_NGN2_2136770.1000nM"
"POMT2",1
"DENND1B",0.999999999740793
"C12orf4",0.999998026080092
"SEC22A",0.999993211186014
"HTT",0.991106994795902
"SOS2",0.990186687924523
"WDR27",0.98774383119488
"TASP1",0.987493585486024
"KDM6A",0.983
"PCDH10",0.982786273633961
"PIGN",0.976391035659337
"HSD17B12",0.973050719556231
"PDE7A",0.972
"GXYLT1",0.965881139556762
"COG3",0.965053489531852
"MLLT10",0.963243844897151
"GARNL3",0.961885201367727
"RAF1",0.96
"GALC",0.955
"ZMYM6",0.954479805833601
"LARP7",0.954
"MFN2",0.951
"GCFC2",0.949277035556165
"CYB5B",0.948037113770591
"DENND1A",0.942688988054103
"ARL15",0.942
"PITPNB",0.935663329900258
"CNGA3",0.935177588037356
"IVD",0.923890071246421
"COL4A5",0.918845138494739
"CDC37L1",0.918518136972361
"XRN2",0.917618241120288
"AC008581.2",0.912687699717862
"FAM162A",0.912
"LMBRD2",0.910462550729339
"LINC02210",0.907019978204994
"LIMCH1",0.893
"AL157871.6",0.89219143856238
"SETX",0.890433154605816
"SNX7",0.887433761407591
"WDR91",0.883
"GABRB2",0.876953490093357
"CPLX2",0.876446792987645
"TAF2",0.875
"ERCC6L2",0.873
"CEP57",0.872
"USP9Y",0.868596124893552
"SENP6",0.867
"FOCAD",0.866912017370345
"SLC12A2",0.865401141771781
"AXIN1",0.865
"MDN1",0.864379438385723
"CHN2",0.861794089745789
"DHFR",0.859516015341768
"ABCB8",0.856
"AGPS",0.852441693475999
"FAM124A",0.851641463506755
"CENPI",0.850107878240958
"LRIG2",0.849304320077614
"ADAMTS10",0.848200341008195
"EXOC6B",0.848
"TOE1",0.847890439390187
"ASAP1",0.846388194397223
"MTERF3",0.84385806458388
"SAR1A",0.843145277404169
"LARS2",0.842
"SREK1",0.839
"TPTEP2",0.836
"CYLD",0.833409410332612
"GNAQ",0.827962145005056
"MYT1",0.825
"ANKRD18CP",0.82409965726705
"MACROD2",0.82402904962581
"APLP2",0.821
"SCO1",0.821
"ENOX1",0.819531065377688
"HDX",0.819
"LRRC42",0.819
"DNAJA4",0.81331052605074
"DDX42",0.813213226703278
"AC114316.1",0.810720012756832
"ODR4",0.806629671840636
"ERCC8",0.804
"WASHC4",0.803220593244797
"PRPF31",0.800616286348488
"NUP58",0.798
"TPGS2",0.797
"NEDD4",0.794887579568258
"ZFP82",0.792482548172536
"APIP",0.790562000107608
"TIAM1",0.790105379491731
"CACNA1C",0.787
"NIPA1",0.782
"DCBLD2",0.781634696197967
"SF3B3",0.780399402141463
"BICRA",0.777681234574273
"FBXL16",0.77736562858104
"ATP8A2",0.775791840602398
"ZNF804A",0.775321372049038
"GLRA3",0.775268534598309
"MAN1B1",0.774307722914126
