"","dPSI_NGN2_2059811.870nM"
"POMT2",1
"SNX7",0.999999999793368
"COG3",0.995036033148267
"PCDH10",0.99452316554203
"C12orf4",0.994221658978051
"GXYLT1",0.99369505079885
"SOS2",0.990815107066877
"DENND5A",0.989
"PIGN",0.98283654047111
"LMBRD2",0.981370919427178
"TASP1",0.977784098002215
"MED13L",0.977350935561125
"TOE1",0.974168556023396
"HTT",0.972552744438576
"MLLT10",0.97225893996179
"DENND1B",0.969816521931361
"EVC",0.969583430930516
"MAST4",0.968295552473956
"RAF1",0.967
"IVD",0.966872621611442
"GCFC2",0.964169189079494
"PDE7A",0.963
"GABRB2",0.956112727872543
"CHRM2",0.954121033161486
"CDC37L1",0.953910114736184
"CYB5B",0.950292490645056
"SLC12A2",0.950026017645397
"LARP7",0.949
"ZMYM6",0.94827252574221
"GNS",0.946608162360746
"ARL15",0.942
"HSD17B12",0.940942127130314
"WDR27",0.939180166371986
"PRKG1",0.936749113487332
"AL157871.6",0.936485187720829
"GALC",0.936
"CNGA3",0.935227625758943
"LINC02210",0.935157525503275
"CTTNBP2",0.931362369850133
"GARNL3",0.927793626051388
"APPL2",0.92689401445033
"CHN2",0.921760911902709
"MDN1",0.919619179845465
"MTERF3",0.917636877406535
"PMS1",0.91486331388043
"PRPF31",0.912538601132133
"NPY5R",0.909159339108375
"FAM162A",0.909
"LARP4B",0.908570055130098
"SAR1A",0.908068268106756
"LNPK",0.904126350011975
"DENND1A",0.9040948727629
"KDM6A",0.903
"CHD2",0.902251559423752
"LRIG2",0.897720781479225
"LIMCH1",0.896
"PPIP5K2",0.889063739192113
"XRN2",0.88717255705678
"USP9Y",0.88675862091254
"PDIA5",0.886416332826589
"CYLD",0.886127610297524
"AC068205.2",0.885680163859022
"AGPS",0.884472402954633
"VAV2",0.884312212040412
"DCBLD2",0.880193022346099
"GALNT11",0.875483562130681
"DPH1",0.866533459225858
"SCO1",0.865
"DHFR",0.863527481834771
"AC114490.2",0.863160890976989
"AXIN1",0.862
"MTMR1",0.859398414028144
"ENOX1",0.851349416669947
"SLC24A3",0.850419018684276
"LARS2",0.85
"CPLX2",0.848119168881106
"GLRA3",0.847432750620214
"NEDD4",0.846670835321464
"LUC7L3",0.846404819487582
"ZNF138",0.845764689704156
"FOCAD",0.844476013707004
"FBXL16",0.844253651767448
"ANKS1B",0.839736043119387
"SENP6",0.839
"PRPF39",0.834326397506931
"ZNF804A",0.834176929935814
"STX18-AS1",0.828715062108303
"APLP2",0.828
"CAPRIN2",0.82781017423384
"SMC5",0.823768023464776
"SORCS1",0.822759945294903
"TPTEP2",0.822
"DGKI",0.819918249466363
"ODR4",0.818612836263987
"HDX",0.818
"ADAMTS10",0.815563673379412
"TAF5L",0.813
"AC026786.1",0.808361776069095
"LRRC42",0.808
"NUTM2A-AS1",0.806
"NLN",0.805784377278419
"ANKRD13C",0.80554877855427
"CLASP2",0.798961436840174
"MFF",0.798
"APIP",0.796684160808973
"AL031315.1",0.796011212641383
"FAM124A",0.795369293120961
"TMEM214",0.792259239703501
"CEP57",0.791
"FAM174A",0.79
"EMSY",0.78986774796158
"ZNF169",0.789311393780809
"EXOC6B",0.789
"FUT9",0.788939285416246
"CCDC93",0.788497892121392
"KLHL1",0.787294258140065
"MATK",0.785268977554676
"DOCK3",0.784033320893731
"SERF1B",0.783729342817399
"TAF2",0.782
"NUP58",0.777
"RBBP8",0.776481603481626
"BICRA",0.775355394525621
"DLG5",0.774726570255299
"MMS19",0.771843368089874
"GNAQ",0.769910528734499
"ABCB8",0.765
"RARS2",0.764797975568334
"NLGN1",0.76386834452742
"TIAM1",0.7632475859101
"ZNF585B",0.763195566283515
"NIPA1",0.762
"DUS4L",0.759690221694103
"ZFP82",0.757692955388133
"BEND6",0.756
"SETX",0.755605711421668
"SPATS2",0.754980019987953
"FGD4",0.754
"BRWD3",0.750050465420417
"PCM1",0.749470780533888
"PTPRT",0.7476883400457
"WDR19",0.747048418056593
"BDP1",0.739879655437065
"SPIDR",0.739019371166955
"HSPA4L",0.736782554115759
"ARMH3",0.731897999644622
"GRIA1",0.727618259117022
"CPT2",0.727011990820233
"AKAP7",0.725621942564785
"ABAT",0.72263138563133
"OTUD7A",0.716867328541262
"VDAC2",0.713543301454072
"CACNA1C",0.711184544048928
"ZMYM2",0.709
"OXNAD1",0.708796677036396
"SEC22A",0.706935901803652
"NRL",0.705270155531421
"DDX42",0.703587901537203
"RICTOR",0.703225597579947
"ZNF280D",0.700939719662664
"RNF144A",0.700094505680997
"ABHD10",0.698
"ELP4",0.692
"CCDC3",0.691188541994758
"AGK",0.687860843475367
"SLC41A3",0.68707438375836
"WNK1",0.673560571973519
"RAB27B",0.673539572035283
"PIK3CD",0.671845244085143
"CD47",0.670899581099965
"DLGAP4",0.669
"SREK1",0.669
"STRN",0.668860261800579
"LRRC6",0.665307564382858
"LINGO2",0.662842095747659
"SYTL2",0.661
"SPPL2B",0.66
"AC008581.2",0.656219414072586
"CYP2R1",0.65594153952415
"TANK",0.654198676817351
"MORN1",0.65324951557659
"AGGF1",0.651497861308406
"ATP8A2",0.651163398286337
"TMEM117",0.650706560777603
"ADGRL1",0.650436053878351
"SSR1",0.649612992395394
"SRGAP1",0.647146685932235
"SLC7A6",0.646
"ANP32A",0.645156122712699
"PRICKLE1",0.643013160767784
"DDX50",0.640997217577962
"WSB1",0.64
"ERC1",0.639431909224464
"SULF1",0.635295341411703
"RAPGEF1",0.633
"DTNA",0.627919323405989
"ULK1",0.627598191359098
"ELMO2",0.627
"ZNF433",0.625
"BTBD10",0.621722181094658
"SORCS3",0.620316853742632
"ZNF618",0.619
"ZMIZ2",0.613
"RPF2",0.612511592419733
"TENT2",0.610984195626715
"VSTM2L",0.608128144211839
"AP4E1",0.606777335069541
"SGCZ",0.600468442807127
"MACROD2",0.599745250082151
"STX16-NPEPL1",0.598558945205751
"EBAG9",0.598325561881703
"CLTC",0.598
"PIGU",0.596855690243929
"TMEM131",0.596794844346537
"SGK1",0.59337278014598
"LYRM1",0.593
"MELTF",0.592368528022015
"AL157778.1",0.59
"QKI",0.588032402479485
"PEPD",0.587
"RERE",0.586745008491942
"FUCA1",0.584994654053867
"EPHA4",0.582214474548309
"IGSF3",0.58188279750602
"GLRB",0.58
"NR1H3",0.577484610143491
"OSBPL5",0.576769434090032
"ZFYVE26",0.576241729826285
"MFN2",0.576
"BLMH",0.574080654491325
"CNNM2",0.573980327106935
"PLXNC1",0.571295596241015
"RBBP4",0.571005155087857
"ZNF730",0.570211593209326
"WDR37",0.57
"FNDC3A",0.569167440415071
"FASTKD2",0.568212845471722
"CRYL1",0.568
"UNC13A",0.563493626844078
"GNG10",0.561903939646928
"PGGT1B",0.558420475812294
"TXNL4B",0.558381225850667
"SPOPL",0.557666925309828
"CCDC122",0.5560530714209
"BTN3A1",0.551963815716429
"ANKRD36",0.551855791002728
"STXBP4",0.546728905479189
"PHACTR1",0.546596713175477
"RAP1A",0.546
"YPEL5",0.546
"TDRKH",0.545038442206072
"ATXN1",0.544395138327352
"MRTFB",0.543213564395007
"HMGN1",0.54
"ZNF10",0.539620064824076
