,dPSI_BIO2195127_CHX_vs_DMSO_CHX
AC009022.1,0.529689783092393
ADAMTS19,-0.589795308823292
ASAP1,0.38151722176591
ATG2B,0.258839682445779
CACNA2D1,0.259995688791626
CACNB4,-0.287798583560185
CIP2A,-0.534202117163389
CRYBG3,-0.272476739706
DHFR,-0.338219685926374
DIAPH3,-0.365983013602999
EVC,-0.341150919945711
EXOC6B,0.267301763983138
FAAP20,-0.35062481113513
FHOD3,0.463413800172999
GARNL3,0.427310884429636
GXYLT1,-0.267943785754838
HTT,0.386731613237575
KCNT2,-0.276424481090955
KDM6A,-0.274305224180323
LINC01515,-0.412429042050188
LNPK,-0.307602147718119
MAN1A2,-0.259377210259357
MELTF,0.25110553538461
MLLT10,0.291684987219752
NUP58,-0.297867375033432
OCLN,-0.281270373560939
PDE7A,0.294949867182546
PDXDC1,0.340931849576149
PITPNB,0.326831770765588
PNISR,0.357169575019649
POMT2,0.34879790373514
PSMA1,0.429734340023241
SDCBP2.AS1,0.335695600207633
SH3YL1,-0.263137188402097
SLC25A21,0.256057444905676
SLC7A6,-0.266129625160916
SPEF2,0.539757969520761
SPRYD7,-0.300503682618107
SREK1,0.262321863695457
TAF2,-0.375234547826407
TENT2,0.254475978323817
TIAM1,-0.332516706526901
TMEM50B,-0.259871078653757
WDR27,-0.320152578855122
XRN2,0.253207514717574
Z69733.1,0.261372686706905
ZBED3.AS1,-0.30183220009377
ZNF37BP,0.323839093643514
