,dPSI_U1_mut1_500_CHX_vs_DMSO_CHX
ABHD10,-0.318624217394213
ABHD13,0.37421559561119
AC009022.1,0.357328373763281
AC010148.1,0.250380455811215
AC020915.3,0.266910317917464
AC093752.1,-0.357646131401663
AC245100.4,0.275609396630779
ACBD5,0.258026414245397
ADAM17,-0.299601239028638
ADAMTS19,0.277690141946296
ADCY3,-0.316110611705986
AGPS,-0.314159275363034
AIDA,-0.407162521512642
AKAP8L,-0.260178253312392
AKAP9,-0.292109440365035
AL590705.3,0.323196814776967
ANAPC1,-0.288670925330768
ANKHD1,0.257241863431792
ARFGEF2,-0.336701146538895
ARHGAP5,-0.271340579512708
ARID1A,0.35370577628695
ARMC2,0.307482324850218
ASH1L,-0.354095311881152
ATF2,-0.36809692808389
ATP5MC2,0.250578146550843
AXIN1,-0.384735773401547
BIVM,-0.271855639204897
BRWD3,-0.280534215825713
CACNA2D1,-0.262922020103295
CCDC15,-0.26808984040639
CCDC162P,-0.251320335453676
CDC27,-0.278917782944956
CHCHD3,0.264532196444988
CLASP1,0.443403148263715
CLK1,-0.277645236082061
CLK4,-0.452053491178398
CNNM2,0.288293695373945
CNOT1,0.260349339580089
CREBRF,0.355859879754697
CSF1,0.26228810038336
CYTH1,0.510568820991583
DENND4A,-0.258542977364566
DGCR8,-0.423582875214571
DIAPH3,-0.267767553481801
DLG5,0.307951994883572
DNAJC27,0.299199056123288
DPH1,-0.283793792019454
DPH6,0.31016915231589
DPY19L1P2,0.513644280550989
DSG2,0.311142180633821
EMSY,-0.431305630163195
ERC1,0.309860880556971
EVC,-0.257278452158754
FAAP20,-0.252221685277352
FAM168B,-0.321347518233127
FAM222B,0.670163598284224
FCHO2,-0.342508933245058
FOXM1,-0.455199545535811
FRS2,-0.3287754906113
GCC2,-0.264184849301532
GFPT1,-0.366903933122155
GNS,-0.290146756827745
GRAMD1A,-0.297173387261499
GRAMD1B,-0.28205716070821
GXYLT1,-0.404104140683947
HACE1,-0.276543710261071
HECTD1,0.2591757328596
HS3ST3A1,0.398422720160163
HTT,-0.308457736477565
IGF2BP3,0.297296442224736
IL17RC,0.250486257281768
INPP5K,-0.280147703194979
KIAA0232,-0.312326754106485
KIAA1109,-0.256866343485204
KITLG,0.264479862641872
LGALS9,0.257634768281742
LINC00467,-0.297866883383412
LINC00857,0.37389598591553
LRRC1,-0.316971706124264
LRRC27,0.288803638413566
MADD,0.277726011929162
MAGI1,0.299334086778618
MAN1A2,-0.30849721697412
MAP3K15,0.322819229733578
MAP3K3,-0.372428405696153
MARCHF8,0.311986311393342
MBTPS1,-0.322741595453427
MECP2,0.39978539052314
METTL16,0.469013725375176
MLLT10,-0.340970875664142
MON2,-0.255013216227025
MPC1,-0.283167059519235
MRPL39,0.285229916096795
MYB,-0.266756502713689
MYCBP2,-0.304441329880878
N4BP1,0.320146018421925
NIPA1,-0.331448483180013
NPLOC4,-0.273618573305365
NR4A1,0.321804350808065
NSRP1,-0.455705829010105
NUDT1,0.255983193791464
NUP58,-0.577554858777335
PAIP2B,0.281439823265387
PALLD,0.374258425600381
PAXBP1,-0.260529273811691
PBX3,-0.311851823960346
PCDH10,0.303960770517217
PCLO,0.330322277684782
PDE10A,0.251193890607113
PDE7A,-0.364469792709007
PDS5B,-0.277921385743627
PDXDC1,-0.309876664398322
PEA15,0.259026851996411
PIGN,-0.395584260655347
PITPNB,-0.26489400740492
POMT2,-0.321976452968959
PTP4A2,0.830083888634323
PTPRJ,0.26286736107836
RAF1,-0.267036251902561
RAMP2.AS1,0.424811104158064
RAPGEF1,-0.354003459820656
RBBP8,-0.36432669564377
RC3H1,-0.343059676426025
RICTOR,0.449666857417349
RPL23AP82,-0.27538281118009
SCO1,-0.283912769668085
SDCBP2.AS1,0.27526170185816
SEPTIN7P2,-0.358975739377573
SF3B3,-0.272207164406164
SLC25A12,-0.308274977628609
SMAD9,0.437180438097574
SMPD4BP,-0.30718398164356
SNIP1,-0.392560218405853
SNX13,-0.272752609686185
SNX4,-0.422441174463238
SNX7,0.258688007166671
SOCS6,0.27109363147257
SOS2,-0.322498765961121
SPIDR,0.353665409810662
SRGAP1,0.462216944528321
SSH2,0.485218409922735
STAT1,-0.250772449411174
TAF2,-0.297009782797575
TAF6,0.323274765320933
TANC1,-0.282388855500668
TIA1,-0.275812886627663
TLE4,0.763621062467748
TMC3.AS1,0.2820179191823
TMEM165,-0.354127937178008
TMEM184B,0.318747934529609
TMEM50B,-0.371014541847763
TMX3,-0.35055250311555
TRAF3,-0.391562333325767
TRAPPC10,-0.308417501365819
TRIM41,0.273304100791566
TSC1,-0.352769141550317
TXNDC16,-0.280221425849421
TXNL4B,-0.305221156506853
UBN2,-0.366377674739149
UPF1,-0.533285006016656
VAMP1,0.262227263886329
VIRMA,-0.300601437954465
VPS54,-0.258651199589843
VWA8,-0.259773855153845
WHAMMP3,0.263789582097692
WNK3,0.370843040583993
ZDHHC17,-0.345477268056495
ZFP62,-0.313939826242324
ZFR,-0.305131285498054
ZFYVE1,0.25097813242719
ZMIZ2,0.445645199043131
ZMYND8,-0.35289034348181
ZNF385A,0.280561387826132
ZNF777,0.317623455974041
ZNF836,0.282392295271493
ZYG11A,-0.259391043057382
