,dPSI_Branaplam_CHX_vs_DMSO_CHX
AC009022.1,0.513280612165223
AC020915.3,-0.286095015675335
ADAMTS19,-0.464925653156316
ASAP1,0.262763677997595
CACNA2D1,0.419901521969156
CACNB4,-0.272388562869633
CHST12,0.268503336235656
CIP2A,-0.486837331905548
DIAPH3,-0.409594265278599
EMSY,-0.261784538111029
EXOC6B,-0.254143498583273
FAAP20,-0.349506255023554
FHOD3,0.43568742673259
GARNL3,-0.302540842634566
IGF2BP3,0.265938883189198
KCNT2,-0.267173380072879
LNPK,-0.282856108401309
MAN1A2,-0.306644811019053
MELTF,0.305455968739949
MLLT10,0.272293816744564
PDE7A,0.272090137468719
PDXDC1,0.337560070641781
PITPNB,0.284973460761944
PNISR,0.268137348101926
POMT2,0.371708403301138
PSMA1,0.413843421785499
SLC7A6,-0.289599615793752
SPEF2,0.4066761057032
SREK1,-0.292699157567583
TAF2,-0.392393460537101
TENT2,0.285937025533409
TIAM1,-0.358221948652768
TMEM50B,-0.294365170338533
TRAF3,-0.306029388574996
WDR27,-0.32431890702285
XRN2,-0.442064446190405
ZNF37BP,0.320572079800541
