,dPSI_BIO2197294_EtOH_vs_DMSO_EtOH
ABCB8,-0.328602791731081
ASAP1,0.259870577028628
C1QTNF6,0.271875419677202
CACNA2D1,0.415626455505594
FAAP20,-0.279655630182216
HTT,-0.265599045588256
KDM6A,-0.474021644328608
MADD,-0.320283114267414
PDE7A,0.336780326035402
POMT2,0.333447390408404
PYCR1,-0.260992838899112
SETDB2,-0.264416515615352
TAF2,-0.35032882548587
TIAM1,0.27996069836033
WDR17,0.46580258719023
ZNF37BP,0.297974171513545
ZNF618,-0.259591909100774
