,dPSI_Branaplam_EtOH_vs_DMSO_EtOH
AC009022.1,-0.350195710632945
ALAD,0.265277880087528
ASAP1,-0.451629706913853
CACNA2D1,0.535344812131189
CKMT1B,0.418564959841658
FAAP20,-0.348008782379183
HTT,-0.268431644904463
KDM6A,-0.433163416206078
LARP7,-0.39175487441981
MADD,-0.309434951767391
PDE7A,0.288770078713226
PNISR,0.281353268135352
POMT2,0.332625490509013
PYCR1,-0.256074487836614
TAF2,-0.341623033618384
TIAM1,0.304631179876414
TPTEP2,-0.260400282552055
ZNF37BP,0.267295076834694
