Row.names,dPSI_U1_mut1_100_EtOH_vs_DMSO_EtOH.x,dPSI_U1_WT_100_EtOH_vs_DMSO_EtOH.x,dPSI_U1_mut1_100_CHX_vs_DMSO_CHX,dPSI_U1_WT_100_CHX_vs_DMSO_CHX
AC009022.1,NA,NA,-0.312535597400663,NA
ANKHD1,NA,NA,-0.267026001813094,NA
BCLAF1,NA,NA,-0.31580793789599,NA
CLK4,NA,NA,-0.312561340625409,NA
GXYLT1,-0.26223328595166,NA,NA,NA
MADD,-0.250174145631213,NA,NA,NA
MLC1,-0.287984122181511,NA,NA,NA
MRPL39,-0.26677520127066,NA,-0.296621192578636,NA
NUP58,-0.286094316521776,NA,-0.297995079847617,NA
PHB2,0.338949679857759,NA,NA,NA
PNISR,0.253365281671068,NA,NA,NA
PTP4A2,0.4001440283183,NA,NA,NA
RNF32,0.383279731137537,NA,NA,NA
TMEM237,NA,0.440461472542386,NA,NA
