,dPSI_U1_mut2_500_CHX_vs_DMSO_CHX
ABHD4,0.37741016129913
AC008581.2,-0.31532928734887
AC090825.1,0.342399113022576
AC215522.2,0.294373994817518
ADCY3,-0.301369059706868
AFF1,-0.378077658957325
AL355574.1,0.296319340642663
ALG13,-0.296695307387233
ANKRD20A2P,0.251868802247434
AP3B2,0.251530054481562
ATP6AP1L,0.427532116475033
BARHL2,-0.364474345530629
C1GALT1,-0.263459900573764
CALM1,-0.310576414022351
CCDC130,0.305997965878726
DENND4A,-0.285143393780554
DLG5,-0.358960524163615
DNAH14,0.264294378496837
DZIP3,-0.274802735892797
EFCAB14,0.276651420636919
ELMOD1,0.277727118508369
ENPP2,-0.352129118061868
ERGIC2,-0.250115914467253
FAM122C,0.331405471697255
FAM200A,-0.285648997209629
FMNL2,-0.339271804925755
FNIP1,-0.301760142333998
FNIP2,-0.383206511071277
GALNT13,-0.318387579973989
GDAP2,-0.302393300450118
GDI2,-0.274263454545155
GK5,-0.358306323816343
GNPTAB,-0.250606597318593
GORASP2,-0.311098677474601
GRK3,-0.300876114203096
GUCY1A1,-0.310123231871788
HEATR5B,-0.303414397085266
HERC2P2,-0.321311545466497
HIKESHI,-0.297554631272911
HOOK1,0.278273517419647
HUNK,0.296714518232
ICE1,-0.271954652058281
KDM4A,-0.334671276328588
KIAA1109,0.389763824683232
L3MBTL3,-0.250256695907215
LIMS1,-0.343945154166042
LINC01145,0.313048544637749
LRCH2,-0.336577822452667
LRP6,-0.425695664032446
LRRFIP2,-0.411235437223736
MAGI1,0.321376921889909
MATR3,0.380211860492058
MED23,0.268042277199294
MED27,-0.284840136155483
MEF2D,0.258355278954606
MIGA1,-0.38251250766701
MLLT10,-0.252967923581802
MLLT6,-0.265395431409258
MPC1,0.633481401867351
MTX2,-0.253882913268594
NAGK,0.272261515100682
NCKAP1,-0.288239338878362
NEK7,-0.287391807530954
NPIPB9,-0.322613954786879
NR2F1.AS1,-0.27735274265751
PCYT1A,0.254325509966611
PHACTR4,-0.360323879913764
PPP1R9A,0.26899661041831
PRKX,0.263809211269707
PTPRJ,0.314300808913136
PTS,-0.269307707020976
R3HDM2,-0.333837353841165
RABEPK,-0.311181663956306
REST,-0.348394272791744
RPS3,0.38678232426288
RPS6KB1,-0.361253222090772
RSPRY1,-0.264528348574402
RUBCN,-0.353882659119788
SEC24D,-0.277674729165349
SERAC1,-0.312642031408981
SH3BP4,-0.345426440625683
SH3GLB1,-0.445075968234248
SIPA1L2,0.295767658588494
SLC25A23,-0.295022993306602
SLC25A40,-0.278749764929206
SLC27A1,0.270019730954933
SMOX,-0.389005374957267
SNX22,0.275158469272833
SSH2,0.44981959375003
STIM1,-0.284479982691969
TCAIM,0.32481224347625
TNKS,-0.305416359167577
TPST2,-0.258271033960689
TRIO,-0.382657282162076
USP37,-0.357539863502558
VAPA,-0.447136933125377
VPS13B,0.274369933091992
VPS13C,-0.315678511886307
WDFY2,-0.260749845992433
WDFY3,-0.352609605422788
ZNF236,0.321834288119628
ZNF34,-0.339114525933307
ZNF532,-0.272751409813093
ZNF704,0.38528522528707
