Row.names,dPSI_U1_mut2_500_EtOH_vs_DMSO_EtOH.x,dPSI_U1_WT_500_EtOH_vs_DMSO_EtOH.x,dPSI_U1_mut2_500_CHX_vs_DMSO_CHX,dPSI_U1_WT_500_CHX_vs_DMSO_CHX
SMOX,-0.389760585802708,NA,-0.389005374957267,NA
SNX22,NA,NA,0.275158469272833,NA
SSH2,0.361965398569034,NA,0.44981959375003,NA
STIM1,-0.256911730790381,NA,-0.284479982691969,NA
TCAIM,0.297037670417448,NA,0.32481224347625,NA
TMEM268,-0.278031805986368,NA,NA,NA
TNKS,NA,NA,-0.305416359167577,NA
TNKS2.AS1,0.281021433711327,NA,NA,NA
TPST2,NA,NA,-0.258271033960689,NA
TRIO,NA,NA,-0.382657282162076,NA
ULK4,0.34868081316945,NA,NA,NA
USP37,-0.393611351798239,NA,-0.357539863502558,NA
VAMP1,0.258584557186788,NA,NA,NA
VAPA,-0.435258078257541,NA,-0.447136933125377,NA
VPS13B,NA,NA,0.274369933091992,NA
VPS13C,NA,NA,-0.315678511886307,NA
WDFY2,NA,NA,-0.260749845992433,NA
WDFY3,NA,NA,-0.352609605422788,NA
ZNF155,-0.314238031934914,NA,NA,NA
ZNF221,0.296308517193517,NA,NA,NA
ZNF236,NA,NA,0.321834288119628,NA
ZNF34,NA,NA,-0.339114525933307,NA
ZNF516,-0.379404459059896,NA,NA,NA
ZNF532,NA,NA,-0.272751409813093,NA
ZNF704,-0.262672171106566,NA,0.38528522528707,NA
ZNF767P,0.312829647208278,NA,NA,NA
