,dPSI_U1_WT_500_BIO2197294_vs_U1_WT_500_EtOH
AADAT,-0.283163416176954
ABCB8,-0.303957984824529
AC004803.1,0.302278524611874
AC009022.1,0.494929626634421
AC009533.1,0.291955920869892
AC138649.1,0.25730274887939
AC138894.1,-0.293116529476933
ACAD11,-0.256257951611113
ACTN2,0.272347258501923
ADAMTS19,0.366160736273104
AGO3,-0.296930745456997
AKAP17A,-0.297983518636396
AKAP8L,-0.432404839906239
AL009179.1,-0.287351305042466
ARSK,-0.300285900651307
ASAP1,0.31376968128913
ASTE1,-0.256799613893724
ATF2,-0.280986259140549
ATRX,-0.341288370065076
AUH,-0.256081549274936
BTN3A3,-0.361655718501615
C19orf47,0.362569417922371
CACNA2D1,0.381385912646505
CACNA2D3,0.305110016420333
CASKIN1,0.296682228278071
CASP2,-0.296351003140283
CBWD5,-0.2789070546898
CDK11A,0.277748996566582
CEPT1,-0.297394589750756
CIP2A,-0.322764210955871
CLASRP,0.30727405433844
CLK1,0.395910032979422
CLK4,0.277696200313018
COX18,0.299967391210805
CYTH1,0.455069171661039
DCAF8,-0.321307975270504
DECR2,-0.308920701745642
DENND1B,-0.268503415145613
DHX34,-0.255329376380982
DHX9,-0.369896273032033
DNAJC25,-0.292752991585678
DNAJC27,0.270104207718901
DNAJC6,-0.279663255517315
EDRF1,-0.337147762686432
EIF4A2,-0.282038946248765
EMC9,-0.263872717729665
ERGIC3,-0.310201796179148
EVC,-0.342016981375229
EXOG,-0.316713877169933
EYA3,-0.362176290472319
FHOD3,0.371022034743366
FNBP4,-0.317862095659807
GDAP1,0.324957777771462
GOLGA8A,0.370890166239945
GPATCH2,0.261638318309531
H2BC5,-0.253909166933329
HLF,0.255517540734268
HSD17B7P2,0.328281517672291
HTT,0.273110412407847
IFFO1,-0.375032539349802
IMPACT,0.26779314649364
IVNS1ABP,-0.382524365939711
KCNT2,0.514421817878601
KIF27,-0.270922687297119
KPNA5,-0.304632230880944
LINC02210,0.2586708953366
LRIG2,-0.305573852264405
LRRC27,-0.376521231736149
LRRC69,0.315372689078025
LTN1,-0.25417077748152
MAN2A1,-0.273791409043595
MAP3K15,-0.436483257013645
MCEE,0.307521630939519
METTL22,0.39491245843382
MINAR1,-0.343535292498017
MLLT10,-0.400537579568157
MUTYH,0.258851853013834
NAA16,-0.346535440898555
NAA25,-0.306397403602101
NKTR,-0.366849313014955
NOP56,0.370157832355053
NSUN5P1,-0.289661299503368
NT5M,0.282002629582254
ODR4,-0.273661267061495
PARP4,-0.255712611841655
PATL1,-0.324825295898269
PCNX2,0.279650450671209
PDCD6IPP2,0.383219346965089
PDE5A,-0.362659717580003
PDE7A,0.400956024848288
PDSS1,0.26140949924363
PDXDC1,-0.441864481893084
PIF1,0.390494149911822
PITPNB,-0.40666348483944
PNISR,0.250521595251709
POGLUT1,-0.25373813310731
POLG,-0.364468018266822
POLN,-0.382301869274604
POMT2,0.325854154642156
PPCS,0.330201350627363
PPIEL,0.25105849350014
PPP3CC,-0.342913394693803
PPP4R3A,-0.257330495113863
PRKRA,-0.350009355745564
PRPF38B,-0.296463824065095
PRPF39,-0.319580182578023
PSMA1,0.363359440354461
PTBP2,0.453537148363255
QRFPR,-0.416111586728287
RAPGEF6,-0.268169662671343
RELCH,-0.27637289097162
RHBDD2,-0.34627988712382
RRAGB,-0.493172187890844
S100PBP,-0.25946180250779
SCAI,-0.270768510701659
SCAND2P,-0.303075190666236
SDHAP3,-0.334142355157335
SELENOO,-0.297582608969091
SEMA6C,-0.390073996504778
SETDB2,-0.288077355850131
SFMBT2,0.34606256464154
SLC36A4,-0.307760198894268
SLX1B,-0.258419259696766
SNHG20,-0.251658603622937
SNRNP48,-0.3506484956598
SPATA5L1,-0.285766720683677
SPRYD7,-0.269843557787272
SREK1,0.303078424966337
ST7L,-0.259523504188516
STAG3L4,-0.262028404844431
STK16,0.287259610733117
TAF1,-0.253712698374952
TAF2,-0.357595738686079
TBC1D8B,-0.250746534437933
TBCK,-0.255024386793094
TENT2,0.259158581011904
THUMPD2,-0.357116270144632
TIAM1,0.254365909167354
TMC7,0.327778561468381
TMEM222,-0.261633290232837
TMEM237,-0.380664575185792
TRMT11,-0.349117707549721
TRNT1,-0.297112393646128
TTC9C,-0.273283105722156
TUBG2,0.33308310799287
TXNDC16,-0.290304941076063
U2AF1L4,-0.26345274240058
VWDE,-0.312972884503024
WASHC4,-0.313244006306636
WHAMM,-0.301328989817088
XRN2,-0.430846119284423
ZDHHC17,-0.277911760581034
ZNF276,-0.318719893062924
ZNF324B,0.376221090098351
ZNF37BP,0.310359245050092
ZNF529,0.252352240199505
ZNF618,-0.319427452813158
