,minpadj_maxPdPSI_iPSC-4088-10x,dPSI_iPSC-4088-10x,minpadj_maxPdPSI_iPSC-4088-3x,dPSI_iPSC-4088-3x,minpadj_maxPdPSI_iPSC-4090-10x,dPSI_iPSC-4090-10x,minpadj_maxPdPSI_iPSC-4090-3x,dPSI_iPSC-4090-3x,minpadj_maxPdPSI_iPSC-4714-10x,dPSI_iPSC-4714-10x,minpadj_maxPdPSI_iPSC-4714-3x,dPSI_iPSC-4714-3x,minpadj_maxPdPSI_iPSC-4741-10x,dPSI_iPSC-4741-10x,minpadj_maxPdPSI_iPSC-4741-3x,dPSI_iPSC-4741-3x,minpadj_maxPdPSI_iPSC-4748-10x,dPSI_iPSC-4748-10x,minpadj_maxPdPSI_iPSC-4748-3x,dPSI_iPSC-4748-3x,minpadj_maxPdPSI_iPSC-5420-10x,dPSI_iPSC-5420-10x,minpadj_maxPdPSI_iPSC-5420-3x,dPSI_iPSC-5420-3x,minpadj_maxPdPSI_iPSC-6152-10x,dPSI_iPSC-6152-10x,minpadj_maxPdPSI_iPSC-6152-3x,dPSI_iPSC-6152-3x,minpadj_maxPdPSI_iPSC-6527-10x,dPSI_iPSC-6527-10x,minpadj_maxPdPSI_iPSC-6527-3x,dPSI_iPSC-6527-3x,minpadj_maxPdPSI_iPSC-6866-10x,dPSI_iPSC-6866-10x,minpadj_maxPdPSI_iPSC-6866-3x,dPSI_iPSC-6866-3x,minpadj_maxPdPSI_iPSC-6960-10x,dPSI_iPSC-6960-10x,minpadj_maxPdPSI_iPSC-6960-3x,dPSI_iPSC-6960-3x,minpadj_maxPdPSI_iPSC-9701-10x,dPSI_iPSC-9701-10x,minpadj_maxPdPSI_iPSC-9701-3x,dPSI_iPSC-9701-3x,minpadj_maxPdPSI_NGN2-4088-10x,dPSI_NGN2-4088-10x,minpadj_maxPdPSI_NGN2-4088-3x,dPSI_NGN2-4088-3x,minpadj_maxPdPSI_NGN2-4090-10x,dPSI_NGN2-4090-10x,minpadj_maxPdPSI_NGN2-4090-3x,dPSI_NGN2-4090-3x,minpadj_maxPdPSI_NGN2-4714-10x,dPSI_NGN2-4714-10x,minpadj_maxPdPSI_NGN2-4714-3x,dPSI_NGN2-4714-3x,minpadj_maxPdPSI_NGN2-4741-10x,dPSI_NGN2-4741-10x,minpadj_maxPdPSI_NGN2-4741-3x,dPSI_NGN2-4741-3x,minpadj_maxPdPSI_NGN2-4748-10x,dPSI_NGN2-4748-10x,minpadj_maxPdPSI_NGN2-4748-3x,dPSI_NGN2-4748-3x,minpadj_maxPdPSI_NGN2-5420-10x,dPSI_NGN2-5420-10x,minpadj_maxPdPSI_NGN2-5420-3x,dPSI_NGN2-5420-3x,minpadj_maxPdPSI_NGN2-6152-10x,dPSI_NGN2-6152-10x,minpadj_maxPdPSI_NGN2-6152-3x,dPSI_NGN2-6152-3x,minpadj_maxPdPSI_NGN2-6527-10x,dPSI_NGN2-6527-10x,minpadj_maxPdPSI_NGN2-6527-3x,dPSI_NGN2-6527-3x,minpadj_maxPdPSI_NGN2-6866-10x,dPSI_NGN2-6866-10x,minpadj_maxPdPSI_NGN2-6866-3x,dPSI_NGN2-6866-3x,minpadj_maxPdPSI_NGN2-6960-10x,dPSI_NGN2-6960-10x,minpadj_maxPdPSI_NGN2-6960-3x,dPSI_NGN2-6960-3x,minpadj_maxPdPSI_NGN2-9701-10x,dPSI_NGN2-9701-10x,minpadj_maxPdPSI_NGN2-9701-3x,dPSI_NGN2-9701-3x
AC009533.1,0.984595595441973,0.490949569276839,NA,NA,NA,NA,NA,NA,0.957608167196624,0.442534496203224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC020915.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.910330474970218,0.382545948213116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC022433.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.47349926835917e-07,0.454929881189475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC068205.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999999999999966,-0.943603835371462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999999999999995,0.739155114614434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC068547.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.747411027652605,0.904761632889015,-0.365538407312827,0.953455768782776,0.381203790539282,NA,NA,1,0.688985053154988,NA,NA,0.999884183441977,0.492464512196379,NA,NA,0.999999999616937,0.5610531318128,NA,NA,0.999999999842753,0.569406868509415,NA,NA,0.999996711792543,0.513482076320844,NA,NA,1,0.715979918007533,NA,NA,1,0.737607278279854,NA,NA,0.999999999999998,0.660831857767074,NA,NA,0.999999999195609,0.585128986072261,NA,NA
AC068587.4,0.0235943758831124,0.32264901513796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC073111.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00626529520685,0.364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC093525.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.901837670957759,-0.427023363688258,NA,NA,0.914938492773847,-0.442131141479758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC104009.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00418148579279868,0.264980708548847,NA,NA,6.49557542715998e-06,0.266602040364061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC104472.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0295515947656,-0.351,NA,NA
AC114316.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.917119659589939,0.374575812325563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.963772476919371,0.40108048139207,NA,NA,NA,NA,NA,NA
AC114490.2,NA,NA,NA,NA,NA,NA,NA,NA,0.993101589371535,0.416899604186994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.908775524966202,0.368360093397958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999999999761506,0.582270107730264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.684967894202283,NA,NA,NA,NA,NA,NA,1,0.759430818688825,NA,NA,0.999819721182449,0.474984274315809,NA,NA,0.999999999925725,0.592751716013607,NA,NA,0.999697848872435,0.47011237232503,NA,NA,0.999064992609268,-0.451545981395001,NA,NA,0.997494687236459,0.43369020825419,NA,NA,0.990403143774141,0.423164556553352,NA,NA,0.999999999990852,-0.606210629845644,NA,NA,0.999989131533972,0.489123813075005,NA,NA
AC117378.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.956544769210131,0.456564508221902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC119673.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000176473201404,0.321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC138894.1,1.14633448933e-13,-0.396,NA,NA,NA,NA,NA,NA,0,-0.413,NA,NA,NA,NA,NA,NA,1.42424678455e-13,-0.392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.92163746678e-07,-0.352,NA,NA,1.65786534827e-10,-0.354,NA,NA,2.52575380795e-05,-0.309,NA,NA,2.74861052327e-08,-0.349,3.56927681855e-12,-0.404,0,-0.422,0,-0.417,NA,NA,0,-0.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.30549484668e-07,-0.338,NA,NA,1.78299245015e-06,-0.319,0,-0.427,NA,NA,NA,NA,2.6527788271e-07,-0.341,0,-0.453,NA,NA,NA,NA,NA,NA
AC246817.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.941446619462277,0.411431560188273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
