,minpadj_maxPdPSI_LMI070_01x,dPSI_LMI070_01x,minpadj_maxPdPSI_LMI070_03x,dPSI_LMI070_03x,minpadj_maxPdPSI_LMI070_10x,dPSI_LMI070_10x,minpadj_maxPdPSI_RG7916_01x,dPSI_RG7916_01x,minpadj_maxPdPSI_RG7916_03x,dPSI_RG7916_03x,minpadj_maxPdPSI_RG7916_10x,dPSI_RG7916_10x
A1BG,0.763252478186361,0.0126282127668088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1BG-AS1,NA,NA,0.903978330580508,0.0713388444503063,0.619254492277846,0.0740277202803854,NA,NA,NA,NA,NA,NA
A4GALT,0.379495159563716,0.160725536396026,NA,NA,NA,NA,0.293795127601,-0.136,NA,NA,0.872850850066503,0.0309574772970114
AAAS,0.593034173645,0.013,0.428899825913971,0.0149572112868838,0.639744960997583,0.0361404634666942,0.8744373392279,0.0149574747640041,0.845767777737781,0.0149575682172246,0.624822793436438,0.0149569691385506
AACS,0.763252478186361,0.0303616343128245,0.572227159205843,0.044370776834467,0.523643550928659,0.0521923857786365,0.8744373392279,0.0425910954272128,0.326981042968,0.105,0.195489352815,0.09
AADAT,0.759015222541959,0.0418577952015669,0.857701208392946,0.0134090294202522,0.5465918882117,0.0493678979204153,0.8744373392279,0.0560008669089835,NA,NA,0.908568096550562,0.0219246117021563
AAED1,0.848460498225054,0.0268705850414387,0.881108001463432,0.0334181399063166,NA,NA,0.8744373392279,0.0929947196080539,NA,NA,0.942303835662233,0.0314727165539984
AAGAB,0.763252478186361,0.102953940849172,0.415643575369541,0.0325344683500571,0.683016505050992,0.0799710618090666,NA,NA,0.845767777737781,0.0961181527003885,NA,NA
AAMDC,NA,NA,0.152947163784,0.072,0.0325956753024,0.047,NA,NA,0.505775036634,0.041,NA,NA
AAMP,0.763252478186361,0.0389634330842667,NA,NA,0.894136538470273,0.0141196433540365,0.832875854027,0.022,0.879031206588476,0.0347821137380123,0.854137404756,0.015
