,dPSI_iPSC.6866.3x,dPSI_iPSC.6866.10x
ARL15,0.87813040860126,0.985
ASAP1,0.799,0.994
POMT2,0.759,0.969
HDX,0.623,0.839
PDE7A,0.606,0.757
LARP7,0.596,0.787
GRAMD2B,0.595100837050029,0.859
C12orf4,0.588632220998781,0.959274086047803
KDM6A,0.571,0.86
MADD,0.564,0.454
LRRC42,0.559,0.677
LYRM1,0.557,0.597
ABCB8,0.536303956426213,0.745339744721164
ZFP82,0.528590304966814,0.859526530457158
LINC02210,0.512934694551497,0.814700125156275
SKP1,0.502484012816618,0.520478267900514
NAV2,0.5,0.687
CLASP2,0.486989301296945,0.52997189013208
ZNF730,0.452948051916772,0.831065595873392
EXOC6B,0.449,0.802
FBN2,0.433377635120686,0.774056764370165
EVC,0.426385471681067,0.909365859452335
TAF2,0.408,0.608
AXIN1,0.407,0.701
BECN1,0.406988202242992,0.825957779805303
TIAM1,0.401571457158793,0.746259659914658
MAN1B1,0.399379329032193,0.690907064445698
NUP58,0.394544427904248,0.563
SENP6,0.38992851456291,0.58
WDR27,0.389222947537017,0.375
VPS29,0.388,0.684
RCC1,0.37403260532952,0.289702422631892
ERGIC3,0.369,0.821
MYCBP2,0.352,0.528
FAAP20,0.349,0.474
DLGAP4,0.34763013902808,0.456
STRN3,0.342,0.379
CACNA2D1,0.304762177606872,0.723888464385034
ARMCX6,0.302301581856042,0.381
TCF4,0.293075604144636,0.512486567882338
WNK1,0.292043554851149,0.642908882544356
DHFR,0.274532027602303,0.628675514729895
ENAH,0.263306780181705,0.526151891024969
TENT2,0.260615189126606,0.528821864364151
PDXDC1,0.257423828460146,0.443124651184855
RAF1,0.255158311865131,0.588
