,dPSI_iPSC.4088.3x,dPSI_iPSC.4088.10x
ARL15,0.911392579183407,0.959288535705024
ASAP1,0.664,0.988
HDX,0.658,0.827
POMT2,0.607,0.904
PDE7A,0.557,0.748
ADAMTS19,0.552690923145878,0.331
GRAMD2B,0.547017859178552,0.769
LYRM1,0.54,0.579
LARP7,0.518,0.813
SKP1,0.517314569360275,0.478149708051155
MADD,0.515,0.816
HTT,0.509831132345574,0.916843139868745
EXOC6B,0.503,0.784
MYCBP2,0.499,0.467
ABCB8,0.494646657874468,0.745049655300523
LRRC42,0.491,0.666
KDM6A,0.482,0.778
LINC02210,0.480501868192717,0.824332212993909
C12orf4,0.452770564342576,0.874314234261863
CLASP2,0.447384079611039,0.971
ZFP82,0.419879671383535,0.727686097824184
ERGIC3,0.403632738606463,0.699
VPS29,0.397,0.591
SPIDR,0.382067068675477,0.664809989449641
NUP58,0.371284793083398,0.501
STRN3,0.369,0.363
ZNF730,0.362900336421131,0.785067486019795
FAAP20,0.361025827725341,0.338
TIAM1,0.353478842174682,0.429587201241914
TAF2,0.351,0.546
NAV2,0.348,0.617
GXYLT1,0.34664078751994,0.560215755473797
SENP6,0.320083950486905,0.389
PNISR,0.315623815681124,0.536738479068389
AXIN1,0.311288231271635,0.536
DLGAP4,0.307137361435869,0.324
SYNE4,0.304,0.355
CHD9,0.294156320520002,0.351
MAN1B1,0.26262666987694,0.594601549997575
