,dPSI_iPSC.6152.3x,dPSI_iPSC.6152.10x
ARL15,0.667107268604948,0.968
SKP1,0.584729771484126,0.620597136570765
HDX,0.512465709763022,0.766
C12orf4,0.50327666754883,0.858960180609832
TPTEP2,0.491950375709931,0.559
POMT2,0.491,0.856
SENP6,0.475500179106231,0.645
ASAP1,0.463,0.958
STRN3,0.381,0.33
MATK,0.380226794615918,0.713342052949013
CLASP2,0.376657939715572,0.517999062377728
EXOC6B,0.373625391163155,0.634
PDE7A,0.367,0.617
MADD,0.358,0.625
FOXM1,0.356355420587645,0.511
LRRC42,0.355,0.596
LARP7,0.351,0.325
NAV2,0.35,0.516
GRAMD2B,0.349256990331551,0.741660972873971
MYCBP2,0.341,0.53
VPS29,0.321779294591479,0.452
KIAA1549L,0.313,0.31
KDM6A,0.309,0.641
ZFP82,0.300268487704534,0.580667814269905
LINC02210,0.296365418322937,0.530016065726408
ERGIC3,0.285784834112786,0.585
DLGAP4,0.263998259994956,0.465864800570679
