,dPSI_iPSC.4748.3x,dPSI_iPSC.4748.10x
ARL15,0.807628348061853,0.955148346818826
HDX,0.666,0.815
ASAP1,0.662,0.977
LARP7,0.508,0.719
MADD,0.49,0.79
PDE7A,0.489,0.735
LRRC42,0.485,0.681
CLASP2,0.44381961302828,0.522651996928721
ADARB1,0.407,0.398
SKP1,0.403351547328971,0.526792550406222
CLN3,0.4,0.419
POMT2,0.391,0.876
KDM6A,0.386,0.739
SPIDR,0.384417662854431,0.661164165082738
ZFP82,0.333135360739628,0.713547909826799
NAV2,0.332,0.671
VPS29,0.31767092350785,0.49
STRN3,0.3,0.34
SENP6,0.29389314372317,0.437418846356676
EXOC6B,0.291890184319595,0.493
AXIN1,0.289277742569776,0.515
LINC02210,0.287357712710629,0.771994253703096
