,dPSI_iPSC.6527.3x,dPSI_iPSC.6527.10x
ARL15,0.791351153181068,0.920962420435892
SKP1,0.583559417753347,0.586118177494009
HDX,0.574013273694558,0.785
STRN3,0.504,0.352
KDM6A,0.446351407368065,0.587
PDE7A,0.391,0.646
ASAP1,0.384,0.898
LARP7,0.37,0.703
NAV2,0.369,0.511
LRRC42,0.362,0.574
POMT2,0.351570960525668,0.756
MADD,0.316,0.651
VPS29,0.309483900069934,0.417
ZFP82,0.273969686413383,0.594056413890664
