,dPSI_iPSC.6960.3x,dPSI_iPSC.6960.10x
ARL15,0.599247133670562,0.958850447811429
SKP1,0.540204637211659,0.530568110137434
STRN3,0.525,0.352
HDX,0.478597194293215,0.801
PDE7A,0.455,0.717
ASAP1,0.41,0.967
POMT2,0.409,0.877
UNC13A,0.382265561351145,0.388055208396514
ZFP82,0.381910224835279,0.653949638067893
KDM6A,0.35,0.691
LRRC42,0.342,0.593
TAF2,0.34,0.523
MADD,0.338,0.337
LARP7,0.336,0.791
NAV2,0.316,0.584
AXIN1,0.29609619848702,0.566
LINC02210,0.284047204002563,0.665317661255518
GOLT1B,0.273101805174955,0.265534276882692
VPS29,0.265388473049968,0.44
SENP6,0.25012494340041,0.442068854113546
