"","X","dPSI_iPSC_2006152_3X","X.1","dPSI_iPSC_2139701_3X","X.2","dPSI_iPSC_2174714_3X","X.3","dPSI_iPSC_2174748_3X","X.4","dPSI_iPSC_2175420_3X","X.5","dPSI_iPSC.2184088_3X","X.6","dPSI_iPSC_2184090_3X","X.7","dPSI_iPSC_2184741_3X","X.8","dPSI_iPSC_2186527_3X","X.9","dPSI_iPSC_2186866_3X","X.10","dPSI_iPSC_2186960_3X","X.11","dPSI_NGN2_2006152_3X","X.12","dPSI_NGN2_2139701_3X","X.13","dPSI_NGN2_2174714_3X","X.14","dPSI_NGN2_2174748_3X","X.15","dPSI_NGN2_2175420_3X","X.16","dPSI_NGN2_2184088_3X","X.17","dPSI_NGN2_2184090_3X","X.18","dPSI_NGN2_2184741_3X","X.19","dPSI_NGN2_2186527_3X","X.20","dPSI_NGN2_2186866_3X","X.21","dPSI_NGN2_2186960_3X"
"1","CHROMR",0.704,"ARL15",0.75242377275375,"ARL15",0.84629660708486,"ARL15",0.807628348061853,"ARL15",0.913833870601184,"ARL15",0.911392579183407,"ARL15",0.780424051599279,"MATK",0.769469544684057,"ARL15",0.791351153181068,"ARL15",0.87813040860126,"ARL15",0.599247133670562,"KCNT2",0.842545777742289,"KCNT2",0.814976881727801,"AC009022.1",0.884331773955042,"KCNT2",0.890974930856401,"PDXDC2P",0.778773301622886,"KCNT2",0.906725897186609,"LIMCH1",0.799,"GCFC2",0.987035450795811,"KCNT2",0.870785440311951,"AC009022.1",0.800889357009951,"KCNT2",0.88414710204676
"2","ARL15",0.667107268604948,"STRN3",0.555,"ASAP1",0.718,"HDX",0.666,"SKP1",0.654949066212101,"ASAP1",0.664,"ASAP1",0.619,"ARL15",0.749264941013085,"SKP1",0.583559417753347,"ASAP1",0.799,"SKP1",0.540204637211659,"AC009022.1",0.734158043222878,"LIMCH1",0.753,"PDXDC2P",0.815560859664095,"AC009022.1",0.814461100486324,"AC009022.1",0.758338969116793,"XRN2",0.809036170351827,"ARL15",0.758,"AC009022.1",0.922387927732302,"AC009022.1",0.845738893076038,"PDXDC2P",0.776793517925253,"LIMCH1",0.802
"3","SKP1",0.584729771484126,"SKP1",0.525610462291676,"HDX",0.642,"ASAP1",0.662,"C12orf4",0.588815003099152,"HDX",0.658,"HDX",0.569453469250471,"C12orf4",0.737860228097442,"HDX",0.574013273694558,"POMT2",0.759,"STRN3",0.525,"PDXDC2P",0.720509398680798,"AC009022.1",0.748635199605497,"KCNT2",0.81355999281476,"PDXDC2P",0.788255492865744,"ARL15",0.684,"AC009022.1",0.803937365959906,"AC009022.1",0.754741069862738,"MEMO1",0.894765581478395,"PDXDC2P",0.827262566917518,"KCNT2",0.745008898676679,"AC009022.1",0.784182164897101
"4","PHB2",0.516889175692161,"PHB2",0.520097002724963,"POMT2",0.631,"LARP7",0.508,"POMT2",0.583,"POMT2",0.607,"MADD",0.557,"CENPI",0.684111918382176,"GABPB2",0.526486920380556,"HDX",0.623,"HDX",0.478597194293215,"LIMCH1",0.706,"PDXDC2P",0.747373726422573,"LIMCH1",0.802,"LIMCH1",0.772,"LIMCH1",0.673,"LIMCH1",0.797,"XRN2",0.71486462957861,"DPY30",0.89184239525638,"LIMCH1",0.715,"LIMCH1",0.731,"XRN2",0.722178997797457
"5","HDX",0.512465709763022,"GRAMD2B",0.5135437158143,"LARP7",0.567,"MADD",0.49,"ZNF66",0.563691871545278,"MAOA",0.600357308084171,"PDE7A",0.514,"POMT2",0.676,"STRN3",0.504,"PDE7A",0.606,"PDE7A",0.455,"XRN2",0.612269849629271,"ARL15",0.67,"POMT2",0.763,"PDXDC1",0.716775312205163,"MELTF",0.66510463490728,"PDXDC2P",0.777848768728701,"PDXDC2P",0.703735198156376,"PDXDC2P",0.875580809872877,"XRN2",0.64455586923512,"ARL15",0.685,"PDXDC2P",0.718918892876686
"6","C12orf4",0.50327666754883,"LARP7",0.509,"PDE7A",0.564,"PDE7A",0.489,"LARP7",0.562,"PDE7A",0.557,"SYTL2",0.507,"AC009022.1",0.665285263316869,"HARS1",0.475,"LARP7",0.596,"SYTL2",0.415,"GCFC2",0.603288411142975,"ABCB8",0.626133116059595,"XRN2",0.762857645007695,"XRN2",0.699144487902222,"DENND1A",0.657180602849453,"POMT2",0.704,"WDR17",0.595,"KCNT2",0.843703697361701,"EVC",0.640674072369197,"XRN2",0.608927634135259,"ARL15",0.68
"7","TPTEP2",0.491950375709931,"POMT2",0.487,"LRRC42",0.533,"LRRC42",0.485,"HDX",0.556518869012508,"GABPB2",0.556580984199958,"MYCBP2",0.486,"SENP6",0.62,"AC117378.1",0.456564508221902,"GRAMD2B",0.595100837050029,"ASAP1",0.41,"ARL15",0.588,"XRN2",0.601413256042427,"ASCC3",0.760090464696414,"ARL15",0.696,"XRN2",0.654386503235063,"DENND1A",0.699129837691976,"LRRC42",0.585,"GALC",0.835,"ARL15",0.632,"EPHA4",0.58042459911585,"PDXDC1",0.673813253999088
"8","POMT2",0.491,"PDE7A",0.474,"LINC02210",0.499216146877572,"CALM3",0.458,"STRN3",0.544,"ADAMTS19",0.552690923145878,"TPTEP2",0.435068541143015,"PDXDC2P",0.596941225527371,"DMTF1",0.453511016425836,"C12orf4",0.588632220998781,"POMT2",0.409,"FSIP2",0.541,"HTT",0.559236628586964,"ARL15",0.73,"FHOD3",0.637008212452374,"HTT",0.641239253059702,"ARL15",0.671,"EVC",0.575439551710313,"POMT2",0.833,"EPHA4",0.600851801734645,"DENND1A",0.572787487217642,"KLHL1",0.653022011189217
"9","SENP6",0.475500179106231,"HDX",0.448592409226945,"ZFP82",0.495542579149435,"CLASP2",0.44381961302828,"ASAP1",0.529,"GRAMD2B",0.547017859178552,"SCRN3",0.418802884559067,"LARP7",0.58,"KDM6A",0.446351407368065,"PDXDC2P",0.57971954986005,"DPY19L3",0.407,"INO80E",0.521,"STRN3",0.522,"HDX",0.725,"KLHL1",0.615083368875372,"ACADM",0.635700917328606,"GXYLT1",0.647575668266049,"PDE7A",0.559,"LIMCH1",0.815,"PDXDC1",0.582098044242054,"PDXDC1",0.563332324321815,"WDR17",0.603
"10","ASAP1",0.463,"ANOS2P",0.443337253751729,"MADD",0.49,"ZNF563",0.426188235225146,"PHB2",0.520081592844839,"LYRM1",0.54,"TNFRSF25",0.407,"HDX",0.560212842413155,"PDE7A",0.391,"KDM6A",0.571,"UNC13A",0.382265561351145,"WDR91",0.520346323375745,"LARP7",0.496,"WDR27",0.694829044333617,"ASCC3",0.589427000801932,"ADAMTS13",0.578616396532122,"PDXDC1",0.647410488219304,"MAP4K3-DT",0.542785442093127,"PMS1",0.765284349740853,"TSPAN4",0.552,"WDR27",0.557709407988808,"WDR27",0.593431892479891
