,minpadj_maxPdPSI_LMI070_01x,dPSI_LMI070_01x,minpadj_maxPdPSI_LMI070_03x,dPSI_LMI070_03x,minpadj_maxPdPSI_LMI070_10x,dPSI_LMI070_10x,minpadj_maxPdPSI_RG7916_01x,dPSI_RG7916_01x,minpadj_maxPdPSI_RG7916_03x,dPSI_RG7916_03x,minpadj_maxPdPSI_RG7916_10x,dPSI_RG7916_10x
A4GALT,0.379495159563716,0.160725536396026,NA,NA,NA,NA,0.293795127601,-0.136,NA,NA,NA,NA
AAAS,NA,NA,0.428899825913971,0.0149572112868838,NA,NA,NA,NA,NA,NA,NA,NA
AACS,NA,NA,NA,NA,NA,NA,NA,NA,0.326981042968,0.105,0.195489352815,0.09
AAGAB,NA,NA,0.415643575369541,0.0325344683500571,NA,NA,NA,NA,NA,NA,NA,NA
AAMDC,NA,NA,0.152947163784,0.072,0.0325956753024,0.047,NA,NA,NA,NA,NA,NA
AARS,NA,NA,0.387371372540317,0.0297820125222679,0.424305383360782,0.0291404227873462,NA,NA,NA,NA,NA,NA
AARS2,NA,NA,0.188709117886077,0.132717521394097,NA,NA,NA,NA,NA,NA,NA,NA
AARSD1,NA,NA,NA,NA,NA,NA,NA,NA,0.199084525858,0.071,NA,NA
AASDH,NA,NA,NA,NA,NA,NA,0.388717715454,0.127,NA,NA,0.0117680508214,0.17
AASS,NA,NA,NA,NA,0.286461060322308,0.12300547380017,NA,NA,NA,NA,NA,NA
ABC12-49244600F4.3,0.116860737437,-0.246,NA,NA,0.459632276939,-0.27,NA,NA,NA,NA,NA,NA
ABCA1,NA,NA,NA,NA,0.0208537306541,-0.143,NA,NA,NA,NA,NA,NA
ABCA2,NA,NA,NA,NA,NA,NA,NA,NA,0.0886565192538,0.036,NA,NA
ABCA5,NA,NA,NA,NA,NA,NA,0.260579160759,-0.145,NA,NA,NA,NA
ABCA6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.417247345362103,0.0809794227981945
ABCB6,0.478470108491106,0.043123176027005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABCB8,0,0.576,0,0.836,0,0.836,NA,NA,0.0229631853946,0.082,1.07170412895e-12,0.211
ABCB9,0.318517012973,0.261,0.366963579017,0.132,NA,NA,NA,NA,NA,NA,0.478251393677,-0.234
ABCC1,NA,NA,NA,NA,0.108687561984852,0.0612407508596528,NA,NA,0.310675537636,-0.039,0.359844163927,-0.033
ABCC10,0.251729022833594,0.0823284998500938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABCC3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.201506954938094,0.145662094120582
ABCC5,NA,NA,NA,NA,NA,NA,0.146605098422,0.086,NA,NA,0.07200764677,0.143
ABCD4,NA,NA,0.288968459265,-0.035,0.127869564701,-0.027,NA,NA,NA,NA,0.288215890376,0.055
ABCF3,NA,NA,NA,NA,NA,NA,NA,NA,0.42189245499,0.025,0.30773576959,-0.044
