Row.names,dPSI_U1_mut1_500_EtOH_vs_DMSO_EtOH.x,dPSI_U1_WT_500_EtOH_vs_DMSO_EtOH.x,dPSI_U1_mut1_500_CHX_vs_DMSO_CHX,dPSI_U1_WT_500_CHX_vs_DMSO_CHX
ABHD10,-0.322151745250221,NA,-0.318624217394213,NA
ABHD13,0.343693381608152,NA,0.37421559561119,NA
AC009022.1,NA,NA,0.357328373763281,NA
AC010148.1,NA,NA,0.250380455811215,NA
AC020915.3,0.258304360586849,NA,0.266910317917464,NA
AC093752.1,-0.44101583609798,NA,-0.357646131401663,NA
AC127502.1,0.432922222182806,NA,NA,NA
AC138393.1,0.423216925283037,NA,NA,NA
AC138894.1,-0.346105362371811,NA,NA,NA
AC245100.4,NA,NA,0.275609396630779,NA
ACBD5,NA,NA,0.258026414245397,NA
ACVR1B,-0.325337960628501,NA,NA,NA
ADAM17,NA,NA,-0.299601239028638,NA
ADAMTS19,NA,NA,0.277690141946296,NA
ADCY3,-0.29522967506448,NA,-0.316110611705986,NA
AGAP1,0.279300427824025,NA,NA,NA
AGPS,NA,NA,-0.314159275363034,NA
AIDA,NA,NA,-0.407162521512642,NA
AKAP8L,NA,NA,-0.260178253312392,NA
AKAP9,NA,NA,-0.292109440365035,NA
AL512353.1,0.337964235030496,NA,NA,NA
AL590705.3,NA,NA,0.323196814776967,NA
ANAPC1,NA,NA,-0.288670925330768,NA
ANKHD1,NA,NA,0.257241863431792,NA
AP002495.1,0.302130652344483,NA,NA,NA
AP2M1,NA,NA,NA,0.394566363147179
ARFGEF2,NA,NA,-0.336701146538895,NA
ARHGAP5,-0.269364257995105,NA,-0.271340579512708,NA
ARID1A,0.255043383972026,NA,0.35370577628695,NA
ARMC2,NA,NA,0.307482324850218,NA
ASH1L,NA,NA,-0.354095311881152,NA
ATF2,NA,NA,-0.36809692808389,NA
ATP5MC2,NA,NA,0.250578146550843,NA
AXIN1,-0.358042255613061,NA,-0.384735773401547,NA
BIVM,NA,NA,-0.271855639204897,NA
BRWD3,NA,NA,-0.280534215825713,NA
C1QTNF6,0.265134768186278,NA,NA,NA
CACNA2D1,0.261422311682086,NA,-0.262922020103295,NA
CCDC15,NA,NA,-0.26808984040639,NA
CCDC150,-0.256915480870968,NA,NA,NA
CCDC162P,NA,NA,-0.251320335453676,NA
CDC27,NA,NA,-0.278917782944956,NA
CDC37L1,0.280860804306102,NA,NA,NA
CEP41,0.266491479986255,NA,NA,NA
CEP57,-0.276182391475017,NA,NA,NA
CEP63,-0.277305643683269,NA,NA,NA
CHCHD3,NA,NA,0.264532196444988,NA
CLASP1,NA,NA,0.443403148263715,NA
CLASP2,0.397830977490019,NA,NA,NA
CLK1,NA,NA,-0.277645236082061,NA
CLK4,NA,NA,-0.452053491178398,NA
CNNM2,NA,NA,0.288293695373945,NA
CNOT1,NA,NA,0.260349339580089,NA
CREBRF,0.361330470472853,NA,0.355859879754697,NA
CSF1,0.28233335787809,NA,0.26228810038336,NA
CUL7,-0.250687982361432,-0.285424354968543,NA,NA
CYTH1,NA,NA,0.510568820991583,NA
DENND4A,-0.333512088120461,NA,-0.258542977364566,NA
DGCR8,NA,NA,-0.423582875214571,NA
DIAPH3,NA,NA,-0.267767553481801,NA
DLG5,NA,NA,0.307951994883572,NA
DNAJC27,NA,NA,0.299199056123288,NA
DPH1,-0.300835548790167,NA,-0.283793792019454,NA
DPH6,NA,NA,0.31016915231589,NA
DPY19L1P2,NA,NA,0.513644280550989,NA
DSG2,0.263165907290128,NA,0.311142180633821,NA
DYRK3,-0.338108965335038,NA,NA,NA
EMSY,-0.332316766769412,NA,-0.431305630163195,NA
EP300,-0.272814182531082,NA,NA,NA
ERC1,NA,NA,0.309860880556971,NA
ERGIC3,-0.267866915216752,NA,NA,NA
EVC,NA,NA,-0.257278452158754,NA
FAAP20,NA,NA,-0.252221685277352,NA
FAIM,-0.259706320402269,NA,NA,NA
FAM122C,0.291181296853789,NA,NA,NA
FAM168B,0.250757651364063,NA,-0.321347518233127,NA
FAM222B,NA,NA,0.670163598284224,NA
FAM71E1,0.312065331810916,NA,NA,NA
FCHO2,-0.257442334088267,NA,-0.342508933245058,NA
FOXM1,0.257232747533571,NA,-0.455199545535811,NA
FRG1HP,0.269915514262378,NA,NA,NA
FRS2,-0.30676169069183,NA,-0.3287754906113,NA
FSD1L,-0.319211723253135,NA,NA,NA
GCC2,NA,NA,-0.264184849301532,NA
GFPT1,-0.321869634611964,NA,-0.366903933122155,NA
GJC1,0.386037457594727,NA,NA,NA
GLMP,-0.379143897541482,NA,NA,NA
GNGT1,0.262589278957701,NA,NA,NA
GNS,NA,NA,-0.290146756827745,NA
GRAMD1A,NA,NA,-0.297173387261499,NA
GRAMD1B,NA,NA,-0.28205716070821,NA
GXYLT1,0.287938296146365,NA,-0.404104140683947,NA
HACE1,NA,NA,-0.276543710261071,NA
HDX,0.26899499837571,NA,NA,NA
HECTD1,0.259672557822915,NA,0.2591757328596,NA
HMGXB4,-0.379326917878105,NA,NA,NA
HOXB3,-0.300444430358315,NA,NA,NA
HS3ST3A1,NA,NA,0.398422720160163,NA
HSD17B14,0.323962509035724,NA,NA,NA
HTT,NA,NA,-0.308457736477565,NA
IGDCC4,0.269323705105738,NA,NA,NA
IGF2BP3,NA,NA,0.297296442224736,NA
IL17RC,NA,NA,0.250486257281768,NA
IMPACT,0.36612236479106,NA,NA,NA
INO80,-0.259264449004618,NA,NA,NA
INPP5K,NA,NA,-0.280147703194979,NA
KDM6A,0.271944611779802,NA,NA,NA
KIAA0232,NA,NA,-0.312326754106485,NA
KIAA0556,0.320972643242488,NA,NA,NA
KIAA1109,NA,NA,-0.256866343485204,NA
KITLG,-0.286442170868942,NA,0.264479862641872,NA
KLHL28,0.287501750878665,NA,NA,NA
LARP7,-0.469793442559359,NA,NA,NA
LGALS9,NA,NA,0.257634768281742,NA
LINC00467,-0.379124129865615,NA,-0.297866883383412,NA
LINC00857,0.27816012126306,NA,0.37389598591553,NA
LRRC1,NA,NA,-0.316971706124264,NA
LRRC27,NA,NA,0.288803638413566,NA
LRRC37A2,0.259176337083985,NA,NA,NA
LRRC37A3,0.353319576992875,NA,NA,NA
LRRC69,NA,0.378721190278703,NA,NA
MADD,0.281938960783689,NA,0.277726011929162,NA
MAGI1,0.325051805117568,NA,0.299334086778618,NA
MAN1A2,NA,NA,-0.30849721697412,NA
MAP3K15,NA,NA,0.322819229733578,NA
MAP3K3,NA,NA,-0.372428405696153,NA
MARCHF8,0.258586913754832,NA,0.311986311393342,NA
MBTPS1,NA,NA,-0.322741595453427,NA
MECP2,0.639269897206166,NA,0.39978539052314,NA
METTL16,NA,NA,0.469013725375176,NA
MLLT10,NA,NA,-0.340970875664142,NA
MON2,NA,NA,-0.255013216227025,NA
MPC1,NA,NA,-0.283167059519235,NA
MRPL39,0.280383118714268,NA,0.285229916096795,NA
MTA1,0.285941458340161,NA,NA,NA
MYB,NA,NA,-0.266756502713689,NA
MYCBP2,-0.252993806450658,NA,-0.304441329880878,NA
MZF1,0.281465666489324,NA,NA,NA
N4BP1,0.29711592915564,NA,0.320146018421925,NA
NIPA1,-0.393854793205618,NA,-0.331448483180013,NA
NPL,-0.380381737011889,NA,NA,NA
NPLOC4,NA,NA,-0.273618573305365,NA
NR4A1,NA,NA,0.321804350808065,NA
NSRP1,0.264536065555834,NA,-0.455705829010105,NA
NUDT1,NA,NA,0.255983193791464,NA
NUP58,-0.616625132071506,NA,-0.577554858777335,NA
PAIP2B,0.313873651614932,NA,0.281439823265387,NA
PALLD,-0.411463111234233,NA,0.374258425600381,NA
PAXBP1,-0.298935418871207,NA,-0.260529273811691,NA
PBX3,NA,NA,-0.311851823960346,NA
PCDH10,NA,NA,0.303960770517217,NA
PCLO,NA,NA,0.330322277684782,NA
PDE10A,NA,NA,0.251193890607113,NA
PDE7A,0.306921782067988,NA,-0.364469792709007,NA
PDS5B,NA,NA,-0.277921385743627,NA
PDXDC1,NA,NA,-0.309876664398322,NA
PEA15,0.290676961877302,NA,0.259026851996411,NA
PELI1,-0.294375511871271,NA,NA,NA
PHTF2,-0.255032626171589,NA,NA,NA
PIGN,NA,NA,-0.395584260655347,NA
PITPNB,NA,NA,-0.26489400740492,NA
PLA2G6,0.267451854151984,NA,NA,NA
PNISR,0.457987873363049,NA,NA,NA
POMT2,-0.361689762299984,NA,-0.321976452968959,NA
PRPF39,-0.258217457985789,NA,NA,NA
PSMA1,0.424038837351751,NA,NA,NA
PTP4A2,NA,NA,0.830083888634323,NA
PTPRJ,NA,NA,0.26286736107836,NA
RAF1,-0.253693075708924,NA,-0.267036251902561,NA
RAMP2.AS1,NA,NA,0.424811104158064,NA
RAPGEF1,NA,NA,-0.354003459820656,NA
RBBP8,NA,NA,-0.36432669564377,NA
RC3H1,NA,NA,-0.343059676426025,NA
RICTOR,0.424851530754661,NA,0.449666857417349,NA
RNF32,0.564528722077831,NA,NA,NA
RPL23AP82,-0.336368583323796,NA,-0.27538281118009,NA
SCO1,NA,NA,-0.283912769668085,NA
SDCBP2.AS1,NA,NA,0.27526170185816,NA
SEPTIN7P2,0.454443993149546,NA,-0.358975739377573,NA
SETD5,-0.259050368984784,NA,NA,NA
SETDB2,-0.252109621416695,NA,NA,NA
SF3B3,-0.305575938220434,NA,-0.272207164406164,NA
SLC25A12,NA,NA,-0.308274977628609,NA
SMAD9,0.556365881991332,NA,0.437180438097574,NA
SMPD4BP,0.343391237369323,NA,-0.30718398164356,NA
SNIP1,-0.277251701327604,NA,-0.392560218405853,NA
SNX13,NA,NA,-0.272752609686185,NA
SNX4,NA,NA,-0.422441174463238,NA
SNX7,0.265753178652867,NA,0.258688007166671,NA
SOCS6,0.319039799606389,NA,0.27109363147257,NA
SOS2,NA,NA,-0.322498765961121,NA
SPIDR,0.381167751872864,NA,0.353665409810662,NA
SPTLC1,-0.286139795365147,NA,NA,NA
SRGAP1,NA,NA,0.462216944528321,NA
SSH2,0.48248677885825,NA,0.485218409922735,NA
STAT1,NA,NA,-0.250772449411174,NA
SYNE1,0.334814939086232,NA,NA,NA
TAF2,-0.284500080472582,NA,-0.297009782797575,NA
TAF6,0.264345331899628,NA,0.323274765320933,NA
TANC1,NA,NA,-0.282388855500668,NA
TBC1D14,0.258333160392101,NA,NA,NA
TBL1XR1,0.575808574203559,NA,NA,NA
TEPSIN,0.255215914925234,NA,NA,NA
TIA1,NA,NA,-0.275812886627663,NA
TLE4,NA,NA,0.763621062467748,NA
TMC3.AS1,0.537154983266451,NA,0.2820179191823,NA
TMEM159,0.257598824593623,NA,NA,NA
TMEM165,NA,NA,-0.354127937178008,NA
TMEM184B,0.359330861911451,NA,0.318747934529609,NA
TMEM50B,NA,NA,-0.371014541847763,NA
TMX3,NA,NA,-0.35055250311555,NA
TPT1.AS1,0.284195587786037,NA,NA,NA
TRAF3,NA,NA,-0.391562333325767,NA
TRAPPC10,0.294902446921859,NA,-0.308417501365819,NA
TRIM41,0.34408027850911,NA,0.273304100791566,NA
TSC1,NA,NA,-0.352769141550317,NA
TXNDC16,-0.327489237897421,NA,-0.280221425849421,NA
TXNL4B,-0.411499834308164,NA,-0.305221156506853,NA
UBN2,NA,NA,-0.366377674739149,NA
UBOX5,0.285248612012363,NA,NA,NA
UPF1,0.284484827986553,NA,-0.533285006016656,NA
USP42,-0.333895091125011,NA,NA,NA
VAMP1,NA,NA,0.262227263886329,NA
VIRMA,NA,NA,-0.300601437954465,NA
VPS54,NA,NA,-0.258651199589843,NA
VWA8,NA,NA,-0.259773855153845,NA
WDR27,0.314156517140258,NA,NA,NA
WHAMMP3,NA,NA,0.263789582097692,NA
WNK3,NA,NA,0.370843040583993,NA
ZDHHC17,NA,NA,-0.345477268056495,NA
ZFP30,-0.335404303580147,NA,NA,NA
ZFP62,-0.296120959479918,NA,-0.313939826242324,NA
ZFR,-0.341908376667263,NA,-0.305131285498054,NA
ZFYVE1,0.257981342858822,NA,0.25097813242719,NA
ZMIZ2,0.273005012861123,NA,0.445645199043131,NA
ZMYND8,NA,NA,-0.35289034348181,NA
ZNF10,0.379616841739567,NA,NA,NA
ZNF266,-0.267004710272765,NA,NA,NA
ZNF350,-0.469553199825958,NA,NA,NA
ZNF385A,NA,NA,0.280561387826132,NA
ZNF416,0.402168110121432,NA,NA,NA
ZNF419,0.480138173713179,NA,NA,NA
ZNF608,0.26222192797958,NA,NA,NA
ZNF680,-0.280707808070069,NA,NA,NA
ZNF75A,0.264605243832559,NA,NA,NA
ZNF767P,0.322542842085926,NA,NA,NA
ZNF777,0.330686949071221,NA,0.317623455974041,NA
ZNF780B,0.279712746465904,NA,NA,NA
ZNF789,0.362580361527148,NA,NA,NA
ZNF836,NA,NA,0.282392295271493,NA
ZYG11A,NA,NA,-0.259391043057382,NA
