"","dPSI_iPSC_1755497_3x_bridge"
"ZNF37BP",0.453750763517162
"CDPF1",0.441879017067576
"FAM221A",0.44
"AC104109.3",0.434831561339558
"RASSF8-AS1",0.429
"SKP1",0.425092714573749
"ARL15",0.397
"IFT27",0.374
"C12orf4",0.371506279773642
"POMT2",0.366
"KDM6A",0.336681388115275
"STRN3",0.328
"LARP7",0.306
"HDX",0.301
"ADSL",0.300728538171756
"NAV2",0.295683923914098
"MADD",0.284901001085406
"ASAP1",0.276743885828686
"PDE7A",0.274088099157395
