"","dPSI_iPSC.4748.10x"
"ASAP1",0.977
"ARL15",0.955148346818826
"POMT2",0.876
"AC009022.1",0.87162857120598
"PDXDC2P",0.85126544446736
"HDX",0.815
"MADD",0.79
"LINC02210",0.771994253703096
"KDM6A",0.739
"PDE7A",0.735
"LARP7",0.719
"ADAMTS19",0.716508744024894
"HTT",0.713799198559793
"ZFP82",0.713547909826799
"C12orf4",0.690013027995542
"LRRC42",0.681
"NAV2",0.671
"RAB2B",0.667037662774658
"SPIDR",0.661164165082738
"ABCB8",0.652704225168562
"LYRM1",0.642
"FBN2",0.633151085048014
"TIAM1",0.612160045593628
"BECN1",0.60966244937578
"CRYM",0.602102837006611
"ERGIC3",0.596
"C14orf132",0.585814729132215
"GABPB2",0.5501225979227
"PDXDC1",0.546342640409241
"TAF2",0.543
"WDR27",0.540756362591773
"MYCBP2",0.536
"DHFR",0.527816857232746
"SKP1",0.526792550406222
"CLASP2",0.522651996928721
"EMSY",0.521247201517725
"LNPK",0.517835024575692
"AXIN1",0.515
"MLLT10",0.501444365511255
"EXOC6B",0.493
"VPS29",0.49
"TPT1-AS1",0.477175637897442
"ENAH",0.458599409032005
"TNRC6A",0.449112202683121
"NUTM2D",0.443451853860293
"TMEM50B",0.437677127605158
"SENP6",0.437418846356676
"STOX2",0.436907795997907
"TET1",0.429455830186603
"LINC00678",0.429160865650869
"CHD9",0.42865396851415
"EVC",0.423540175056799
"ASCC3",0.420315671931255
"EPM2A",0.419908735166635
"CLN3",0.419
"ANXA11",0.414
"NUP58",0.40582252079666
"DLGAP4",0.404807835992456
"ANKS3",0.403282835853236
"ADARB1",0.398
"AC138894.1",0.392
"RAF1",0.389140060450695
"WNK1",0.387996632245172
"UNC13A",0.385001951433968
"TENT2",0.378642783546816
"SHMT2",0.36
"RAP1A",0.359554934452602
"SF3B3",0.358150292341196
"ZNF730",0.353202002078598
"ARMCX6",0.349980591068735
"CIP2A",0.347543605289717
"SGCE",0.342
"STRN3",0.34
"MAN1B1",0.337174052268083
"TNK2",0.337
"FAAP20",0.336
"PMS2P10",0.334818805863072
"ZNF618",0.324431149082409
"SLC25A17",0.317
"GRAMD2B",0.314
"ZMYM6",0.311044173344369
"XRN2",0.310795184932022
"KIF21A",0.309807476226783
"TCF4",0.309613134124975
"FOXM1",0.309114001248918
"ZNF202",0.309
"AGO3",0.307471380444501
"AMPH",0.305
"APLP2",0.305
"TPTEP2",0.302750089891261
"GGCT",0.301
"CDC37L1",0.300523385082889
"RCC1",0.288682659164676
"ZNF680",0.286807279389592
"JAKMIP2-AS1",0.280738272783518
"TMEM214",0.277092178918699
"ADGRL1",0.272224322783462
"ARHGAP5",0.260284310128758
"SMN2",0.260155998197863
"FAM162A",0.259380576047829
"SYT14",0.252292062002101
