"","dPSI_NGN2.4090.10x"
"POMT2",0.947
"XRN2",0.916182875223599
"HDX",0.902
"AC009022.1",0.89580741546899
"KCNT2",0.892679803187026
"WDR27",0.892596159658519
"ARL15",0.886
"DENND1A",0.883237097611459
"PDXDC2P",0.860589486368964
"PDE7A",0.838
"LIMCH1",0.829
"HTT",0.825810011337413
"EVC",0.819231813773377
"GXYLT1",0.790230605759606
"ABCB8",0.735
"USP9Y",0.723058887206414
"DHFR",0.720291560241404
"MLLT10",0.707111916386368
"PITPNB",0.704327425579193
"LRRC42",0.69
"CLASP2",0.689346214910737
"ASCC3",0.686533307346404
"LINC02210",0.685811954698699
"FHOD3",0.674654542696714
"ZFP82",0.664352863032894
"RAF1",0.662
"CACNA1C",0.633416496249475
"TAF2",0.63
"DLG5",0.614124009875497
"EXOC6B",0.597
"AXIN1",0.593
"KDM6A",0.585
"WDR17",0.583
"ENAH",0.580790949992977
"ZNF730",0.575176572614053
"SREK1",0.569
"ENOX1",0.568788517338907
"PNISR",0.565571296401471
"TIAM1",0.56346153835908
"DLGAP4",0.553
"SETX",0.551177993561056
"ATG2B",0.546117155914535
"ADAMTS10",0.541786633096165
"RBBP8",0.541765392519177
"FSIP2",0.541
"LYRM1",0.541
"APPL2",0.536488722010852
"TTN-AS1",0.529
"HAUS3",0.52865723358708
"NLGN1",0.517068362932412
"ZDHHC11",0.51471892911826
"SENP6",0.506641497668137
"RASGRP2",0.50095116351733
"ADAM17",0.494
"ACAD11",0.489716013638228
"GARNL3",0.482600795869286
"MEF2C",0.476907586060817
"NKAIN2",0.468131998946934
"TENT2",0.466749357365
"GRIA1",0.465241426279427
"DPY30",0.462137556081888
"TNFRSF25",0.462
"MEMO1",0.461311571289334
"TET1",0.45390755615945
"ARMH3",0.453756343550353
"GNAQ",0.450129101827958
"SKP1",0.449
"ACADM",0.447464854377856
"STXBP5L",0.436939037746623
"ZNF618",0.43
"LINC01224",0.425183481759619
"AC138894.1",0.422
"TSPAN4",0.416
"GLRA3",0.413509874560402
"PCDH10",0.410137674586576
"CHD9",0.409613115326629
"CDC37L1",0.400406554721865
"FGD4",0.398155680408156
"GALC",0.398
"VPS29",0.390246023203142
"LRIG2",0.390053201373266
"CLN3",0.389
"TRIM65",0.38867361281248
"PMS1",0.387423105453919
"PAXBP1",0.383723281296314
"STRN4",0.383347877779245
"AC068547.1",0.381203790539282
"SH3YL1",0.379
"RCC1",0.375028787544259
"QKI",0.375
"TP53INP1",0.373
"TMEM50B",0.363580675919741
"KLHL1",0.36049387453944
"AL157392.3",0.359
"GPHN",0.358740739411023
"LARP7",0.357
"CLK4",0.356
"CDH18",0.353354961874862
"C14orf132",0.353
"STRN",0.352913396997484
"PDXDC1",0.35
"GCFC2",0.34994565827281
"MACROD2",0.348160728305622
"MADD",0.347
"MSL3",0.342
"STRN3",0.342
"FAAP20",0.34
"RSRC2",0.337
"MYCBP2",0.334
"SPRYD7",0.333857318455272
"SCO1",0.333
"ADGRL1",0.330653982408218
"CSTF3",0.325040250783999
"TRAPPC13",0.324
"HHLA3",0.323572589834231
"FAM221A",0.322
"INO80E",0.32
"ERCC8",0.31481706192885
"CCDC180",0.311
"MAP6",0.308144109975834
"TARBP1",0.307710498910423
"RARS1",0.306885329150826
"LINC00662",0.305
"SLC25A17",0.305
"SLC7A6",0.303
"COPS7B",0.3
"CACNB4",0.298695509771579
"BLMH",0.296469437058517
"AGPS",0.294581348416939
"ASNS",0.291938623717318
"NUP58",0.289509040237906
"PRKG1",0.285160494815662
"FNIP2",0.281732733573089
"AC104009.1",0.266602040364061
"VSTM2L",0.256147159802907
"NLN",0.255901593978306
"WNK1",0.25535434803699
