"","dPSI_iPSC.4714.3x"
"ARL15",0.84629660708486
"ASAP1",0.718
"HDX",0.642
"POMT2",0.631
"LARP7",0.567
"PDE7A",0.564
"LRRC42",0.533
"LINC02210",0.499216146877572
"ZFP82",0.495542579149435
"MADD",0.49
"SKP1",0.487346178922834
"NAV2",0.484
"CLASP2",0.464521093807531
"TPTEP2",0.448836666482126
"NACA",0.43
"KDM6A",0.424
"MYCBP2",0.412
"PDXDC2P",0.405527292034937
"AC009022.1",0.403534495150844
"TAF2",0.383
"TENT2",0.38248865476526
"CARD8",0.375
"EGLN1",0.367
"VPS29",0.347238575768847
"SENP6",0.34232869042159
"TMEM50B",0.334547231432702
"STRN3",0.331
"LINC00667",0.328
"EXOC6B",0.320006859751298
"CLN3",0.317
"DPY19L3",0.314
"ERGIC3",0.310813977833055
"AXIN1",0.301563983076495
"ENAH",0.293807257658809
"NREP",0.291143712936767
"NUP58",0.256161855122136
