"","dPSI_iPSC.4741.10x"
"ASAP1",1
"AC009022.1",0.981927701496271
"C12orf4",0.973681067441338
"PDXDC2P",0.964424757499311
"POMT2",0.956
"ARL15",0.945600496457089
"HSD17B12",0.94485833208477
"AC068205.2",0.943603835371462
"CENPI",0.923800617797118
"MATK",0.913332395885227
"PPP1R26",0.895244814355352
"ANKRD18CP",0.890390247243629
"TNRC6A",0.869069185424961
"SEC22A",0.867695234599651
"TARBP1",0.867
"PDIA5",0.86286179037196
"FBN2",0.848225562676595
"WDR91",0.831573803004083
"HDX",0.831
"KDM6A",0.816
"PDXDC1",0.814775456700932
"FAM162A",0.781
"GRAMD2B",0.777819690620094
"PDE7A",0.777
"NAV2",0.773
"PPIP5K2",0.772430801295012
"LINC02210",0.757175577157389
"MMS22L",0.753921485610887
"GCFC2",0.751029579854838
"VAV2",0.746476078022357
"MAN1A2",0.743883313666625
"PIGN",0.74025354759294
"SERGEF",0.737347708192225
"MFN2",0.718
"SAR1A",0.714023813718897
"HTT",0.710437592552654
"ABCB8",0.70916320096109
"TASP1",0.693142176056529
"TMEM214",0.690104910623416
"HSD17B4",0.687653068484384
"TSPAN7",0.686
"APIP",0.681125948098161
"FOXM1",0.681
"LYRM1",0.68
"C14orf132",0.673829647302291
"RAF1",0.671
"CDC37L1",0.666943860089015
"SENP6",0.659
"NIPA1",0.657805625056828
"ZFP82",0.654936237898675
"SLC12A2",0.646138405010892
"SLC7A6",0.644665078542317
"LRRC42",0.637
"SPIDR",0.636147955341285
"LARP7",0.632
"EMSY",0.631786239227405
"TOE1",0.629032250016212
"APLP2",0.629
"ASCC3",0.624676969757216
"TPTEP2",0.620750702603069
"PRPF31",0.619834373461839
"ERGIC3",0.619
"C1orf94",0.611428790636429
"PMS1",0.580777811523076
"CRYM",0.577151842242866
"SNHG16",0.576
"BECN1",0.573028770723633
"AXIN1",0.573
"RAB2B",0.571750272411699
"RAPGEF1",0.561
"ZDHHC11",0.556213037891812
"EXOC6B",0.552
"EXTL2",0.550640033521892
"XRN2",0.546997792780355
"ANKHD1",0.535761734244327
"DENND1A",0.532062108492241
"VPS29",0.532
"CA12",0.530100258376481
"CLASP2",0.520481148620245
"PHB2",0.518735116318742
"TENT2",0.518627038062826
"RAP1A",0.518
"SUPT20H",0.515562567846414
"RPS10",0.500007039822569
"FES",0.498012774850725
"LYSMD4",0.497290719365166
"ZNF350",0.495796037099437
"DHFR",0.492776026777365
"EVC",0.483792858697931
"TCF4",0.480416060716056
"ABHD10",0.478
"SS18L1",0.472712083220189
"ANKHD1-EIF4EBP3",0.472076268873037
"TSPAN2",0.472
"CTNS",0.465792488744834
"SPPL2B",0.463253248892748
"FNBP4",0.457387131944269
"WDR27",0.453777841890345
"ENAH",0.453406198922865
"ZMIZ2",0.453
"SNHG5",0.446
"ZFYVE26",0.441113020340567
"ALDH3A2",0.435466185371452
"ZNF730",0.435028270288072
"STOX2",0.433764473313775
"PMS2CL",0.4315686424517
"ANXA11",0.429
"IKZF4",0.428483893559469
"DLGAP4",0.427968540231067
"TAF2",0.426
"MAN1B1",0.425486707042311
"ZNF66",0.425216268433035
"CHD9",0.423082044033568
"ULK1",0.416143103012987
"STRN3",0.414
"ARAP3",0.412402411888198
"CLK4",0.411
"EPM2A",0.409973056499732
"IFT57",0.4079629546763
"TXLNGY",0.406945567684043
"FIRRE",0.406231303419673
"STRN",0.403429614744927
"RSRC2",0.403
"RARS2",0.402936074925803
"DYRK1A",0.401902086612421
"PNISR",0.400945614146971
"DDX42",0.400722709383404
"WDR37",0.400200267512731
"WNK1",0.396391040061781
"PLEKHA1",0.396109437976154
"SKP1",0.395055646065154
"C1RL-AS1",0.392
"CACNA1H",0.390509670459864
"LINC00678",0.390160623106017
"RNF144A",0.388104644548968
"EXOSC8",0.387
"HMGA2",0.384705074792897
"CLN3",0.381
"MADD",0.378
"PITPNB",0.377059748974486
"ZNF519",0.377
"PPIA",0.373
"DENND5A",0.368
"KIAA0895L",0.365516684247755
"DPY19L3",0.365
"ADAMTS19",0.361
"ZFY",0.359
"ARMCX6",0.358759311817277
"NUP58",0.358565222709467
"MLLT10",0.354336397316109
"SF3B3",0.353533945203562
"ADGRL1",0.353261874048169
"GNG10",0.349284731431066
"DPH1",0.347524837722216
"TMEM258",0.345006791716743
"DCAF17",0.344
"FAM161A",0.342820180864845
"SCO1",0.3422635074622
"SGCE",0.342
"SLC25A17",0.336
"RBBP8",0.33432287691365
"SNAP23",0.333
"PCBP2",0.332105432833633
"TRIM4",0.330452071573792
"ZDHHC13",0.33
"WASHC4",0.329088243350826
"TAB3",0.327
"METTL4",0.326
"GGCT",0.324
"MORN1",0.321734390785569
"PPIL2",0.319362384341463
"FAAP20",0.318808566226335
"SYTL2",0.318
"LRRCC1",0.3174805687892
"FAM149A",0.315578252845588
"AGO3",0.311887620560021
"ANAPC16",0.311
"INTU",0.304
"VPS13A",0.30376210021577
"UBAP2L",0.303668627838317
"CHEK2",0.302
"SYT14",0.300141280183781
"RINT1",0.3
"EPN1",0.299669763993306
"LRP12",0.297182497735302
"GOLT1B",0.294901846926616
"MARCHF8",0.294898644167267
"ZNF827",0.294537217532842
"CDK18",0.29292906637114
"TIAM1",0.291720391713463
"CTTNBP2",0.286348013454881
"FAM124A",0.286176745328127
"SLC30A5",0.283068713504462
"RPF2",0.282462812962102
"MYCBP2",0.282452378696544
"NPIPA1",0.278887618573249
"CNTRL",0.278031714884187
"SLC44A2",0.277227316686095
"IVD",0.275605436669902
"RALGPS1",0.275104813631947
"HERC4",0.273593444402101
"ZNF429",0.270816478176042
"BORCS8-MEF2B",0.270441945934989
"CENPL",0.269962506164944
"RCC1",0.267092080591347
"NELFA",0.264763934861453
"ARHGAP5",0.262789290698774
"FANCA",0.261405437388928
"MDM4",0.250516623327396
"DLG5",0.250011974246909
