"","dPSI_NGN2.4090.3x"
"LIMCH1",0.799
"ARL15",0.758
"AC009022.1",0.754741069862738
"XRN2",0.71486462957861
"PDXDC2P",0.703735198156376
"WDR17",0.595
"LRRC42",0.585
"EVC",0.575439551710313
"PDE7A",0.559
"MAP4K3-DT",0.542785442093127
"PDXDC1",0.52132093259395
"STRN3",0.521
"ABCB8",0.506209313584511
"CLASP2",0.50064185482018
"ACADS",0.47540803886851
"FYN",0.473078688731049
"DHFR",0.464260951270001
"TNFRSF25",0.463
"LARP7",0.46
"HAUS3",0.444673445720599
"POMT2",0.438
"WDR27",0.434922759945776
"HTT",0.434867886100073
"GXYLT1",0.428190087879245
"TTN-AS1",0.428
"TANGO2",0.423096234018141
"AC138894.1",0.417
"ENAH",0.401370909065982
"TRIM65",0.401
"ADAM17",0.396481900515045
"AP004608.1",0.387
"DENND1A",0.383883609116623
"CLN3",0.383
"ZFP82",0.381576115175803
"SKP1",0.375
"ASCC3",0.372095810914585
"WDR90",0.368
"RAF1",0.366
"KDM6A",0.357635701354207
"TSPAN4",0.344
"DLGAP4",0.343
"FAM221A",0.337
"AXIN1",0.336
"STXBP5L",0.327575575904596
"SYNE4",0.318
"BECN1",0.314
"USP9Y",0.308175671578983
"MADD",0.305
"TAF2",0.305
"LINC02210",0.295577025709753
"TENT2",0.289827056135863
"EXOC6B",0.288798445650941
"KLHL1",0.261469274075713
"C14orf132",0.258118326019319
"PNISR",0.252241688269452
