"","dPSI_iPSC.4714.10x"
"ASAP1",0.976
"ARL15",0.970857987971692
"POMT2",0.959
"ZNF37BP",0.956032172278346
"AC009022.1",0.923850662743929
"ADAMTS19",0.899050336742916
"PDXDC2P",0.887434282413678
"CRYM",0.886337478673986
"HTT",0.869206594162169
"FBN2",0.837547478067945
"MAOA",0.821406288307151
"HDX",0.817
"C12orf4",0.804873459788577
"KDM6A",0.803
"PDE7A",0.794
"SPIDR",0.769725783788166
"ZFP82",0.755160525079441
"BECN1",0.737765809705035
"WDR27",0.705777917818531
"LRRC42",0.692
"ERGIC3",0.667
"TNRC6A",0.663138217248374
"CDC37L1",0.662491417996864
"PDXDC1",0.6622792009613
"ABCB8",0.649085201257036
"ZNF730",0.64814896138312
"NAV2",0.617
"TAF2",0.615
"AXIN1",0.612
"DHFR",0.61117548266134
"EMSY",0.592021990444331
"MLLT10",0.588312764113388
"MMS22L",0.585324699232813
"ZMYM6",0.581877944797751
"CENPI",0.579185136475987
"LYRM1",0.577
"ANXA11",0.569
"EXOC6B",0.566
"TMEM50B",0.556107556928594
"TPTEP2",0.554042670429949
"SYTL2",0.549
"LARP7",0.547
"VPS29",0.541
"RAB2B",0.539065796549067
"SENP6",0.53572722651275
"CLASP2",0.528714467530952
"ASCC3",0.528200182458811
"ENAH",0.517546755859566
"PHB2",0.516805969393149
"MYCBP2",0.515
"C14orf132",0.507702981225691
"ALDH3A2",0.506618287470092
"ANKS3",0.506316416087782
"TENT2",0.497747490979441
"MAN1B1",0.497497639615429
"DIAPH3",0.484541081766475
"SF3B3",0.483843377107994
"WNK1",0.482692399350752
"CHD9",0.482026340473099
"LINC00678",0.481041830097371
"IFT27",0.479
"TMEM214",0.473428144369655
"SKP1",0.471047152941524
"ARMCX6",0.469827091896086
"CIZ1",0.467021197325091
"AHI1",0.466738414494048
"RAP1A",0.466
"FKBP1B",0.462359930356418
"LINC00649",0.454547185669409
"CEP162",0.450068482826325
"STOX2",0.447300020787598
"SLC7A6",0.44695463378674
"ANKHD1",0.445943017956257
"CLN3",0.445
"TANGO2",0.443439754666636
"AC009533.1",0.442534496203224
"SELENOP",0.441486215275457
"TPT1-AS1",0.439212576172809
"ANKHD1-EIF4EBP3",0.436909371212327
"LRRN2",0.436484614945192
"DLGAP4",0.436260633037288
"FAAP20",0.431
"GRAMD2B",0.431
"FAM174A",0.429320186683289
"ZNF680",0.428492902920691
"GXYLT1",0.428239253632606
"ADGRL1",0.422683327696909
"TCF4",0.419848215484236
"AC114490.2",0.416899604186994
"AC138894.1",0.413
"MADD",0.412
"OCLN",0.411509771924705
"ADAL",0.410162491587549
"CACNA2D1",0.409317333082724
"TIAM1",0.403868505798709
"SEC22A",0.401088115939839
"APLP2",0.401
"PDIA5",0.400618285112734
"ORM2",0.396776276909983
"ANKRD18CP",0.396240951206518
"DPH1",0.392271149620635
"MATK",0.392249708633438
"EVC",0.391455561048343
"FAM162A",0.391097285108948
"SHMT2",0.39
"ZNF618",0.39
"ARHGAP5",0.385586068275344
"XRN2",0.381815594409564
"GALC",0.379
"DNASE1L1",0.377
"ZMYM2",0.374
"SNHG5",0.373
"ASAP2",0.372203469110533
"PMS2P10",0.371539928152018
"KTN1-AS1",0.364195939688381
"DPY19L3",0.364
"STRN3",0.361
"NAA40",0.356
"FOXM1",0.354
"PNISR",0.348568681277801
"TSPAN7",0.346
"FAM13B",0.345584903494223
"RAF1",0.344
"RBBP8",0.343924081057434
"NUP58",0.343
"TRDMT1",0.341
"PCBP2",0.336134627559659
"GOLT1B",0.335461555735825
"PLCH1",0.33278551968765
"LINC02210",0.332
"STRN4",0.328912165447744
"FLVCR2",0.325710430773921
"SLC25A17",0.325
"DLGAP1",0.320389037823667
"ADCY5",0.319
"ABCE1",0.318
"TARBP1",0.314
"SH3YL1",0.313
"GGCT",0.31
"DENND5A",0.309188760167618
"ADAM23",0.308417272889516
"GANC",0.308
"TMEM116",0.306
"KIZ",0.3
"LRRCC1",0.297227901222028
"PYCR1",0.29442997758685
"ZMIZ2",0.292174756559725
"TRIM4",0.28942853749201
"SREK1",0.288080231218457
"GCFC2",0.281686185278908
"PRKACB",0.28006854461633
"RCC1",0.27614513074251
"METTL4",0.271997107813282
"TET1",0.269768659666482
"CBWD6",0.268609888427718
"CMSS1",0.264941720473641
"SNX4",0.263728283883416
"IFT57",0.26203472415699
"IFFO1",0.261966178815753
"AVL9",0.260588728096563
"TJP2",0.258376597088942
"SYT14",0.257467103196499
"IFT81",0.25348696951115
"HERC4",0.25304553071005
"APBB2",0.25010946823675
