"","dPSI_NGN2.6866.3x"
"AC009022.1",0.800889357009951
"PDXDC2P",0.776793517925253
"KCNT2",0.745008898676679
"LIMCH1",0.731
"ARL15",0.685
"XRN2",0.608927634135259
"EPHA4",0.58042459911585
"DENND1A",0.572787487217642
"PDXDC1",0.563332324321815
"WDR27",0.557709407988808
"KLHL1",0.556742788598272
"WDR17",0.555
"LARP7",0.55
"ABCB8",0.548
"POMT2",0.538
"LRRC42",0.512
"RBP4",0.49327354735655
"EVC",0.487863486235123
"TNFRSF25",0.477
"HTT",0.467482744701866
"FHOD3",0.465403478358908
"PLCD1",0.44
"TTN-AS1",0.432
"HAUS3",0.431410604640487
"ZHX2",0.423050597515363
"CASTOR1",0.419835519607294
"AC004997.1",0.418964834064251
"TRIM65",0.417
"ASCC3",0.40060288532201
"PDE7A",0.4
"LINC02210",0.398474811318386
"CCDC180",0.397
"DLGAP4",0.393
"DHFR",0.392871345634654
"LYRM1",0.382
"CLASP2",0.381891940166394
"FSIP2",0.376
"SKP1",0.371
"TRIM27",0.369
"LRIG2",0.368291163308041
"TAF2",0.366
"TSPAN4",0.356
"MIR4435-2HG",0.355
"SETX",0.353109006557811
"ATR",0.352
"SPART",0.349502925302352
"FAM221A",0.346
"ZFP82",0.344450520743289
"STXBP5L",0.342734962373873
"AC138894.1",0.341
"ADAM17",0.33329990555464
"RAF1",0.333
"TRAPPC13",0.324
"TENT2",0.32081074989528
"KDM6A",0.319
"SNHG17",0.319
"CLN3",0.31
"AXIN1",0.309
"STRN3",0.305
"ZNF718",0.301510121172493
"PNISR",0.284493590361603
"ENAH",0.264892224467614
