"","dPSI_iPSC.4090.3x"
"ARL15",0.780424051599279
"ASAP1",0.619
"HDX",0.569453469250471
"MADD",0.557
"PDE7A",0.514
"SYTL2",0.507
"MYCBP2",0.486
"TPTEP2",0.435068541143015
"SCRN3",0.418802884559067
"TNFRSF25",0.407
"LRRC42",0.404
"DRG2",0.399
"VPS29",0.390295468571129
"CLASP2",0.381747899183689
"JMJD7-PLA2G4B",0.372
"ZFP82",0.362057554376766
"KDM6A",0.358
"LARP7",0.358
"TAF2",0.355
"POMT2",0.347
"TSC1",0.339
"LARS1",0.333
"STRN3",0.333
"PFDN5",0.323
"PIGA",0.31
"PYCR1",0.303561404456185
"SNHG17",0.302
"AXIN1",0.301967286346074
"EXOC6B",0.3
"NAV2",0.28397777996942
"LYRM1",0.269089551343331
