"","dPSI_NGN2.4748.3x"
"KCNT2",0.890974930856401
"AC009022.1",0.814461100486324
"PDXDC2P",0.788255492865744
"LIMCH1",0.772
"PDXDC1",0.716775312205163
"XRN2",0.699144487902222
"ARL15",0.696
"FHOD3",0.637008212452374
"KLHL1",0.615083368875372
"ASCC3",0.589427000801932
"PDE7A",0.572
"WDR27",0.568610313953388
"LINC02210",0.543601377365512
"FSIP2",0.541
"DHFR",0.521993975745467
"ABCB8",0.51765754827347
"LRRC42",0.514
"POMT2",0.506
"WDR17",0.505
"CACNA1C",0.494246542645194
"EVC",0.482122608318618
"TNFRSF25",0.477
"MELTF",0.472621465163721
"SNTG1",0.464835715904968
"LARP7",0.463
"USP9Y",0.45453881870801
"KDM6A",0.454242834586916
"ZFP82",0.442487502525849
"CLASP2",0.431816591478351
"TAF2",0.428
"FAM221A",0.424
"AXIN1",0.412
"SKP1",0.402
"ENAH",0.388873012027799
"TET1",0.385507230226266
"SETX",0.382215261853218
"RAF1",0.376
"STRN3",0.374
"TENT2",0.365813724532755
"HTT",0.363833696155056
"CLN3",0.354
"INO80E",0.351
"DENND1A",0.34788080791909
"SREK1",0.33810828095916
"HDAC10",0.338
"DLGAP4",0.327
"RSRC2",0.326
"CYB5A",0.325
"LYRM1",0.325
"STXBP5L",0.320005223559106
"ERVK13-1",0.317
"SLC25A17",0.308421102733793
"ADAM17",0.308
"TOX4",0.308
"TARBP1",0.285061905851152
"MLLT10",0.284291881835427
"ZNF618",0.274579833841613
"CDC37L1",0.26579938804928
"CACNB4",0.260202021362493
"HDX",0.250406689685805
