"","dPSI_NGN2.4714.10x"
"POMT2",0.979
"EVC",0.963700537235266
"PDXDC2P",0.95567216542939
"HTT",0.949947397306921
"AC009022.1",0.933761415221842
"DENND1A",0.921525270669062
"HDX",0.916
"GCFC2",0.905583573465414
"ZDHHC11",0.903669151380875
"MLLT10",0.893614307104549
"XRN2",0.891174800122478
"PDE7A",0.89
"LRIG2",0.873923979393604
"CLASP2",0.863108811912533
"KDM6A",0.858
"ZMYM6",0.849368873829896
"PITPNB",0.840406272778339
"USP9Y",0.840403856837185
"LIMCH1",0.835
"SETX",0.823749996940204
"DHFR",0.820494570504951
"ABCB8",0.82
"RAF1",0.809
"DENND5A",0.801
"ARL15",0.79
"KLHL1",0.783349911878965
"FHOD3",0.783289125496106
"PCDH10",0.782960499908989
"KCNT2",0.776221050463821
"TAF2",0.763
"RBBP8",0.762729018089873
"AC114490.2",0.759430818688825
"DPY30",0.732417846223029
"MELTF",0.722754891112585
"SREK1",0.721
"ZFP82",0.719183763541601
"CDC37L1",0.718122546505499
"TIAM1",0.715744919624528
"MEMO1",0.698867462284457
"EXOC6B",0.695
"C12orf4",0.691631123029626
"AC068547.1",0.688985053154988
"LRRC42",0.685
"WDR17",0.684
"SENP6",0.683493799576776
"GALC",0.68
"ENAH",0.676023666588684
"ADAMTS10",0.66820320231064
"ENOX1",0.667598732546271
"APPL2",0.666162890667254
"LARP7",0.663
"HAUS3",0.649907769028469
"CACNA1C",0.648
"CHRM2",0.647272302911708
"PRKG1",0.646334631649665
"DLGAP4",0.633
"ARMH3",0.630287473149375
"GARNL3",0.628575073223758
"LYRM1",0.625
"NLGN1",0.624022739233617
"WNK1",0.624012455870529
"GNAQ",0.621338221827387
"EMSY",0.617597513869073
"GXYLT1",0.616510898737066
"INO80E",0.616
"PNISR",0.59655250856334
"TNIP1",0.593791782039227
"ATP8A2",0.588687411869667
"RASGRP2",0.587649858996374
"AGPS",0.587569870495571
"ATG2B",0.583815155785656
"SCO1",0.571
"TENT2",0.564150691501796
"NKAIN2",0.554619338620153
"ERCC8",0.546
"MDN1",0.532651085615091
"SF3B3",0.526291422773513
"AGGF1",0.525188695194744
"BECN1",0.522834749431273
"IVD",0.519679104919416
"STXBP5L",0.516908653740841
"GLRA3",0.516524101632698
"MRPS5",0.516033405952021
"ZNF618",0.514
"MACROD2",0.513122168723819
"COPS7B",0.512
"SKOR2",0.505910013934553
"APLP2",0.498
"VPS29",0.497856866251773
"ACAD11",0.49636700698152
"SKP1",0.495
"HLTF",0.493710732691668
"FGD4",0.488
"CNIH3",0.487802871634863
"AC008581.2",0.485103496480295
"CLK4",0.484
