"","dPSI_iPSC.6527.10x"
"ARL15",0.920962420435892
"ASAP1",0.898
"HDX",0.785
"POMT2",0.756
"AC009022.1",0.724570641463041
"ZNF37BP",0.706917024332565
"LARP7",0.703
"MADD",0.651
"PDE7A",0.646
"C12orf4",0.635612201572459
"PDXDC2P",0.618775894097101
"ADAMTS19",0.596323310374821
"ZFP82",0.594056413890664
"FBN2",0.587620250929308
"KDM6A",0.587
"SKP1",0.586118177494009
"GRAMD2B",0.579118760995024
"LRRC42",0.574
"LINC02210",0.569003326062447
"HTT",0.562012632131834
"CHROMR",0.559
"ZNF563",0.556182789568144
"LYRM1",0.55
"ABCB8",0.540966114245603
"CLASP2",0.526112518175811
"PHB2",0.520082187126091
"NAV2",0.511
"AXIN1",0.509
"CAPRIN2",0.504322941334276
"PRDM2",0.499849301057465
"BECN1",0.488248077427458
"TAF2",0.48
"CACNA2D1",0.463422454682499
"SENP6",0.446890037008269
"EXOC6B",0.446
"SPIDR",0.442686544114459
"RCOR3",0.43992950810452
"ERGIC3",0.439
"TANGO2",0.426383718660804
"DYSF",0.426095543436886
"LINC00630",0.425360027297796
"IFT27",0.422
"CRYM",0.419101153586645
"VPS29",0.417
"WDR27",0.404846719478782
"TIAM1",0.4014617969726
"UNC13A",0.397061883616421
"MYCBP2",0.394
"DLGAP4",0.388957201796755
"ZNF730",0.385678521486888
"LINC00662",0.376
"MAN1B1",0.36444914573573
"FGFR1",0.362
"CHD9",0.356454501759724
"NUP58",0.354599292227802
"TNRC6A",0.354480336477198
"STRN3",0.352
"FAAP20",0.349396068481807
"CLN3",0.345
"ZNF618",0.333397252328329
"DHFR",0.327854779574601
"ARMCX6",0.326792375318473
"INTS3",0.309
"ENAH",0.307593839913764
"SH3YL1",0.306
"C8orf44",0.304
"TENT2",0.296740664106921
"TPTEP2",0.293867484289583
"RAF1",0.293674416866483
"WNK1",0.293172863361822
"MATK",0.264742238827362
"PNISR",0.263650484854442
"SF3B3",0.262385715153626
"RCC1",0.260466729814228
"TCF4",0.254799691641706
