"","dPSI_NGN2.4741.10x"
"GCFC2",0.999998154694213
"POMT2",0.981
"HTT",0.980828267969594
"SNAP23",0.98
"ARL15",0.954
"PDXDC2P",0.947588694070771
"PIGN",0.935553120073431
"AC009022.1",0.933754615705187
"ZDHHC11",0.933385019593746
"PCDH10",0.928083057215022
"XRN2",0.925624671051856
"C12orf4",0.918070084396356
"LRIG2",0.913091041353235
"EVC",0.912018428486665
"RAF1",0.912
"THSD7B",0.906831912602481
"WDR91",0.898
"ASCC3",0.892225049486084
"KCNT2",0.890047015801357
"SLC24A3",0.889594284439742
"WDR27",0.889052283944059
"GLRA3",0.885511898354786
"HSD17B4",0.882725795796655
"SOS2",0.879882911918238
"TPTEP2",0.874
"NKAIN2",0.870387134993678
"LINC02210",0.863051816064159
"MLLT10",0.84777093257099
"PIEZO2",0.846357665461575
"PDE7A",0.846
"LARP7",0.845
"MFN2",0.843
"CNGA3",0.841021447975364
"FAM162A",0.837
"HDX",0.837
"AL031315.1",0.831606326183785
"CHRM2",0.831190716137909
"DENND1A",0.826124904135145
"APIP",0.824523764460384
"USP9Y",0.82303126650974
"LIMCH1",0.821
"HSD17B12",0.80784003143202
"SENP6",0.806
"ABCB8",0.801
"APLP2",0.799
"DPY30",0.786217246558463
"KDM6A",0.773
"FAM124A",0.76597549780924
"LRRC42",0.753
"FHOD3",0.752937917320973
"PDIA5",0.751036233308722
"MEMO1",0.749607861866596
"DHFR",0.748281456089413
"SEC22A",0.747957065655835
"PITPNB",0.745395956657172
"AC068205.2",0.739155114614434
"CDC37L1",0.730650283107317
"SETX",0.721478489985822
"MATK",0.721240212638807
"HLTF",0.719546165830847
"EMSY",0.716368520427586
"NIPA1",0.711
"CLASP2",0.705228996695809
"DDX42",0.70441797292074
"MELTF",0.698672966850616
"ACAD11",0.692128368142785
"VAV2",0.687717775760257
"LETM2",0.682878715518521
"RAPGEF1",0.678
"MAST4",0.669139330288632
"WDR17",0.661
"AL157871.6",0.659822092355363
"AXIN1",0.653
"TAF2",0.653
"MRPS5",0.651336676745122
"SAR1A",0.648907140188311
"RAB2B",0.643461796682236
"KCNN2",0.633257763653976
"LNPK",0.628293662477731
"ZFP82",0.621665799425834
"ZMYM6",0.619581701072911
"FNDC3A",0.619576605370723
"MDN1",0.61847887978903
"PHLDB1",0.606909953765234
"MMS19",0.605952051886296
"SLC25A17",0.604
"SREK1",0.6
"COPS7B",0.598
"ERCC8",0.598
"ENAH",0.59772442268924
"TASP1",0.596969924923598
"SORCS1",0.589048293328703
"SLC7A6",0.586
"SUPT20H",0.585692963575625
"PEPD",0.58
"NLGN1",0.578856608493044
"ABCC8",0.577603469752454
"IVD",0.577157826651477
"TENT2",0.573674346745485
"FOCAD",0.561459220234016
"FGF12",0.561082427162276
"WASHC4",0.555414786740151
"DLGAP4",0.552
"DENND1B",0.551946481543402
"LMBRD2",0.551310147080723
"CACNA1C",0.549137918543967
"ZNF804A",0.542871492423981
"UBAP2L",0.531512593004638
"MAN1A2",0.529041011571214
"DGKI",0.525251804770325
"SNX7",0.523498423374909
"CLK4",0.523
"HDAC10",0.521
"COG3",0.519841802601921
"STRN",0.51936276778674
"NSUN4",0.519205108304074
"PTK2B",0.514865663580642
"SCO1",0.51
"RNF144A",0.506123206597639
"CTTNBP2",0.505469015473994
"ENOX1",0.505361358673108
"DPH1",0.501173088899492
"EXOC6B",0.501
"TNIP1",0.497883117747344
"HIKESHI",0.493
"AC068547.1",0.492464512196379
"ELMO2",0.49
"TSPAN7",0.487
"TIAM1",0.486308239605704
"ZNF585B",0.485570591331997
"RBBP8",0.485106239661472
"ATG2B",0.482912245192542
"SYNE4",0.481
"SGCZ",0.478081470274193
"CACNA1H",0.478
"ARMH3",0.477642599953017
"HAUS3",0.476143846307372
"PCM1",0.476007141448156
"AC114490.2",0.474984274315809
"ADAMTS10",0.474511929155054
"DGKA",0.473
"SH3YL1",0.473
"PDXDC1",0.472
