"Gene.Name","Index1_iPSC-1755497-3x_log2FoldChange","Index1_padj","Index2_iPSC-1949634-3x_log2FoldChange","Index2_padj","Index3_iPSC-2006152-3x_log2FoldChange","Index3_padj","Index4_iPSC-2059811-3x_log2FoldChange","Index4_padj","Index5_iPSC-2060573-3x_log2FoldChange","Index5_padj","Index6_iPSC-2060884-3x_log2FoldChange","Index6_padj","Index7_iPSC-2070692-3x_log2FoldChange","Index7_padj","Index8_iPSC-2135644-3x_log2FoldChange","Index8_padj","Index9_iPSC-2136770-3x_log2FoldChange","Index9_padj"
"AC007405.2",NA,NA,-1.55024595855385,0.0394508009541692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC007405.4",NA,NA,-1.07892027511681,3.21386503737829e-06,NA,NA,-0.697911420021425,0.0129749714579922,-0.804486326134892,0.00224664048506951,NA,NA,-0.83358098334945,0.00181040258251428,NA,NA,NA,NA
"AC007485.2",NA,NA,-0.789933602395916,0.00136103675973746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC007614.1",NA,NA,-1.30865725092719,0.00395845969201487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC007686.3",NA,NA,-0.662347347402734,0.00990294943324788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC008124.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.629787853223342,3.28507740544407e-11,NA,NA,NA,NA,NA,NA
"AC008397.2",NA,NA,-0.992309594824818,0.0215677292889099,NA,NA,NA,NA,NA,NA,-1.32692619691847,0.0023453794694696,NA,NA,NA,NA,NA,NA
"AC008555.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.777079604998812,0.000370124566555135,NA,NA,NA,NA,NA,NA
"AC008581.2",NA,NA,-4.21861987546426,0.0107571948797883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC008750.2",NA,NA,-2.87635074377093,1.89272447801801e-11,NA,NA,NA,NA,-1.16068912537396,0.00597750117559927,-2.15175329112792,6.39286231565262e-08,-0.918585981279379,0.0477069686704017,NA,NA,NA,NA
"AC008897.3",NA,NA,-4.16640553129131,0.00410432847231041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC008966.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.646824143982051,0.00362903139675073,NA,NA,NA,NA,NA,NA
"AC009005.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.626706542708831,0.0256723913495308,NA,NA,NA,NA,NA,NA
"AC009271.1",NA,NA,-0.875679719696187,0.000441086074735566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC009312.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.791098935092883,0.0032761175278343,NA,NA,NA,NA,NA,NA
"AC009446.1",NA,NA,-0.99161980169978,0.000101303352768221,NA,NA,NA,NA,NA,NA,-0.837359096143651,0.00174849662589526,NA,NA,NA,NA,NA,NA
"AC009549.1",NA,NA,-1.05450857241273,0.00928979029683749,NA,NA,NA,NA,NA,NA,-1.2871841433312,0.00358498933288926,NA,NA,NA,NA,NA,NA
"AC009654.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.925611474159886,0.0209852023319932,NA,NA,NA,NA,NA,NA
"AC009831.1",NA,NA,NA,NA,NA,NA,NA,NA,-0.643854985424827,0.00977533197854239,-1.16987798871401,1.19816732858634e-07,NA,NA,NA,NA,NA,NA
"AC009948.2",NA,NA,-4.29051301722593,7.2377692638544e-10,NA,NA,NA,NA,-1.50972363092876,0.00571079578943239,-3.09240397261149,4.452567108252e-08,-1.47413440966539,0.00869393244219527,NA,NA,NA,NA
"AC010132.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.708729793587545,4.89017903613832e-09,NA,NA,NA,NA,NA,NA
"AC010491.2",NA,NA,-0.890065125122839,0.000569426425477404,NA,NA,NA,NA,-0.719977755189358,0.0206412339398993,-0.613658801231103,0.0260241627199207,NA,NA,NA,NA,NA,NA
"AC010615.1",NA,NA,-0.969427430122993,0.00761829834028999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC010615.2",NA,NA,-0.604953407376193,0.000533913399417442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC010624.2",NA,NA,-0.867315600298421,0.0285087068379184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC010680.2",NA,NA,-1.84391720957141,7.045063513881e-08,NA,NA,NA,NA,NA,NA,-1.15376559729311,0.000544951946459893,NA,NA,NA,NA,NA,NA
"AC010896.1",NA,NA,NA,NA,NA,NA,NA,NA,-0.754515965267166,0.00107629267756237,-0.786110349751901,0.000158148098240553,NA,NA,NA,NA,NA,NA
"AC010996.1",NA,NA,-1.22988948740547,0.000206628614698175,NA,NA,NA,NA,-0.944686842047147,0.0163544410070524,-1.15759586647205,0.000776133901083772,NA,NA,NA,NA,NA,NA
"AC011447.3",NA,NA,-0.934087320604294,2.97519854763668e-13,NA,NA,NA,NA,NA,NA,-0.627931553873829,2.24286483476777e-06,NA,NA,NA,NA,NA,NA
"AC011447.7",NA,NA,-1.53309558834674,3.46438333864066e-16,NA,NA,-0.612909752943427,0.0147855584276361,-0.645270188960939,0.00633398949948017,-1.15150895616664,2.68339741982431e-09,NA,NA,NA,NA,NA,NA
"AC011468.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.48193084076735,0.000916860100493861,NA,NA,NA,NA,NA,NA
"AC011498.7",NA,NA,-1.42561323674607,0.00550345047945514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC011815.1",NA,NA,-1.51899686770972,6.64797295372856e-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
