"","dPSI_iPSC_2195127_3x"
"ARL15",0.685
"HDX",0.587
"ZNF37BP",0.563196338390891
"AC104109.3",0.527974323209438
"SKP1",0.493658791195049
"ZNF324B",0.45502566998769
"C12orf4",0.453979837890619
"RASSF8-AS1",0.434
"ASAP1",0.413
"LARS1",0.409
"POMT2",0.393
"PDE7A",0.379
"MADD",0.371
"GRAMD2B",0.358935319944803
"LARP7",0.35
"MYCBP2",0.349
"NAV2",0.343
"LRRC42",0.338
"VPS29",0.32103635359414
"EXOC6B",0.315
"ZFP82",0.310306469837867
"KDM6A",0.308
"TAF2",0.307
"AC138894.1",0.302
"NUP58",0.301450923380423
"PILRB",0.3
"STRN3",0.3
"FAAP20",0.264959634049024
"SENP6",0.261386758020393
"GXYLT1",0.261279410441801
"PNISR",0.258719938169401
