"","dPSI_NGN2_1755497_3x"
"PPIP5K1",0.916405568120737
"LIMCH1",0.837
"POMT2",0.829
"WDR27",0.781240150584587
"NUP58",0.752
"DENND1A",0.738544694775545
"AC136604.3",0.647350870420379
"LARP7",0.645
"MELTF",0.589321441049649
"CACNA1C",0.584787294267834
"LYRM1",0.578
"PDE7A",0.571
"WDR17",0.557
"HDX",0.556
"C12orf4",0.552955710216141
"AXIN1",0.545
"DLGAP4",0.539
"ABCB8",0.538
"CLASP2",0.535344828352575
"LRRC42",0.529
"SENP6",0.523317210301649
"TAF2",0.518
"RAB3IP",0.515
"RAF1",0.515
"LINC02210",0.513586377370662
"PHOX2B-AS1",0.509192435085456
"DHFR",0.492584263001682
"MANBA",0.487
"MIR100HG",0.477
"TRAPPC13",0.471
"GXYLT1",0.467582761690686
"ZMYM6",0.463945175790077
"TET1",0.458517902901482
"XRN2",0.456724254818858
"ZFP82",0.44661855935343
"GPHN",0.438768883792266
"NAIP",0.438131144046473
"STXBP5L",0.432767109167842
"KDM6A",0.429
"LIN37",0.423
"AC026786.1",0.419080969939584
"STRN",0.417822961470685
"RBBP8",0.414568684701718
"MORN1",0.410628201310922
"HTT",0.408525332780387
"MYCBP2",0.405
"SETX",0.402799574448268
"ARMH3",0.38743328408764
"ASCC3",0.386959794175332
"GALC",0.382985889368456
"SLC25A17",0.381542860387172
"DENND4A",0.379
"TRIM65",0.377
"SERGEF",0.371
"ENAH",0.35392706219625
"SKP1",0.353
"ARL15",0.347
"KLHL1",0.342052960321059
"TENT2",0.340958007140888
"LRIG2",0.339601202019075
"TIAM1",0.336042278929707
"ZNF618",0.331618324741609
"EXOC6B",0.327483433545799
"ADAM17",0.326
"ERCC8",0.317856440097053
"STRN3",0.313
"AC138894.1",0.312
"C14orf132",0.310284303479491
"PNISR",0.30828245157911
"TMEM50B",0.308028467128662
"ST6GALNAC4",0.302
"SNHG12",0.301
"APLP2",0.3
"ELMO2",0.3
"FAAP20",0.3
"ENOX1",0.277519311597188
"MACROD2",0.269899734219443
"CACNB4",0.259206556607088
"SULF1",0.257954737424075
