"","dPSI_iPSC_2195327_3x"
"DLGAP4",0.755
"ARL15",0.606
"HDX",0.56
"C12orf4",0.502464541386833
"AC104109.3",0.499691374907672
"POMT2",0.45
"PDE7A",0.441
"HAUS3",0.439081251084563
"GRAMD2B",0.431582254733703
"NOD1",0.431545292945475
"NAV2",0.431
"TNFRSF25",0.426635309232052
"MYCBP2",0.400495818158333
"CLASP2",0.386105406105855
"ASAP1",0.384
"LARP7",0.384
"KDM6A",0.369
"SKP1",0.355
"TAF2",0.352
"MADD",0.351
"SENP6",0.343866449329106
"ASAH1",0.339
"ERICH5",0.337
"LRRC42",0.337
"RASSF8-AS1",0.334
"PIGN",0.319
"HMGN1",0.312
"AMT",0.311
"STRN3",0.307
"RPS3",0.300190544441643
"ZFP82",0.298151209102216
"NUP58",0.286550823119705
"VPS29",0.278016207213773
"LINC02210",0.268757040578041
"EXOC6B",0.266856935846938
"AXIN1",0.255728198769075
