"","dPSI_Sy5Y_1755497_3x"
"AL589743.1",0.674615872551055
"MELTF",0.595587159925987
"BECN1",0.528850060175394
"KCNT2",0.525
"HDX",0.509
"AL391807.1",0.501
"ASAP1",0.498
"C12orf4",0.488523937870955
"ARL15",0.461143573732075
"POMT2",0.457
"TPTEP2",0.427588657595548
"BMS1P1",0.423460302036786
"FBXO48",0.402410335958746
"LIMCH1",0.401
"ERGIC3",0.393
"FAM193B",0.393
"ASAP2",0.369
"WDR27",0.363977763589822
"KDM6A",0.357788145392389
"DUXAP9",0.354730892604473
"STRN3",0.354
"HEXD",0.346
"LRRC42",0.346
"TAF2",0.344
"ZNF37BP",0.33902617770463
"LYRM1",0.327
"PIGN",0.324
"PDE7A",0.32
"RAB3IP",0.316
"SORBS3",0.316
"MADD",0.315048291943989
"LINC02210",0.314142002419128
"SPATA13",0.311
"FAAP20",0.31
"VPS29",0.31
"CACNA2D1",0.309662292000614
"LARP7",0.304
"VDAC3",0.298989892053455
"PHOX2B-AS1",0.29280867925045
"MAOA",0.264619453404867
