"","dPSI_Sy5Y_2195127_3x"
"KCNT2",0.955
"ARL15",0.861
"ASAP1",0.805
"AL589743.1",0.716413870148979
"POMT2",0.706
"HDX",0.667
"C12orf4",0.623333861231823
"OCLNP1",0.61609426396476
"ASAP2",0.598
"LINC02210",0.593056358307052
"PDE7A",0.592
"OCLN",0.576645205200721
"EHHADH",0.564
"LYRM1",0.564
"LRRC42",0.531
"GXYLT1",0.525057441310295
"EXOC6B",0.524
"LIMCH1",0.522
"PDXDC2P",0.514255320596071
"AC009022.1",0.513699440049196
"LARP7",0.511
"MAOA",0.502
"ERGIC3",0.499
"TAF2",0.493
"DUXAP9",0.491485511338911
"EVC",0.49118225300785
"NCAM1",0.475304006404959
"TPTEP2",0.45974223654896
"PNISR",0.458667708307046
"CHRM2",0.457850636431131
"WDR17",0.446
"VPS29",0.435
"MADD",0.434
"KDM6A",0.423
"SPRY4-AS1",0.42215669138158
"ZNF37BP",0.415406536148478
"MYCBP2",0.414
"ADAMTS19",0.412218956458702
"APPL2",0.408761631313412
"TIAM1",0.408487178046519
"TENT2",0.402144554730257
"SDCBP2-AS1",0.402
"AL713999.1",0.392439564839433
"HAUS3",0.391569614174343
"WDR27",0.389
"SKP1",0.386607333158867
"CHEK1",0.382
"SPIDR",0.381630315824061
"HTT",0.373294494760712
"MELTF",0.370318165645761
"TP53INP1",0.366
"ZMIZ2",0.363
"SENP6",0.359179344162136
"ABCB8",0.346
"MIR9-3HG",0.346
"NUP58",0.346
"TARDBP",0.340399863440481
"ZNF618",0.335665952487523
"SH3YL1",0.335
"ENAH",0.332948889008064
"FOXM1",0.332766021291341
"STRN3",0.332
"FAAP20",0.33
"ZMYM6",0.328131116312068
"PIGN",0.328
"DHFR",0.325744472412306
"PHOX2B-AS1",0.320206166252965
"AXIN1",0.311
"ORAI3",0.310663469833745
"C14orf132",0.307
"ZNF730",0.290273629280039
"DLGAP4",0.284255997858217
"ZFP82",0.282227387640483
"SLC25A17",0.281201499069166
"VDAC3",0.28098079784463
"NOX4",0.280723027305419
"CACNA2D1",0.279672271696609
"ARMCX6",0.278233905113517
"SMN2",0.267063579088887
"GPI",0.256318355789801
"PRICKLE1",0.256131774497854
"GNAQ",0.256004560515046
"CEP162",0.252032070068927
