"","dPSI_NGN2_2197294_3x"
"PPIP5K1",0.907482943964922
"LIMCH1",0.758
"EVC",0.589960218664849
"AC136604.3",0.58666667909225
"LINC02210",0.525156166111874
"KLHL1",0.517284704287292
"CEP57",0.507666473870663
"SKP1",0.49356918387063
"LRRC42",0.493
"MANBA",0.487
"PHOX2B-AS1",0.480473554172205
"ABCB8",0.456
"PDE7A",0.455
"ARL15",0.454
"POMT2",0.446
"VDAC3",0.443738855449259
"DENND1A",0.442909415406002
"WDR17",0.429
"HDX",0.411
"LARP7",0.381
"TRIM65",0.377
"ASCC3",0.372781670625732
"STRN3",0.362
"CLASP2",0.359244577808799
"ZFP82",0.355037980679646
"AXIN1",0.349
"LINC00963",0.341
"TAF2",0.341
"STXBP5L",0.340583632508193
"LRP8",0.338
"AC138894.1",0.333
"DLGAP4",0.312
"DHFR",0.310230002883282
"RAF1",0.307
"CLN3",0.3
"ENAH",0.292082237580207
"MACF1",0.267625931199684
"SVOPL",0.26422455831685
