"","dPSI_iPSC_2006152_3x"
"ARL15",0.544
"SKP1",0.524586764197443
"C12orf4",0.463766747480936
"POMT2",0.458
"AC104109.3",0.441342142598733
"MYCBP2",0.428382575311151
"GRAMD2B",0.415722312621069
"TPTEP2",0.415081347525309
"LINC00960",0.411267858851411
"ASAP1",0.401
"RPS19",0.387
"SENP6",0.381228744114688
"NAV2",0.366235642822898
"PDE7A",0.366
"HDX",0.364726369208389
"YJEFN3",0.361
"C14orf132",0.34866520980012
"LARP7",0.333
"XPO1",0.333
"FOXM1",0.331345452604618
"LINC01128",0.325
"EXOC6B",0.315081620088137
"CLK4",0.314
"KDM6A",0.313
"MADD",0.311
"STRN3",0.307
"TAF2",0.301
"MATK",0.296390944012865
"ZFP82",0.263971879679987
"KRT8",0.254695125860401
"DLGAP4",0.253193379897018
