"","dPSI_NGN2_2195327_3x"
"PPIP5K1",0.8591607156478
"LIMCH1",0.781
"MIR100HG",0.658
"ARL15",0.654
"SKP1",0.5497270686883
"TRAPPC13",0.548
"LARP7",0.509
"POMT2",0.492
"PHOX2B-AS1",0.469982715238443
"ABCB8",0.465
"LINC02210",0.459810336430356
"WDR17",0.453
"SCARB1",0.436
"HDX",0.416
"NAIP",0.412174990912745
"CACNA1C",0.411194052055096
"LIN37",0.4
"SENP6",0.381411664876615
"LINC00963",0.377
"TRIM65",0.377
"DENND1A",0.371061089839316
"RAF1",0.366
"NUDT22",0.355
"SNHG12",0.35
"DHFR",0.349881467797111
"DLGAP4",0.345
"AXIN1",0.337
"LRRC42",0.336
"PDE7A",0.336
"STXBP5L",0.333053860274539
"ADAM17",0.331640358274025
"WDR27",0.32272783669531
"TAF2",0.315
"STRN3",0.309
"ZFP82",0.305770420824269
"NUP58",0.286406128546287
"KLHL1",0.279023087213389
"EXOC6B",0.263286127254161
"ASCC3",0.260953734020733
"ENAH",0.251019316993391
