"","dPSI_Sy5Y_2006152_3x"
"ARL15",0.86
"ASAP1",0.821
"MELTF",0.740964588071424
"POMT2",0.716
"C12orf4",0.714804632436842
"TPTEP2",0.667997026144819
"AL589743.1",0.653740356399325
"ERBB4",0.648847037767048
"KCNT2",0.64
"HDX",0.609
"WDR27",0.605736529049454
"TARBP1",0.572906175222588
"ASAP2",0.571
"CHRM2",0.531079789605922
"DENND5A",0.525
"ADAMTS19",0.524571749611042
"PDE7A",0.519
"LRRC42",0.507
"LYRM1",0.507
"ERGIC3",0.504
"LIMCH1",0.498
"MAOA",0.495
"LINC02210",0.490890690080657
"WDR17",0.482
"EVC",0.476382586202715
"EHHADH",0.468
"OCLNP1",0.465997853035989
"ZNF37BP",0.465684333378493
"SMN1",0.462901443137618
"HTT",0.453383055944313
"LARP7",0.451
"TAF2",0.448
"SKP1",0.444169367286255
"MACROD2",0.436431111380793
"FOXM1",0.431
"DUXAP9",0.430413966224786
"TTC5",0.43
"ATR",0.429
"AL713999.1",0.425503276303506
"HIVEP3",0.424128681838387
"CORO6",0.42
"VPS29",0.415
"EXOC6B",0.414
"CLK4",0.41
"SLC25A17",0.409619978946954
"NUP58",0.406492440063365
"SENP6",0.39
"SAR1A",0.389297661446869
"KDM6A",0.389
"APPL2",0.387649567182143
"RAP1A",0.382
"MYCBP2",0.381
"MSL3",0.38
"TIAM1",0.371661065917471
"PHOX2B-AS1",0.36854786535226
"PNISR",0.368533704627843
"STRN3",0.367
"MADD",0.366
"GGCT",0.364
"FAAP20",0.359
"SMN2",0.358563175062301
"AXIN1",0.355
"TENT2",0.351702578700857
"APLP2",0.348
"PRICKLE1",0.342335996409242
"FHOD3",0.340066044538695
"MRNIP",0.34
"ZMIZ2",0.34
"TMEM214",0.330457076386228
"TP53INP1",0.326
"NIPA1",0.324
"CACNA1B",0.320749496813966
"ZNF618",0.319020976101773
"SORCS1",0.31424408309382
"RNFT1",0.313
"CHEK1",0.305
"MIR9-3HG",0.305
"C14orf132",0.302
"RAF1",0.292228548658944
"GXYLT1",0.286730824559279
"MMS22L",0.286699455921259
"DLGAP4",0.286069111338245
"ENAH",0.283281601131321
"ZFP82",0.278087333450178
"ZMYM6",0.268734072072301
"CACNA2D1",0.265972610857835
"ARMCX6",0.263818621647718
"DHFR",0.261900463104729
"PPP1R26",0.260425697631036
"STOX2",0.256519587193465
"TCF4",0.255994498430626
