"","dPSI_NGN2_2006152_3x"
"PPIP5K1",0.885946417124124
"VPS8",0.884302224355313
"LIMCH1",0.765
"NUP58",0.75
"ARL15",0.699
"SENP6",0.663663847504411
"POMT2",0.653
"SKP1",0.588820671386874
"DENND1A",0.561969255076018
"AC136604.3",0.555109826429601
"LINC02210",0.520478085476891
"C12orf4",0.496060145965301
"MANBA",0.487
"CLASP2",0.466808063241203
"GCFC2",0.458828212821952
"SCARB1",0.456
"RAF1",0.455
"HDX",0.447
"LARP7",0.442
"MELTF",0.440892620228051
"KDM6A",0.437865558128324
"CNGA3",0.435556493875183
"WDR17",0.435
"TMEM116",0.42
"GALC",0.419399824587915
"ZNF730",0.416279398519957
"DHFR",0.409519408997781
"STRN3",0.407
"DLGAP4",0.402
"PDE7A",0.398
"ABCB8",0.395
"TAF2",0.394
"LRRC42",0.384
"PHOX2B-AS1",0.382207912824153
"SERGEF",0.381
"LINC00963",0.377
"EXOC6B",0.37367138604472
"TRIM27",0.371
"WDR27",0.351208761489952
"AXIN1",0.34078368169781
"STXBP5L",0.33857197286733
"STRN",0.332108487728445
"RAPGEF1",0.332
"FIGNL1",0.331
"SETX",0.321890786662558
"NKAIN2",0.320349189269542
"ADAM17",0.314
"APIP",0.309365259364199
"CXorf38",0.308
"ZFP82",0.307197815763166
"NUDT22",0.302
"SLC25A17",0.3
"KLHL1",0.293068250680345
"TSPAN7",0.287876475091789
"ASCC3",0.286526080344857
"ENAH",0.282980163422138
"C14orf132",0.280381164481835
"GRIA1",0.274874516410101
"TPTEP2",0.267677060144947
"LRIG2",0.266240975782694
"SH3YL1",0.263616799150372
"TIAM1",0.256439431141812
"ERCC8",0.25227450090897
