,Gene.Name,UniqueID,test,logFC,P.Value,Adj.P.Value,Padj_maxP_U1_mut1_500_EtOH_vs_DMSO_EtOH,dPSI_U1_mut1_500_EtOH_vs_DMSO_EtOH,Padj_maxP_U1_mut1_500_CHX_vs_DMSO_CHX,dPSI_U1_mut1_500_CHX_vs_DMSO_CHX
1:1,FOXM1,ENSG00000111206.13,U1-mut1-500-EtOH_vs_DMSO,0.248832947393896,0.311262031786009,1,2.72125029183014e-10,0.257232747533571,NA,NA
1:2,HTT,ENSG00000197386.12,U1-mut1-500-EtOH_vs_DMSO,-0.636637633234591,3.8987506036746e-07,5.94027819250785e-05,NA,NA,NA,NA
1:3,MSH3,ENSG00000113318.11,U1-mut1-500-EtOH_vs_DMSO,-0.075831213370644,1,1,NA,NA,NA,NA
2:1,FOXM1,ENSG00000111206.13,U1-mut1-500-CHX_vs_DMSO-CHX,0.318429574779803,0.0394767757549867,0.577205798194783,NA,NA,2.67205575265559e-09,-0.455199545535811
2:2,HTT,ENSG00000197386.12,U1-mut1-500-CHX_vs_DMSO-CHX,-0.166443082306865,0.971129875519762,1,NA,NA,1.74337359261216e-05,-0.308457736477565
2:3,MSH3,ENSG00000113318.11,U1-mut1-500-CHX_vs_DMSO-CHX,-0.152722686124957,1,1,NA,NA,NA,NA
