,Gene.Name,UniqueID,test,logFC,P.Value,Adj.P.Value,Padj_maxP_DMSO_CHX_vs_DMSO_EtOH,dPSI_DMSO_CHX_vs_DMSO_EtOH,Padj_maxP_U1_WT_100_CHX_vs_U1_WT_100_EtOH,dPSI_U1_WT_100_CHX_vs_U1_WT_100_EtOH,Padj_maxP_U1_WT_500_CHX_vs_U1_WT_500_EtOH,dPSI_U1_WT_500_CHX_vs_U1_WT_500_EtOH,Padj_maxP_U1_mut1_100_CHX_vs_U1_mut1_100_EtOH,dPSI_U1_mut1_100_CHX_vs_U1_mut1_100_EtOH,Padj_maxP_U1_mut1_500_CHX_vs_U1_mut1_500_EtOH,dPSI_U1_mut1_500_CHX_vs_U1_mut1_500_EtOH,Padj_maxP_U1_mut2_100_CHX_vs_U1_mut2_100_EtOH,dPSI_U1_mut2_100_CHX_vs_U1_mut2_100_EtOH,Padj_maxP_U1_mut2_500_CHX_vs_U1_mut2_500_EtOH,dPSI_U1_mut2_500_CHX_vs_U1_mut2_500_EtOH,Padj_maxP_BIO2195127_CHX_vs_BIO2195127_EtOH,dPSI_BIO2195127_CHX_vs_BIO2195127_EtOH,Padj_maxP_BIO2197294_CHX_vs_BIO2197294_EtOH,dPSI_BIO2197294_CHX_vs_BIO2197294_EtOH,Padj_maxP_Branaplam_CHX_vs_Branaplam_EtOH,dPSI_Branaplam_CHX_vs_Branaplam_EtOH
6:2,HTT,ENSG00000197386.12,U1-mut2-100-CHX_vs_mut2-100,-1.02919483712401,1.71117715252636e-20,2.05622197835668e-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6:3,MSH3,ENSG00000113318.11,U1-mut2-100-CHX_vs_mut2-100,0.437477067652623,0.000948883294907365,0.00467245223688024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7:1,FOXM1,ENSG00000111206.13,U1-mut2-500-CHX_vs_mut5-500,-0.515641275655068,2.13236844694161e-06,1.75233612636476e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7:2,HTT,ENSG00000197386.12,U1-mut2-500-CHX_vs_mut5-500,-0.83065950357501,1.20838787946054e-12,3.97604249361812e-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7:3,MSH3,ENSG00000113318.11,U1-mut2-500-CHX_vs_mut5-500,0.45933771870784,0.000316664406447358,0.00164677376171884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8:1,FOXM1,ENSG00000111206.13,BIO2195127-CHX_vs_5127,-0.561214106008125,4.2052218281698e-08,4.69018290045378e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8:2,HTT,ENSG00000197386.12,BIO2195127-CHX_vs_5127,-0.0374883491626439,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.65726167052844e-09,0.269116454038596,NA,NA,NA,NA
8:3,MSH3,ENSG00000113318.11,BIO2195127-CHX_vs_5127,0.416281846304659,0.00254391766070055,0.0117089394949839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9:1,FOXM1,ENSG00000111206.13,BIO2197294-CHX_vs_7294,-0.498281657589647,4.83415313693731e-06,3.54631045665746e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9:2,HTT,ENSG00000197386.12,BIO2197294-CHX_vs_7294,-0.0258102754862344,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78075659771078e-06,0.250929377474635,NA,NA
9:3,MSH3,ENSG00000113318.11,BIO2197294-CHX_vs_7294,0.458976032899846,0.000528186827254995,0.00258940101108119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10:1,FOXM1,ENSG00000111206.13,Branaplam-CHX_vs_Branaplam,-0.531599309377142,4.26475796252773e-07,3.61046964840282e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10:2,HTT,ENSG00000197386.12,Branaplam-CHX_vs_Branaplam,-0.0761880577191088,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.54894439637034e-06,0.266237265186472
10:3,MSH3,ENSG00000113318.11,Branaplam-CHX_vs_Branaplam,0.447707008426555,0.000568211488176896,0.00270210909114719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
