,Gene.Name,UniqueID,test,logFC,P.Value,Adj.P.Value,Padj_maxP_U1_mut2_100_EtOH_vs_DMSO_EtOH,dPSI_U1_mut2_100_EtOH_vs_DMSO_EtOH,Padj_maxP_U1_mut2_500_CHX_vs_DMSO_CHX,dPSI_U1_mut2_500_CHX_vs_DMSO_CHX
1:1,FOXM1,ENSG00000111206.13,U1-mut2-500-EtOH_vs_DMSO,-0.00259030100095619,1,1,NA,NA,NA,NA
1:2,HTT,ENSG00000197386.12,U1-mut2-500-EtOH_vs_DMSO,-0.20029378023012,0.598827800928172,1,NA,NA,NA,NA
1:3,MSH3,ENSG00000113318.11,U1-mut2-500-EtOH_vs_DMSO,-0.329204684460056,0.0378036462839252,0.717456025707955,NA,NA,NA,NA
2:1,FOXM1,ENSG00000111206.13,U1-mut2-500-CHX_vs_DMSO-CHX,6.44424322946446e-06,1,1,NA,NA,NA,NA
2:2,HTT,ENSG00000197386.12,U1-mut2-500-CHX_vs_DMSO-CHX,0.0427303548059853,1,1,NA,NA,NA,NA
2:3,MSH3,ENSG00000113318.11,U1-mut2-500-CHX_vs_DMSO-CHX,-0.305596319887512,0.0723500422200981,1,NA,NA,NA,NA
