,Gene.Name,UniqueID,test,logFC,P.Value,Adj.P.Value,Padj_maxP_U1_mut1_100_EtOH_vs_DMSO_EtOH,dPSI_U1_mut1_100_EtOH_vs_DMSO_EtOH,Padj_maxP_U1_mut1_100_CHX_vs_DMSO_CHX,dPSI_U1_mut1_100_CHX_vs_DMSO_CHX
1:1,FOXM1,ENSG00000111206.13,U1-mut1-100-EtOH_vs_DMSO,0.0155580597910429,1,1,NA,NA,NA,NA
1:2,HTT,ENSG00000197386.12,U1-mut1-100-EtOH_vs_DMSO,-0.228013103584822,0.292485587447212,1,NA,NA,NA,NA
1:3,MSH3,ENSG00000113318.11,U1-mut1-100-EtOH_vs_DMSO,-0.0339211244793788,1,1,NA,NA,NA,NA
2:1,FOXM1,ENSG00000111206.13,U1-mut1-100-CHX_vs_DMSO-CHX,0.00282535146798905,1,1,NA,NA,NA,NA
2:2,HTT,ENSG00000197386.12,U1-mut1-100-CHX_vs_DMSO-CHX,-0.00704419549517688,1,1,NA,NA,NA,NA
2:3,MSH3,ENSG00000113318.11,U1-mut1-100-CHX_vs_DMSO-CHX,-0.0106692799526246,1,1,NA,NA,NA,NA
