"","1st_exp_NGN2.6152.3x","2nd_exp_NGN2.6152.3x"
"GCFC2",0.726673690562951,0.603288411142975
"XRN2",0.568315591937423,0.612269849629271
"HTT",0.736410802978668,0.438565198795793
"SENP6",0.650996993885202,0.461210397117836
"PDXDC1",0.593902347677396,0.509894682513559
"DENND1A",0.620750310236184,0.440749647727287
"LINC02210",0.609505967818361,0.398914738365771
"INO80E",0.483,0.521
"MELTF",0.452420104931301,0.513136820040606
"STRN",0.535513426341478,0.301282671568438
"NKAIN2",0.455656830254495,0.299023742240538
"TIAM1",0.442312838970498,0.289030911455485
"SETX",0.379189308361628,0.350407034415646
"ZFP82",0.428174832634584,0.294471507549583
"ADAM17",0.288043701658911,0.403151206358041
"CACNA1H",0.366,0.304
"TENT2",0.341098549588275,0.310630780515194
"TSPAN7",0.372447775562998,0.265295435729365
"LRIG2",0.369327567100596,0.266706974422561
"KLHL1",0.357846671842085,0.253760254793944
"EVC",0.565231169591333,-0.420791698018678
"GALC",-0.373,0.388406340135738
"ABCB8",-0.48,0.453573895783474
"NUP58",-0.391,0.310816190050291
"KDM6A",-0.39,0.258655934262757
"CACNB4",-0.503,0.254133021405468
"FAAP20",-0.301,-0.308
"AC138894.1",-0.351,-0.319
"SKP1",-0.434,-0.361
"DLGAP4",-0.459,-0.371
"TAF2",-0.443,-0.387
"PDE7A",-0.541,-0.316
"STRN3",-0.544,-0.357
"LARP7",-0.527,-0.416
"LRRC42",-0.592,-0.354
"WDR17",-0.474,-0.504
"RAF1",-0.592,-0.397
"POMT2",-0.772,-0.439
"ARL15",-0.733,-0.588
"LIMCH1",-0.848,-0.706
"AC009022.1",NA,0.734158043222878
"AL031315.1",-0.378690927677992,NA
"APIP",0.355489123898135,NA
"APLP2",-0.351,NA
"ARMH3",0.317702574770545,NA
"ASCC3",0.516128577148954,NA
"ASGR1",NA,0.325
"ATP7B",NA,-0.308
"AXIN1",-0.415,NA
"C10orf82",0.382,NA
"C12orf4",0.558570597310026,NA
"C14orf132",0.346705403202711,NA
"CHROMR",-0.494,NA
"CKMT2-AS1",NA,-0.467006459041868
"CLASP2",-0.508213168791394,NA
"CLN3",-0.346,NA
"CLN6",-0.306,NA
"CNGA3",0.571497777266498,NA
"COMMD4",NA,0.308
"CSTF3",0.303553395551188,NA
"DENND5A",0.258477247921269,NA
"DHFR",0.433083047517275,NA
"DTWD1",0.272815039045584,NA
"ENAH",0.352904172261174,NA
"EXOC6B",-0.339,NA
"FAM110B",-0.434449899936423,NA
"FAM221A",NA,0.399
"FHOD3",NA,0.260433850097285
"FSIP2",NA,-0.541
"FUS",-0.324,NA
"GGCT",0.388556123656635,NA
"GXYLT1",-0.464954019239359,NA
"HDX",0.533721925356221,NA
"HSD17B4",0.401866964908478,NA
"KCNT2",NA,0.842545777742289
"LINC01128",NA,-0.416
"LYRM1",0.359,NA
"MAPK10",NA,-0.371
"MATK",0.327578241706292,NA
"METTL6",NA,0.318245827600568
"MORN1",0.423681449186521,NA
"MSL3",NA,0.382
"MYCBP2",-0.317,NA
"NECAP2",NA,0.4
"NPRL2",-0.322,NA
"NR1H3",-0.431676874762862,NA
"NRXN3",NA,0.33
"PCDH10",0.331126597808086,NA
"PDXDC2P",NA,0.720509398680798
"PNISR",0.31061832266889,NA
"PRUNE2",-0.302,NA
"QKI",NA,-0.347
"RAPGEF1",-0.466,NA
"RBBP8",0.431526522920421,NA
"RCC1",0.285329997766163,NA
"SCYL2",0.359,NA
"SERGEF",-0.342,NA
"SF3B1",0.325,NA
"SLC25A17",-0.319,NA
"SLC7A6",0.36563638210185,NA
"SMC4",NA,0.446414640874911
"SNHG15",0.373,NA
"STAG3L5P-PVRIG2P-PILRB",-0.322,NA
"STX18-AS1",-0.539588458848038,NA
"STXBP5L",NA,0.288841496602035
"SULF1",0.464661288116576,NA
"SYNE4",NA,-0.396
"TMEM50B",0.259943309454444,NA
"TNFRSF25",NA,-0.439
"TPM2",NA,-0.450874884883255
"TRAPPC13",0.371,NA
"TSPAN4",NA,-0.39
"TSTD3",0.412979523512199,NA
"VDAC3",NA,-0.364051811327148
"VPS29",0.30540327556983,NA
"WDR27",0.654133809959983,NA
"WDR90",NA,-0.368
"WDR91",NA,-0.520346323375745
"WNK1",0.276698983890683,NA
"ZMYM6",0.429320166160656,NA
"ZNF687",-0.349,NA
