"","1st_exp_NGN2.6152.10x","2nd_exp_NGN2.6152.10x"
"FSIP2",NA,-0.541
"FUT10",0.463723057849263,NA
"GGCT",-0.301,NA
"GPHN",0.403586729927646,NA
"HIKESHI",-0.31,NA
"HSD17B4",0.282165220845989,NA
"IFT57",0.274983925163619,NA
"IL11RA",0.46152605334595,NA
"INO80E",0.339,NA
"IVD",0.420135315537056,NA
"KIF21A",0.293459057601355,NA
"LINC01011",0.433622094953503,NA
"LINGO2",0.435475556874805,NA
"LNPK",0.272969888045874,NA
"LRRCC1",0.378248928948469,NA
"LUC7L3",0.287157288893689,NA
"MADD",NA,0.315
"MATK",0.575025458510517,NA
"MDN1",0.263561588307386,NA
"MRPL39",0.288612129828218,NA
"MRPS5",NA,0.432776957465789
"MSL3",-0.358,NA
"MYT1",-0.396,NA
"MYT1L",0.341844491083716,NA
"NECAP1",-0.359,NA
"NELFA",-0.360211332993959,NA
"NLN",0.274007537129597,NA
"NQO2",-0.33,NA
"NUDT22",-0.338,NA
"PIGN",0.564538716846285,NA
"PMS2P10",NA,-0.267253083987767
"PPHLN1",NA,0.256100011481292
"PRICKLE1",0.452366352024156,NA
"PRKG1",0.439896539358401,NA
"PRRT1",0.40094050295937,NA
"PRUNE2",-0.369,NA
"PTPRT",0.324532716440051,NA
"RCOR3",0.40027248552107,NA
"RPGR",0.33,NA
"RUNDC3B",-0.345,NA
"SLC24A3",0.398276341419975,NA
"SNHG15",0.367,NA
"SNX7",0.446839830399118,NA
"SORCS1",0.500904995421023,NA
"SSBP1",0.345589321368897,NA
"STX18-AS1",-0.803360743922791,NA
"SULF1",0.506272188778555,NA
"SUPT20H",0.341074835236412,NA
"TASP1",0.43945585623267,NA
"TEN1-CDK3",0.41220967645586,NA
"TMEM116",NA,-0.424
"TNIP1",NA,0.448461249776431
"TRIM65",NA,-0.417
"TSPAN4",NA,-0.552
"TTN-AS1",NA,0.544
"TUBB4A",NA,-0.469961097339681
"UBAP2L",-0.269330835978301,NA
"UBE2Q2P1",NA,-0.431314257940136
"VAV2",0.28002990876867,NA
"WSB1",-0.374727988184491,NA
"ZDHHC11",NA,0.769586457906306
"ZDHHC13",NA,0.331
"ZNF585B",0.412158340379837,NA
"ZNF730",0.770797087979485,NA
